Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Междуреченская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609					
1	"Число избирателей, внесенных в список"	5736	1929	286	208	489	414	230	129	419	475	381	713	63					
2	Число полученных избирательных бюллетеней	5900	1930	300	210	500	410	230	140	450	500	400	750	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3220	1055	108	116	239	263	144	76	262	324	216	376	41					
5	"Число избирательных бюллетеней, выданных вне помещения"	1070	161	115	52	170	94	66	36	102	85	95	78	16					
6	Число погашенных избирательных бюллетеней	1610	714	77	42	91	53	20	28	86	91	89	296	23					
7	Число избирательных бюллетеней в переносных ящиках	1070	161	115	52	170	94	66	36	102	85	95	78	16					
8	Число бюллетеней в стационарных ящиках для голосования	3219	1055	108	116	238	263	144	76	262	324	216	376	41					
9	Число недействительных избирательных бюллетеней	29	14	0	1	1	0	2	1	4	3	2	0	1					
10	Число действительных избирательных бюллетеней	4260	1202	223	167	407	357	208	111	360	406	309	454	56					
11	Число полученных открепительных  удостоверений	200	50	10	10	15	15	10	5	20	15	15	30	5					
12	Число выданных открепительных удостоверений	74	24	1	0	0	0	7	0	17	3	8	14	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	4	1	4	1	3	5	1	1	0	1	5	1					
14	Число неиспользованных открепительных удостоверений	126	26	9	10	15	15	3	5	3	12	7	16	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	84	36	3	3	3	7	6	0	6	8	4	8	0					
		1.96%	2.96%	1.35%	1.79%	0.74%	1.96%	2.86%	0.00%	1.65%	1.96%	1.29%	1.76%	0.00%					
19	. Малышкин Олег Александрович	66	23	3	4	5	1	1	1	8	12	4	4	0					
		1.54%	1.89%	1.35%	2.38%	1.23%	0.28%	0.48%	0.89%	2.20%	2.93%	1.29%	0.88%	0.00%					
20	. Миронов Сергей Михайлович	48	17	3	2	7	3	5	1	2	0	4	4	0					
		1.12%	1.40%	1.35%	1.19%	1.72%	0.84%	2.38%	0.89%	0.55%	0.00%	1.29%	0.88%	0.00%					
21	. Путин Владимир Владимирович	3361	940	188	121	343	308	177	89	263	298	219	360	55					
		78.36%	77.30%	84.30%	72.02%	84.07%	86.27%	84.29%	79.46%	72.25%	72.86%	70.42%	79.30%	96.49%					
22	. Хакамада Ирина Муцуовна	50	14	1	4	4	1	2	3	4	8	4	5	0					
		1.17%	1.15%	0.45%	2.38%	0.98%	0.28%	0.95%	2.68%	1.10%	1.96%	1.29%	1.10%	0.00%					
23	. Харитонов Николай Михайлович	581	143	24	31	43	35	15	15	71	72	69	62	1					
		13.55%	11.76%	10.76%	18.45%	10.54%	9.80%	7.14%	13.39%	19.51%	17.60%	22.19%	13.66%	1.75%					
																			
24	Против всех	70	29	1	2	2	2	2	2	6	8	5	11	0					
		1.63%	2.38%	0.45%	1.19%	0.49%	0.56%	0.95%	1.79%	1.65%	1.96%	1.61%	2.42%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
