Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Игринская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845					
1	"Число избирателей, внесенных в список"	32160	1266	1064	1494	1970	1344	1915	1344	646	405	1054	991	816	2292	899	137	1455	1092	106	433	1216	145	1103	137	369	582	478	411	628	524	722	434	1010	417	274	279	623	558	261	205	290	228	186	198	102	57					
2	Число полученных избирательных бюллетеней	31630	1200	1100	1600	1800	1300	1700	1300	600	430	1000	1000	800	2100	800	136	1400	1100	107	450	1200	145	1100	145	350	600	500	450	650	550	700	420	1000	450	300	350	600	600	300	210	300	230	197	194	96	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21689	810	728	1043	1289	887	1233	792	407	266	625	633	465	1330	504	98	921	699	75	321	871	118	783	122	273	442	361	346	526	427	490	341	754	307	206	260	407	328	157	151	259	182	158	182	65	47					
5	"Число избирательных бюллетеней, выданных вне помещения"	1031	30	14	12	6	5	2	17	7	7	17	9	18	25	14	7	17	31	8	31	54	1	30	9	28	24	14	25	28	29	71	38	41	56	31	19	28	109	13	11	18	32	28	6	1	10					
6	Число погашенных избирательных бюллетеней	8910	360	358	545	505	408	465	491	186	157	358	358	317	745	282	31	462	370	24	98	275	26	287	14	49	134	125	79	96	94	139	41	205	87	63	71	165	163	130	48	23	16	11	6	30	13					
7	Число избирательных бюллетеней в переносных ящиках	1031	30	14	12	6	5	2	17	7	7	17	9	18	25	14	7	17	31	8	31	54	1	30	9	28	24	14	25	28	29	71	38	41	56	31	19	28	109	13	11	18	32	28	6	1	10					
8	Число бюллетеней в стационарных ящиках для голосования	21686	810	728	1043	1289	884	1233	792	407	266	625	633	465	1330	504	98	921	699	75	321	871	118	783	122	273	442	361	346	526	427	490	341	754	307	206	260	407	328	157	151	259	182	158	182	65	47					
9	Число недействительных избирательных бюллетеней	368	10	7	19	23	9	6	7	8	3	9	13	14	13	16	3	12	23	1	8	8	6	14	1	6	13	7	8	9	5	4	12	13	6	4	2	7	7	4	3	2	13	4	5	1	0					
10	Число действительных избирательных бюллетеней	22349	830	735	1036	1272	880	1229	802	406	270	633	629	469	1342	502	102	926	707	82	344	917	113	799	130	295	453	368	363	545	451	557	367	782	357	233	277	428	430	166	159	275	201	182	183	65	57					
