		1.86%	3.13%	3.21%	2.54%	2.83%	2.91%	2.31%	3.22%	2.35%	2.80%	2.31%	1.92%	2.24%	2.47%	2.43%	3.01%	3.27%	2.92%	1.79%	1.99%	1.21%	2.46%	1.09%	1.08%	1.57%	1.23%	2.55%	1.58%	1.99%	2.23%	1.65%	0.92%	1.86%	1.16%	1.40%	2.01%	0.80%	1.96%	2.01%	1.42%	1.76%	2.11%	1.19%	1.32%	1.19%	1.30%	2.19%	0.98%	1.55%	1.35%	1.78%	3.72%	0.86%	2.35%	2.55%	1.36%	1.83%	0.99%	0.73%	1.11%	1.64%	2.21%	2.15%	1.21%	2.68%	2.12%	2.23%	2.29%	1.40%	1.62%	2.13%	1.53%	1.34%	2.31%	0.50%	0.85%	2.74%	0.92%	0.78%	0.00%	1.00%	1.79%	1.05%	1.53%	1.62%	2.47%	0.86%	2.03%	1.53%	2.03%	2.18%	0.22%	3.66%					
19	Жириновский Владимир Вольфович	14753	11	75	218	274	175	141	163	170	216	221	191	209	242	234	202	197	242	132	195	219	172	174	258	147	165	170	171	126	173	94	107	181	181	148	189	203	78	203	147	177	186	174	184	146	166	184	131	166	134	166	101	118	140	101	108	84	135	133	123	208	190	165	160	145	210	153	161	186	185	131	108	200	210	118	123	202	195	174	10	12	23	38	224	207	275	182	152	250	78	151	243	13					
		14.16%	17.19%	14.15%	14.20%	18.03%	13.42%	11.61%	13.11%	12.87%	14.07%	14.61%	11.82%	12.99%	14.56%	14.57%	12.41%	12.87%	15.01%	13.12%	12.94%	14.74%	14.10%	13.55%	15.45%	13.60%	13.54%	13.12%	14.20%	14.79%	13.80%	12.89%	12.27%	14.01%	14.99%	13.77%	13.57%	14.80%	11.76%	17.74%	13.08%	15.59%	15.06%	14.81%	13.45%	13.42%	13.47%	14.38%	12.82%	13.57%	13.94%	14.03%	17.09%	14.48%	17.28%	12.29%	12.26%	19.18%	16.75%	16.14%	15.22%	14.22%	13.56%	13.17%	13.85%	12.93%	13.51%	13.66%	13.14%	14.49%	14.24%	12.14%	12.69%	15.81%	14.24%	11.79%	13.09%	13.52%	14.98%	15.00%	8.62%	4.00%	13.69%	13.24%	14.26%	14.60%	28.32%	13.04%	12.33%	18.21%	12.19%	13.15%	17.93%	15.85%					
20	Зюганов Геннадий Андреевич	13196	7	51	220	220	174	157	178	230	202	177	218	170	196	176	184	178	189	151	190	226	137	165	199	164	170	178	153	121	160	78	127	157	165	137	150	157	84	101	158	133	141	174	205	100	177	175	136	172	102	140	67	110	99	146	154	26	96	93	128	211	192	194	140	173	222	141	190	168	196	157	162	159	170	97	96	180	136	129	10	13	18	34	218	195	41	179	156	56	92	163	70	9					
		12.67%	10.94%	9.62%	14.33%	14.47%	13.34%	12.93%	14.32%	17.41%	13.16%	11.70%	13.49%	10.57%	11.79%	10.96%	11.30%	11.63%	11.72%	15.01%	12.61%	15.21%	11.23%	12.85%	11.92%	15.17%	13.95%	13.73%	12.71%	14.20%	12.76%	10.70%	14.56%	12.15%	13.67%	12.74%	10.77%	11.44%	12.67%	8.83%	14.06%	11.72%	11.42%	14.81%	14.99%	9.19%	14.37%	13.67%	13.31%	14.06%	10.61%	11.83%	11.34%	13.50%	12.22%	17.76%	17.48%	5.94%	11.91%	11.29%	15.84%	14.42%	13.70%	15.48%	12.12%	15.43%	14.29%	12.59%	15.51%	13.08%	15.09%	14.55%	19.04%	12.57%	11.53%	9.69%	10.21%	12.05%	10.45%	11.12%	8.62%	4.33%	10.71%	11.85%	13.88%	13.75%	4.22%	12.82%	12.65%	4.08%	14.38%	14.20%	5.17%	10.98%					
21	Медведев Дмитрий Анатольевич	72600	42	373	1018	948	890	873	838	868	1043	1053	1144	1162	1152	1123	1159	1071	1108	686	1070	998	860	918	1176	745	867	894	833	573	873	524	618	907	833	760	1012	978	472	812	784	780	860	799	928	817	850	872	720	850	699	835	389	573	539	538	596	315	559	579	543	1006	971	843	813	757	1066	790	831	898	877	758	554	873	1035	761	696	1032	931	825	94	263	119	204	1073	973	624	1009	888	1025	440	791	1026	55					
		69.68%	65.63%	70.38%	66.32%	62.37%	68.25%	71.91%	67.42%	65.71%	67.95%	69.60%	70.79%	72.26%	69.31%	69.93%	71.19%	69.95%	68.73%	68.19%	71.00%	67.16%	70.49%	71.50%	70.42%	68.92%	71.12%	68.98%	69.19%	67.25%	69.62%	71.88%	70.87%	70.20%	69.01%	70.70%	72.65%	71.28%	71.19%	70.98%	69.75%	68.72%	69.64%	68.00%	67.84%	75.09%	68.99%	68.13%	70.45%	69.50%	72.74%	70.58%	65.82%	70.31%	66.54%	65.45%	67.65%	71.92%	69.35%	70.27%	67.20%	68.76%	69.31%	67.28%	70.39%	67.53%	68.60%	70.54%	67.84%	69.94%	67.51%	70.25%	65.10%	69.01%	70.17%	76.02%	74.04%	69.08%	71.51%	71.12%	81.03%	87.67%	70.83%	71.08%	68.30%	68.62%	64.26%	72.28%	72.02%	74.65%	68.75%	68.90%	75.72%	67.07%					
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
