Выборы Президента Российской Федерации																																																																																																									
Дата голосования: 18.03.2018																																																																																																									
																																																																																																									
Наименование Избирательной комиссии:    Балашихинская городская № 2																																																																																																									
																																																																																																									
Сводная таблица итогов голосования																																																																																																									
																																																																																																									
	Число участковых избирательных комиссий	94																																																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	94																																																																																																							
																																																																																																									
		Сумма	УИК №39	УИК №41	УИК №42	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №50	УИК №51	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №80	УИК №87	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №1738	УИК №3671	УИК №3672	УИК №3673	УИК №3677	УИК №3678	УИК №3679	УИК №3680	УИК №3681	УИК №3682	УИК №3683	УИК №4197	УИК №4199									
8	Число бюллетеней в стационарных ящиках для голосования	108160	1378	988	1130	1206	999	846	1151	1247	1666	1494	1477	1383	1383	1549	1052	1708	1547	1326	1661	1151	663	1546	879	1163	1171	1109	968	1013	859	1138	1249	1153	1214	1039	1105	1025	1030	782	834	810	1224	1347	1008	1145	1462	1590	1107	1193	997	1923	953	1341	1071	1293	1616	1045	943	934	1092	909	982	1390	945	1206	1120	1270	1064	1270	1181	1476	1157	1321	1365	1088	948	739	1133	1348	1599	1211	399	1690	1184	971	1080	991	842	1231	571	1870	848	939	304	142									
9	Число недействительных избирательных бюллетеней	1720	11	21	10	41	17	10	12	16	28	43	12	27	14	34	9	21	23	10	33	21	8	22	0	10	16	14	11	12	14	14	15	9	16	15	17	16	13	9	9	6	26	17	10	13	5	12	11	11	5	86	17	32	15	14	16	21	11	4	24	23	16	24	41	9	12	19	24	22	7	65	18	18	34	16	9	3	63	21	29	43	5	18	13	30	31	13	15	10	1	16	29	10	0	4									
10	Число действительных избирательных бюллетеней	110963	1427	1139	1164	1183	995	943	1269	1271	1764	1532	1467	1443	1430	1544	1079	1799	1556	1329	1654	1228	774	1665	883	1168	1265	1134	997	1015	868	1131	1294	1252	1319	1026	1154	1019	1023	853	839	834	1199	1344	1069	1145	1460	1598	1143	1184	1007	1851	947	1328	1071	1326	1612	1052	956	947	1078	909	990	1384	923	1246	1121	1271	1057	1377	1211	1472	1190	1324	1354	1329	1071	785	1133	1349	1598	1235	413	1674	1345	961	1215	980	846	1311	592	1859	833	975	329	255									
11	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																									
13	Бабурин Сергей Николаевич	827	6	5	8	6	5	5	7	12	14	11	11	14	8	10	9	11	10	11	11	11	4	19	11	4	20	6	9	13	7	9	6	7	12	7	6	10	15	3	4	8	9	12	7	7	9	12	9	14	7	11	4	14	7	11	15	6	4	7	8	7	11	12	5	14	6	6	9	7	12	14	4	16	15	10	12	2	7	10	9	13	3	12	10	3	4	8	6	7	2	12	7	8	3	3									
		0.73%	0.42%	0.43%	0.68%	0.49%	0.49%	0.52%	0.55%	0.93%	0.78%	0.70%	0.74%	0.95%	0.55%	0.63%	0.83%	0.60%	0.63%	0.82%	0.65%	0.88%	0.51%	1.13%	1.25%	0.34%	1.56%	0.52%	0.89%	1.27%	0.79%	0.79%	0.46%	0.56%	0.90%	0.67%	0.51%	0.97%	1.45%	0.35%	0.47%	0.95%	0.73%	0.88%	0.65%	0.60%	0.61%	0.75%	0.78%	1.17%	0.69%	0.57%	0.41%	1.03%	0.64%	0.82%	0.92%	0.56%	0.41%	0.74%	0.73%	0.75%	1.09%	0.85%	0.52%	1.12%	0.53%	0.47%	0.83%	0.50%	0.99%	0.91%	0.33%	1.19%	1.08%	0.74%	1.11%	0.25%	0.59%	0.73%	0.55%	1.02%	0.72%	0.71%	0.74%	0.30%	0.32%	0.81%	0.70%	0.53%	0.34%	0.64%	0.81%	0.81%	0.91%	1.16%									
14	Грудинин Павел Николаевич	14243	154	114	100	156	143	92	98	154	210	185	198	201	219	200	106	225	151	163	187	151	75	246	114	164	201	191	132	135	116	138	135	131	198	133	160	103	144	94	94	78	198	182	165	165	218	222	157	147	130	267	128	187	134	212	253	160	128	117	160	120	112	195	127	137	154	183	174	183	129	195	132	147	172	134	133	81	131	161	191	163	70	264	100	128	118	109	126	214	78	273	114	124	30	22									
		12.64%	10.71%	9.83%	8.52%	12.75%	14.13%	9.65%	7.65%	11.97%	11.72%	11.75%	13.39%	13.67%	15.17%	12.67%	9.74%	12.36%	9.56%	12.17%	11.08%	12.09%	9.59%	14.58%	12.91%	13.92%	15.69%	16.64%	13.10%	13.15%	13.15%	12.05%	10.31%	10.39%	14.83%	12.78%	13.66%	9.95%	13.90%	10.90%	11.08%	9.29%	16.16%	13.37%	15.29%	14.25%	14.88%	13.79%	13.60%	12.30%	12.85%	13.78%	13.28%	13.75%	12.34%	15.82%	15.54%	14.91%	13.24%	12.30%	14.52%	12.88%	11.13%	13.85%	13.17%	10.92%	13.59%	14.19%	16.10%	13.08%	10.59%	12.69%	10.93%	10.95%	12.39%	9.96%	12.31%	10.28%	10.95%	11.75%	11.74%	12.75%	16.75%	15.60%	7.36%	12.92%	9.47%	10.98%	14.63%	16.20%	13.15%	14.56%	13.23%	12.59%	9.12%	8.49%									
15	Жириновский Владимир Вольфович	5283	57	67	73	63	34	38	60	67	93	72	62	62	48	81	42	83	81	77	119	59	33	74	45	44	54	76	53	47	41	45	57	59	61	44	51	41	59	55	35	38	38	61	58	43	58	59	48	50	43	85	58	62	45	60	71	44	50	51	48	38	59	57	39	80	51	57	41	60	77	74	66	58	60	72	52	53	54	51	63	55	30	87	78	36	41	48	37	72	31	85	45	50	19	25									
		4.69%	3.96%	5.78%	6.22%	5.15%	3.36%	3.99%	4.68%	5.21%	5.19%	4.57%	4.19%	4.22%	3.32%	5.13%	3.86%	4.56%	5.13%	5.75%	7.05%	4.72%	4.22%	4.39%	5.10%	3.74%	4.22%	6.62%	5.26%	4.58%	4.65%	3.93%	4.35%	4.68%	4.57%	4.23%	4.36%	3.96%	5.69%	6.38%	4.13%	4.52%	3.10%	4.48%	5.38%	3.71%	3.96%	3.66%	4.16%	4.18%	4.25%	4.39%	6.02%	4.56%	4.14%	4.48%	4.36%	4.10%	5.17%	5.36%	4.36%	4.08%	5.86%	4.05%	4.05%	6.37%	4.50%	4.42%	3.79%	4.29%	6.32%	4.81%	5.46%	4.32%	4.32%	5.35%	4.81%	6.73%	4.52%	3.72%	3.87%	4.30%	7.18%	5.14%	5.74%	3.63%	3.29%	4.83%	4.30%	5.45%	5.23%	4.53%	5.22%	5.08%	5.78%	9.65%									
16	Путин Владимир Владимирович	83909	1131	900	930	899	745	758	1055	961	1359	1178	1127	1068	1089	1163	879	1389	1252	1011	1269	950	631	1250	639	862	891	792	756	755	655	861	1035	988	992	795	880	820	764	660	674	657	852	970	775	839	1067	1202	846	896	731	1329	704	1001	825	938	1136	773	713	720	744	666	749	992	706	922	842	944	772	1028	893	1094	916	1014	1013	1064	824	617	891	1056	1259	945	293	1172	1099	724	982	736	628	941	445	1338	611	739	267	196									
		74.46%	78.65%	77.59%	79.22%	73.45%	73.62%	79.54%	82.36%	74.67%	75.84%	74.79%	76.20%	72.65%	75.42%	73.70%	80.79%	76.32%	79.29%	75.50%	75.22%	76.06%	80.69%	74.10%	72.37%	73.17%	69.56%	68.99%	75.00%	73.52%	74.26%	75.20%	79.07%	78.35%	74.31%	76.37%	75.15%	79.23%	73.75%	76.57%	79.48%	78.21%	69.55%	71.27%	71.83%	72.45%	72.83%	74.66%	73.31%	74.98%	72.23%	68.61%	73.03%	73.60%	75.97%	70.00%	69.78%	72.04%	73.73%	75.71%	67.51%	71.46%	74.45%	70.45%	73.24%	73.47%	74.32%	73.18%	71.42%	73.48%	73.32%	71.18%	75.83%	75.56%	72.98%	79.11%	76.30%	78.30%	74.50%	77.08%	77.38%	73.94%	70.10%	69.27%	80.93%	73.06%	78.81%	74.12%	72.94%	71.23%	75.04%	71.36%	70.88%	75.03%	81.16%	75.68%									
