Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Бай-Тайгинская														
														
Итоги голосования 														
														
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44					
1	"Число избирателей, внесенных в список"	6128	1869	417	467	608	815	1006	946					
2	Число полученных избирательных бюллетеней	6061	1879	405	467	614	754	1016	926					
3	"Число избирательных бюллетеней, выданных  досрочно"	571	0	0	0	77	296	158	40					
4	"Число избирательных бюллетеней, выданных в день голосования"	4220	1212	253	390	414	453	720	778					
5	"Число избирательных бюллетеней, выданных вне помещения"	349	75	136	53	12	5	29	39					
6	Число погашенных избирательных бюллетеней	921	592	16	24	111	0	109	69					
7	Число избирательных бюллетеней в переносных ящиках	920	75	136	53	89	301	187	79					
8	Число бюллетеней в стационарных ящиках для голосования	4220	1212	253	390	414	453	720	778					
9	Число недействительных избирательных бюллетеней	56	17	8	2	9	5	6	9					
10	Число действительных избирательных бюллетеней	5084	1270	381	441	494	749	901	848					
11	Число полученных открепительных  удостоверений	90	33	5	10	15	0	17	10					
12	Число выданных открепительных удостоверений	81	33	0	6	15	0	17	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	5	0	6	4	6	3	9					
14	Число неиспользованных открепительных удостоверений	9	0	5	4	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	14	3	0	1	3	0	3	4					
		0.27%	0.23%	0.00%	0.23%	0.60%	0.00%	0.33%	0.47%					
19	. Малышкин Олег Александрович	10	2	0	1	2	1	3	1					
		0.19%	0.16%	0.00%	0.23%	0.40%	0.13%	0.33%	0.12%					
20	. Миронов Сергей Михайлович	20	9	4	1	2	0	2	2					
		0.39%	0.70%	1.03%	0.23%	0.40%	0.00%	0.22%	0.23%					
21	. Путин Владимир Владимирович	4896	1198	370	424	477	732	864	831					
		95.25%	93.08%	95.12%	95.71%	94.83%	97.08%	95.26%	96.97%					
22	. Хакамада Ирина Муцуовна	46	19	2	9	3	4	4	5					
		0.89%	1.48%	0.51%	2.03%	0.60%	0.53%	0.44%	0.58%					
23	. Харитонов Николай Михайлович	87	36	4	3	7	11	22	4					
		1.69%	2.80%	1.03%	0.68%	1.39%	1.46%	2.43%	0.47%					
														
24	Против всех	11	3	1	2	0	1	3	1					
		0.21%	0.23%	0.26%	0.45%	0.00%	0.13%	0.33%	0.12%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
