Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Майнская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322					
1	"Число избирателей, внесенных в список"	23607	2265	1715	1643	853	1028	1309	628	337	273	674	524	532	388	562	374	469	107	243	409	702	413	268	884	386	365	566	604	432	277	97	292	108	313	159	469	206	557	1366	650	160					
2	Число полученных избирательных бюллетеней	23748	2280	1677	1655	853	1023	1320	627	347	283	674	538	533	386	567	376	479	100	245	417	714	421	278	891	398	370	574	603	436	278	99	292	108	309	163	483	206	557	1375	650	163					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13949	1326	840	727	409	605	733	470	188	163	375	387	318	259	287	226	278	84	148	231	373	310	198	507	287	231	371	311	333	211	74	193	72	208	104	377	146	373	717	383	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	1968	65	87	114	67	122	120	52	66	10	96	10	91	21	27	60	26	6	8	64	95	6	22	40	22	64	46	160	10	9	8	36	22	18	40	12	20	71	92	57	6					
6	Число погашенных избирательных бюллетеней	7831	889	750	814	377	296	467	105	93	110	203	141	124	106	253	90	175	10	89	122	246	105	58	344	89	75	157	132	93	58	17	63	14	83	19	94	40	113	566	210	41					
7	Число избирательных бюллетеней в переносных ящиках	1968	65	87	114	67	122	120	52	66	10	96	10	91	21	27	60	26	6	8	64	95	6	22	40	22	64	46	160	10	9	8	36	22	18	40	12	20	71	92	57	6					
8	Число бюллетеней в стационарных ящиках для голосования	13946	1326	840	725	409	605	733	470	188	163	375	387	318	259	287	226	278	84	148	231	372	310	198	507	287	231	371	311	333	211	74	193	72	208	104	377	146	373	717	383	116					
9	Число недействительных избирательных бюллетеней	209	20	12	8	3	9	4	2	0	0	3	9	1	5	3	15	3	1	4	5	8	2	6	12	4	1	2	8	0	6	0	5	4	1	0	5	4	8	16	7	3					
10	Число действительных избирательных бюллетеней	15705	1371	915	831	473	718	849	520	254	173	468	388	408	275	311	271	301	89	152	290	459	314	214	535	305	294	415	463	343	214	82	224	90	225	144	384	162	436	793	433	119					
11	Число полученных открепительных  удостоверений	486	36	38	35	19	24	29	13	7	6	14	11	11	8	11	8	10	3	5	8	14	8	6	18	8	7	11	12	9	6	3	6	3	6	4	10	4	11	27	13	4					
12	Число выданных открепительных удостоверений	89	15	7	9	1	1	6	0	0	0	5	3	2	0	2	0	0	0	1	1	9	0	0	1	2	3	11	1	1	0	0	0	0	1	0	0	0	0	4	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	6	5	4	1	0	1	8	0	3	11	0	5	5	4	3	2	0	0	1	3	0	1	5	1	2	6	4	1	0	0	4	0	2	0	0	0	2	6	9	1					
14	Число неиспользованных открепительных удостоверений	397	21	31	26	18	23	23	13	7	6	9	8	9	8	9	8	10	3	4	7	5	8	6	17	6	4	0	11	8	6	3	6	3	5	4	10	4	11	23	10	4					
15	"Число открепительных удостоверений, выданных в ТИК"	8	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
