Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Пушкинская №20																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574					
1	"Число избирателей, внесенных в список"	74375	2681	2826	2503	2327	1899	1666	2569	2813	2495	2990	2712	2383	1887	1817	1781	2177	2354	2069	2573	1622	1540	2213	2322	1862	881	1724	1968	2037	1535	150	1429	1468	2055	2341	1103	2561	1042					
2	Число полученных избирательных бюллетеней	72020	2500	2500	2500	2000	1500	2000	2500	2500	2500	3000	2500	2500	2000	2000	2000	2000	2000	2000	2500	1500	1500	2000	2000	2000	870	2000	2000	2000	1500	150	1500	1500	2000	2000	1000	2500	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52114	1873	1784	1742	1475	1191	1351	1650	1878	1793	1970	1846	1835	1448	1303	1346	1513	1755	1600	1666	1331	1190	1487	1610	1273	711	1243	1358	1390	978	134	984	1081	1506	1717	843	1588	671					
5	"Число избирательных бюллетеней, выданных вне помещения"	2300	44	56	84	32	79	49	76	46	54	65	92	47	92	60	46	75	101	57	62	64	28	66	57	192	6	73	51	46	186	14	50	29	56	36	24	30	75					
6	Число погашенных избирательных бюллетеней	17606	583	660	674	493	230	600	774	576	653	965	562	618	460	637	608	412	144	343	772	105	282	447	333	535	153	684	591	564	336	2	466	390	438	247	133	882	254					
7	Число избирательных бюллетеней в переносных ящиках	2297	44	56	84	32	79	49	76	46	54	65	92	47	92	60	46	75	101	57	62	64	28	66	57	192	6	73	51	46	186	14	50	29	56	33	24	30	75					
8	Число бюллетеней в стационарных ящиках для голосования	52072	1873	1784	1742	1472	1186	1349	1644	1878	1793	1963	1846	1834	1444	1303	1344	1513	1751	1600	1666	1331	1187	1487	1610	1273	711	1242	1358	1388	978	134	984	1081	1506	1716	843	1588	670					
9	Число недействительных избирательных бюллетеней	280	7	10	15	8	9	8	7	5	12	10	13	2	6	6	8	5	8	7	12	9	3	4	1	4	0	8	8	9	8	8	9	11	7	7	9	12	5					
10	Число действительных избирательных бюллетеней	54089	1910	1830	1811	1496	1256	1390	1713	1919	1835	2018	1925	1879	1530	1357	1382	1583	1844	1650	1716	1386	1212	1549	1666	1461	717	1307	1401	1425	1156	140	1025	1099	1555	1742	858	1606	740					
