Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Поназыревская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в список"	7299	1541	1633	82	1641	705	580	74	303	184	138	108	310					
2	Число полученных избирательных бюллетеней	7373	1558	1625	83	1694	704	578	77	310	180	139	110	315					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3543	828	807	48	686	342	273	69	82	105	85	81	137					
5	"Число избирательных бюллетеней, выданных вне помещения"	933	99	141	19	234	78	90	0	111	45	19	10	87					
6	Число погашенных избирательных бюллетеней	2897	631	677	16	774	284	215	8	117	30	35	19	91					
7	Число избирательных бюллетеней в переносных ящиках	933	99	141	19	234	78	90	0	111	45	19	10	87					
8	Число бюллетеней в стационарных ящиках для голосования	3543	828	807	48	686	342	273	69	82	105	85	81	137					
9	Число недействительных избирательных бюллетеней	29	5	6	0	3	2	2	0	2	4	0	1	4					
10	Число действительных избирательных бюллетеней	4447	922	942	67	917	418	361	69	191	146	104	90	220					
11	Число полученных открепительных  удостоверений	110	17	17	3	10	10	10	3	10	5	10	5	10					
12	Число выданных открепительных удостоверений	34	11	5	0	10	2	1	0	4	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	4	1	0	2	1	3	0	2	0	0	3	0					
14	Число неиспользованных открепительных удостоверений	76	6	12	3	0	8	9	3	6	5	9	5	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	108	21	13	6	32	4	4	2	10	4	3	3	6					
		2.41%	2.27%	1.37%	8.96%	3.48%	0.95%	1.10%	2.90%	5.18%	2.67%	2.88%	3.30%	2.68%					
19	. Малышкин Олег Александрович	110	24	30	1	14	8	5	1	6	5	0	4	12					
		2.46%	2.59%	3.16%	1.49%	1.52%	1.90%	1.38%	1.45%	3.11%	3.33%	0.00%	4.40%	5.36%					
20	. Миронов Сергей Михайлович	49	17	15	1	2	4	2	0	4	0	2	1	1					
		1.09%	1.83%	1.58%	1.49%	0.22%	0.95%	0.55%	0.00%	2.07%	0.00%	1.92%	1.10%	0.45%					
21	. Путин Владимир Владимирович	2866	539	583	44	636	269	255	56	111	112	75	55	131					
		64.03%	58.14%	61.50%	65.67%	69.13%	64.05%	70.25%	81.16%	57.51%	74.67%	72.12%	60.44%	58.48%					
22	. Хакамада Ирина Муцуовна	76	25	22	0	13	6	4	1	3	0	0	1	1					
		1.70%	2.70%	2.32%	0.00%	1.41%	1.43%	1.10%	1.45%	1.55%	0.00%	0.00%	1.10%	0.45%					
23	. Харитонов Николай Михайлович	1149	268	256	11	210	123	86	5	53	23	23	24	67					
		25.67%	28.91%	27.00%	16.42%	22.83%	29.29%	23.69%	7.25%	27.46%	15.33%	22.12%	26.37%	29.91%					
																			
24	Против всех	89	28	23	4	10	4	5	4	4	2	1	2	2					
		1.99%	3.02%	2.43%	5.97%	1.09%	0.95%	1.38%	5.80%	2.07%	1.33%	0.96%	2.20%	0.89%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
