Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Благовещенская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653					
1	"Число избирателей, внесенных в список"	26042	1854	1142	1531	1103	957	1843	985	1778	1726	2136	577	1259	1325	720	933	128	488	546	319	1120	347	108	1035	975	311	615	181					
2	Число полученных избирательных бюллетеней	24110	1700	1000	1400	1000	850	1700	900	1600	1600	2000	550	1200	1200	650	850	140	450	500	300	1050	340	110	1000	950	300	600	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18111	1291	779	1096	801	649	1227	720	1222	1166	1509	392	804	904	463	610	128	359	389	238	737	290	94	692	658	245	506	142					
5	"Число избирательных бюллетеней, выданных вне помещения"	1055	30	45	46	37	48	76	53	101	90	60	31	41	31	37	55	0	31	9	7	59	11	1	82	25	16	30	3					
6	Число погашенных избирательных бюллетеней	4944	379	176	258	162	153	397	127	277	344	431	127	355	265	150	185	12	60	102	55	254	39	15	226	267	39	64	25					
7	Число избирательных бюллетеней в переносных ящиках	1055	30	45	46	37	48	76	53	101	90	60	31	41	31	37	55	0	31	9	7	59	11	1	82	25	16	30	3					
8	Число бюллетеней в стационарных ящиках для голосования	18094	1291	779	1093	800	649	1227	717	1222	1156	1509	392	804	904	463	610	128	359	389	238	737	290	94	692	658	245	506	142					
9	Число недействительных избирательных бюллетеней	180	7	7	13	2	14	14	9	11	10	12	6	5	0	5	10	1	2	3	0	9	5	2	8	14	3	5	3					
10	Число действительных избирательных бюллетеней	18969	1314	817	1126	835	683	1289	761	1312	1236	1557	417	840	935	495	655	127	388	395	245	787	296	93	766	669	258	531	142					
11	Число полученных открепительных  удостоверений	196	10	10	10	10	9	10	10	9	9	9	5	5	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	61	3	1	4	2	0	4	9	4	4	9	0	5	2	1	1	0	1	1	0	1	0	0	5	0	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	1	9	1	3	1	0	4	1	3	2	0	3	0	0	0	0	3	0	0	1	1	3	1	2	0	5	1					
