Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Калтасинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
1	"Число избирателей, внесенных в список"	20333	1365	1687	383	584	313	511	90	137	592	88	862	420	350	314	424	217	490	243	188	240	223	343	194	432	706	366	247	322	354	338	783	176	245	1628	1617	1220	1641					
2	Число полученных избирательных бюллетеней	20600	1400	1680	395	600	315	510	95	145	600	90	860	420	365	320	430	225	490	255	195	255	230	350	200	440	715	370	250	330	355	340	790	180	260	1630	1630	1225	1660					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18566	1288	1610	343	527	281	374	66	133	500	86	762	277	284	287	392	196	486	232	180	238	217	306	178	374	658	333	232	282	318	318	767	174	177	1452	1543	1135	1560					
5	"Число избирательных бюллетеней, выданных вне помещения"	780	30	12	10	15	16	45	23	0	52	0	19	139	31	12	0	0	0	7	7	0	2	26	7	56	36	10	14	40	30	17	0	0	62	21	13	0	28					
6	Число погашенных избирательных бюллетеней	1254	82	58	42	58	18	91	6	12	48	4	79	4	50	21	38	29	4	16	8	17	11	18	15	10	21	27	4	8	7	5	23	6	21	157	74	90	72					
7	Число избирательных бюллетеней в переносных ящиках	780	30	12	10	15	16	45	23	0	52	0	19	139	31	12	0	0	0	7	7	0	2	26	7	56	36	10	14	40	30	17	0	0	62	21	13	0	28					
8	Число бюллетеней в стационарных ящиках для голосования	18566	1288	1610	343	527	281	374	66	133	500	86	762	277	284	287	392	196	486	232	180	238	217	306	178	374	658	333	232	282	318	318	767	174	177	1452	1543	1135	1560					
9	Число недействительных избирательных бюллетеней	67	2	0	0	6	0	9	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0	3	0	0	0	11	11	14					
10	Число действительных избирательных бюллетеней	19279	1316	1622	353	536	297	410	89	133	551	86	779	416	315	297	392	196	486	238	187	238	219	332	185	429	691	342	246	322	348	335	764	174	239	1473	1545	1124	1574					
11	Число полученных открепительных  удостоверений	240	18	15	5	5	5	5	5	3	5	3	8	5	5	5	5	5	5	3	3	5	5	5	4	5	5	5	5	5	5	5	5	4	4	15	15	15	15					
12	Число выданных открепительных удостоверений	109	18	15	4	0	0	1	1	0	0	0	3	1	0	0	3	0	1	0	0	5	0	0	2	0	3	3	0	0	0	0	0	0	1	15	11	10	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	7	7	1	0	1	1	1	1	0	3	2	4	1	1	1	1	1	0	2	0	0	1	1	0	1	0	6	3	2	1	0	0	2	7	8	5	4					
14	Число неиспользованных открепительных удостоверений	131	0	0	1	5	5	4	4	3	5	3	5	4	5	5	2	5	4	3	3	0	5	5	2	5	2	2	5	5	5	5	5	4	3	0	4	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	36	5	0	0	0	0	12	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	6	6					
		0.19%	0.38%	0.00%	0.00%	0.00%	0.00%	2.86%	0.00%	0.75%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.19%	0.53%	0.38%					
