Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Локнянская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
1	"Число избирателей, внесенных в список"	10281	840	718	105	1052	203	289	307	139	226	691	117	697	83	226	319	314	1055	1058	931	911					
2	Число полученных избирательных бюллетеней	10197	850	725	110	1035	210	287	305	142	230	597	111	700	83	220	326	320	1026	1065	940	915					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4648	242	397	39	442	112	159	100	53	98	188	38	337	42	109	140	102	551	503	459	537					
5	"Число избирательных бюллетеней, выданных вне помещения"	1779	246	54	45	130	47	57	142	44	70	351	50	99	31	57	72	130	69	31	30	24					
6	Число погашенных избирательных бюллетеней	3770	362	274	26	463	51	71	63	45	62	58	23	264	10	54	114	88	406	531	451	354					
7	Число избирательных бюллетеней в переносных ящиках	1779	246	54	45	130	47	57	142	44	70	351	50	99	31	57	72	130	69	31	30	24					
8	Число бюллетеней в стационарных ящиках для голосования	4647	242	396	39	442	112	159	100	53	98	188	38	337	42	109	140	102	551	503	459	537					
9	Число недействительных избирательных бюллетеней	42	6	5	1	4	0	3	0	0	0	1	1	1	0	1	1	1	5	4	6	2					
10	Число действительных избирательных бюллетеней	6384	482	445	83	568	159	213	242	97	168	538	87	435	73	165	211	231	615	530	483	559					
11	Число полученных открепительных  удостоверений	168	10	10	2	20	5	8	5	2	5	10	2	10	2	3	5	5	16	16	16	16					
12	Число выданных открепительных удостоверений	41	3	4	0	2	0	3	0	0	0	2	0	0	0	0	1	0	6	11	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	0	2	0	12	0	3	1	2	2	2	2	2	0	2	1	0	2	2	4	6					
14	Число неиспользованных открепительных удостоверений	127	7	6	2	18	5	5	5	2	5	8	2	10	2	3	4	5	10	5	14	9					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	157	19	8	1	11	1	1	0	3	5	7	1	11	5	3	4	1	23	17	16	20					
		2.44%	3.89%	1.78%	1.19%	1.92%	0.63%	0.46%	0.00%	3.09%	2.98%	1.30%	1.14%	2.52%	6.85%	1.81%	1.89%	0.43%	3.71%	3.18%	3.27%	3.57%					
19	. Малышкин Олег Александрович	253	17	27	2	19	7	13	13	9	5	9	3	9	1	7	9	6	27	26	28	16					
		3.94%	3.48%	6.00%	2.38%	3.32%	4.40%	6.02%	5.37%	9.28%	2.98%	1.67%	3.41%	2.06%	1.37%	4.22%	4.25%	2.59%	4.35%	4.87%	5.73%	2.85%					
20	. Миронов Сергей Михайлович	62	3	3	0	6	6	3	1	0	1	2	0	7	0	2	3	5	5	6	2	7					
		0.96%	0.61%	0.67%	0.00%	1.05%	3.77%	1.39%	0.41%	0.00%	0.60%	0.37%	0.00%	1.61%	0.00%	1.20%	1.42%	2.16%	0.81%	1.12%	0.41%	1.25%					
21	. Путин Владимир Владимирович	4633	344	303	73	424	126	168	195	74	117	445	53	321	52	127	153	189	417	366	338	348					
		72.10%	70.49%	67.33%	86.90%	74.13%	79.25%	77.78%	80.58%	76.29%	69.64%	82.56%	60.23%	73.62%	71.23%	76.51%	72.17%	81.47%	67.26%	68.54%	69.12%	62.03%					
22	. Хакамада Ирина Муцуовна	93	7	10	0	7	1	3	5	3	2	2	1	6	0	2	4	5	16	5	4	10					
		1.45%	1.43%	2.22%	0.00%	1.22%	0.63%	1.39%	2.07%	3.09%	1.19%	0.37%	1.14%	1.38%	0.00%	1.20%	1.89%	2.16%	2.58%	0.94%	0.82%	1.78%					
23	. Харитонов Николай Михайлович	1046	86	84	7	94	18	20	27	3	37	68	28	74	15	24	36	22	97	89	87	130					
		16.28%	17.62%	18.67%	8.33%	16.43%	11.32%	9.26%	11.16%	3.09%	22.02%	12.62%	31.82%	16.97%	20.55%	14.46%	16.98%	9.48%	15.65%	16.67%	17.79%	23.17%					
																											
24	Против всех	140	6	10	0	7	0	5	1	5	1	5	1	7	0	0	2	3	30	21	8	28					
		2.18%	1.23%	2.22%	0.00%	1.22%	0.00%	2.31%	0.41%	5.15%	0.60%	0.93%	1.14%	1.61%	0.00%	0.00%	0.94%	1.29%	4.84%	3.93%	1.64%	4.99%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
