Выборы Президента Российской Федерации																																																																																														
Дата голосования: 02.03.2008																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Тайшетская																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
	Число участковых избирательных комиссий	87																																																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	87																																																																																												
																																																																																														
		Сумма	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200					
1	"Число избирателей, включенных в списки избирателей"	55418	42	759	280	188	648	170	155	231	133	335	649	199	271	111	599	263	21	853	932	43	584	777	185	264	166	138	408	240	144	783	788	277	140	624	338	108	110	433	1059	1031	356	137	177	73	329	239	397	279	655	882	357	447	1685	1040	1191	912	1184	343	789	709	801	755	890	1833	1409	1536	789	419	950	1471	986	1386	1066	1922	1311	983	269	713	1040	1016	1266	699	130	716	1050	1945	407					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52040	42	774	277	190	660	179	155	231	130	337	700	207	275	114	599	268	21	848	905	47	587	795	183	270	174	151	480	245	146	827	835	275	140	621	340	110	110	420	1070	1000	350	140	184	73	337	256	396	276	660	900	360	455	1700	900	1050	850	1050	340	730	700	770	750	800	1500	1200	1200	800	400	1000	1500	800	1000	900	1600	1100	1000	300	650	900	900	1000	600	145	600	950	1800	430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	40638	41	559	242	188	473	145	131	156	108	313	544	156	257	111	567	238	19	747	838	43	466	666	166	243	164	136	396	208	119	677	587	259	137	477	282	88	109	301	947	966	306	119	163	66	252	189	321	161	399	799	357	355	1484	540	759	596	610	238	556	563	616	652	648	1407	921	1114	446	308	676	994	601	790	740	1400	846	687	189	578	681	461	884	354	120	430	833	1159	0					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5787	1	131	20	0	163	21	20	59	22	22	105	19	12	0	32	25	0	61	50	0	118	60	17	21	0	0	8	32	25	95	167	16	3	88	23	20	0	93	60	20	44	15	12	7	77	29	25	85	134	66	0	90	94	193	149	126	278	48	167	85	73	44	97	93	101	51	101	39	64	71	43	175	21	53	41	114	44	70	56	108	66	168	3	82	113	136	407					
6	Число погашенных избирательных бюллетеней	5615	0	84	15	2	24	13	4	16	0	2	51	32	6	3	0	5	2	40	17	4	3	69	0	6	10	15	76	5	2	55	81	0	0	56	35	2	1	26	63	14	0	6	9	0	8	38	50	30	127	35	3	10	122	167	142	128	162	54	7	52	81	54	55	0	178	35	253	53	260	435	156	35	139	147	213	199	67	2	163	331	50	78	22	88	4	505	23					
