Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Ижевск, Первомайская"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453					
11	Число полученных открепительных  удостоверений	1039	20	24	20	20	18	20	25	20	20	15	20	20	25	20	20	20	20	25	15	25	34	20	20	20	30	27	20	15	20	20	20	20	20	15	20	20	10	5	29	20	20	20	20	20	20	16	24	16	20	24	20	2	0					
12	Число выданных открепительных удостоверений	788	10	24	19	15	16	19	25	15	15	15	3	20	23	18	11	18	15	24	9	25	29	15	12	4	30	23	17	2	16	16	12	17	5	5	5	13	8	3	27	17	15	19	19	17	10	16	24	13	9	21	8	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	902	19	31	20	21	18	17	18	8	12	16	4	18	15	18	11	16	9	25	15	12	22	27	9	27	18	17	12	13	12	6	9	14	8	16	13	22	9	10	61	11	16	14	8	5	23	17	46	18	12	20	11	7	46					
14	Число неиспользованных открепительных удостоверений	251	10	0	1	5	2	1	0	5	5	0	17	0	2	2	9	2	5	1	6	0	5	5	8	16	0	4	3	13	4	4	8	3	15	10	15	7	2	2	2	3	5	1	1	3	10	0	0	3	11	3	12	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	81	3	3	6	3	1	0	0	2	0	2	2	0	1	3	0	1	1	4	0	1	1	2	1	1	2	1	0	4	3	3	0	1	2	0	0	2	2	2	1	1	3	5	1	2	0	2	1	1	0	2	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	3543	57	94	63	69	63	62	88	97	69	88	33	101	71	140	71	92	62	78	74	121	111	87	78	34	62	99	55	19	97	70	19	80	17	28	16	64	34	19	79	74	83	66	148	63	51	113	82	40	55	49	33	7	18					
		5.75%	5.39%	6.08%	5.46%	4.62%	6.21%	5.70%	6.73%	7.71%	5.50%	6.50%	5.79%	9.19%	6.05%	8.19%	5.98%	5.78%	5.28%	5.55%	6.32%	6.65%	6.11%	7.03%	4.78%	3.84%	5.07%	5.62%	4.80%	3.97%	7.33%	6.40%	2.83%	6.61%	2.56%	3.80%	3.16%	5.28%	3.16%	2.78%	5.00%	6.16%	6.60%	5.05%	7.89%	5.23%	6.71%	6.77%	4.92%	4.54%	6.76%	4.15%	3.91%	2.90%	5.26%					
19	. Малышкин Олег Александрович	1481	23	36	26	33	27	34	23	10	24	30	6	14	25	38	22	35	45	28	17	39	44	30	42	28	27	52	31	18	33	26	15	45	24	22	24	30	31	24	38	31	29	33	40	26	7	37	37	24	24	39	26	3	6					
		2.40%	2.17%	2.33%	2.25%	2.21%	2.66%	3.13%	1.76%	0.79%	1.91%	2.22%	1.05%	1.27%	2.13%	2.22%	1.85%	2.20%	3.83%	1.99%	1.45%	2.14%	2.42%	2.42%	2.57%	3.16%	2.21%	2.95%	2.71%	3.77%	2.49%	2.38%	2.23%	3.72%	3.62%	2.99%	4.73%	2.47%	2.88%	3.51%	2.40%	2.58%	2.31%	2.52%	2.13%	2.16%	0.92%	2.22%	2.22%	2.72%	2.95%	3.30%	3.08%	1.24%	1.75%					
20	. Миронов Сергей Михайлович	542	17	20	15	15	8	11	20	11	5	9	8	6	8	14	6	15	11	18	8	17	18	12	11	10	13	18	7	4	10	13	2	5	4	5	10	12	9	4	14	11	8	12	8	6	10	10	11	7	12	11	7	1	5					
		0.88%	1.61%	1.29%	1.30%	1.00%	0.79%	1.01%	1.53%	0.87%	0.40%	0.66%	1.40%	0.55%	0.68%	0.82%	0.51%	0.94%	0.94%	1.28%	0.68%	0.93%	0.99%	0.97%	0.67%	1.13%	1.06%	1.02%	0.61%	0.84%	0.76%	1.19%	0.30%	0.41%	0.60%	0.68%	1.97%	0.99%	0.84%	0.58%	0.89%	0.92%	0.64%	0.92%	0.43%	0.50%	1.32%	0.60%	0.66%	0.79%	1.47%	0.93%	0.83%	0.41%	1.46%					
21	. Путин Владимир Владимирович	43926	759	1089	828	1028	699	752	854	834	861	921	376	752	841	1198	871	1132	840	1012	811	1313	1263	875	1209	639	873	1276	839	375	931	803	509	837	511	563	369	859	798	518	1184	832	895	956	1316	870	520	1179	1212	643	597	875	622	176	231					
		71.29%	71.74%	70.44%	71.75%	68.81%	68.87%	69.18%	65.29%	66.30%	68.61%	68.02%	65.96%	68.43%	71.70%	70.06%	73.38%	71.15%	71.55%	72.03%	69.32%	72.14%	69.51%	70.68%	74.08%	72.12%	71.38%	72.50%	73.21%	78.45%	70.32%	73.40%	75.74%	69.12%	77.07%	76.49%	72.78%	70.82%	74.23%	75.73%	74.89%	69.28%	71.20%	73.14%	70.19%	72.20%	68.42%	70.60%	72.71%	72.99%	73.34%	74.03%	73.78%	73.03%	67.54%					
22	. Хакамада Ирина Муцуовна	4209	65	120	62	108	84	77	109	132	106	98	73	116	81	105	78	116	77	128	99	135	110	89	101	54	93	94	53	16	85	60	51	77	20	53	38	75	56	21	84	92	84	63	126	70	73	112	124	49	40	76	72	9	20					
		6.83%	6.14%	7.76%	5.37%	7.23%	8.28%	7.08%	8.33%	10.49%	8.45%	7.24%	12.81%	10.56%	6.91%	6.14%	6.57%	7.29%	6.56%	9.11%	8.46%	7.42%	6.05%	7.19%	6.19%	6.09%	7.60%	5.34%	4.62%	3.35%	6.42%	5.48%	7.59%	6.36%	3.02%	7.20%	7.50%	6.18%	5.21%	3.07%	5.31%	7.66%	6.68%	4.82%	6.72%	5.81%	9.61%	6.71%	7.44%	5.56%	4.91%	6.43%	8.54%	3.73%	5.85%					
23	. Харитонов Николай Михайлович	5538	93	122	129	178	104	106	168	124	136	154	62	72	106	152	103	150	101	92	93	138	205	94	135	81	98	147	109	36	123	97	37	124	55	42	36	133	68	63	127	113	107	122	166	118	65	145	141	82	68	90	57	27	44					
		8.99%	8.79%	7.89%	11.18%	11.91%	10.25%	9.75%	12.84%	9.86%	10.84%	11.37%	10.88%	6.55%	9.04%	8.89%	8.68%	9.43%	8.60%	6.55%	7.95%	7.58%	11.28%	7.59%	8.27%	9.14%	8.01%	8.35%	9.51%	7.53%	9.29%	8.87%	5.51%	10.24%	8.30%	5.71%	7.10%	10.96%	6.33%	9.21%	8.03%	9.41%	8.51%	9.33%	8.85%	9.79%	8.55%	8.68%	8.46%	9.31%	8.35%	7.61%	6.76%	11.20%	12.87%					
																																																												
24	Против всех	1791	26	51	26	46	26	33	37	42	41	44	12	32	24	48	23	38	28	40	53	46	52	42	42	18	54	50	24	5	32	19	31	35	16	16	8	32	40	23	43	38	41	43	63	43	29	66	55	25	12	32	26	6	14					
		2.91%	2.46%	3.30%	2.25%	3.08%	2.56%	3.04%	2.83%	3.34%	3.27%	3.25%	2.11%	2.91%	2.05%	2.81%	1.94%	2.39%	2.39%	2.85%	4.53%	2.53%	2.86%	3.39%	2.57%	2.03%	4.42%	2.84%	2.09%	1.05%	2.42%	1.74%	4.61%	2.89%	2.41%	2.17%	1.58%	2.64%	3.72%	3.36%	2.72%	3.16%	3.26%	3.29%	3.36%	3.57%	3.82%	3.95%	3.30%	2.84%	1.47%	2.71%	3.08%	2.49%	4.09%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
