Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Скалистинская														
														
Итоги голосования 														
														
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466					
1	"Число избирателей, внесенных в список"	11376	1510	1933	1663	2160	1914	1479	717					
2	Число полученных избирательных бюллетеней	11360	1390	1940	1770	2160	1990	1390	720					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7749	966	1226	1038	1451	1253	1178	637					
5	"Число избирательных бюллетеней, выданных вне помещения"	74	39	4	6	15	10	0	0					
6	Число погашенных избирательных бюллетеней	3537	385	710	726	694	727	212	83					
7	Число избирательных бюллетеней в переносных ящиках	74	39	4	6	15	10	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	7744	966	1224	1037	1449	1253	1178	637					
9	Число недействительных избирательных бюллетеней	31	2	6	3	8	1	8	3					
10	Число действительных избирательных бюллетеней	7787	1003	1222	1040	1456	1262	1170	634					
11	Число полученных открепительных  удостоверений	490	60	60	60	100	60	100	50					
12	Число выданных открепительных удостоверений	354	40	34	53	82	41	89	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	273	24	84	13	96	26	19	11					
14	Число неиспользованных открепительных удостоверений	136	20	26	7	18	19	11	35					
15	"Число открепительных удостоверений, выданных в ТИК"	201	22	34	20	108	16	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	164	17	38	31	40	30	7	1					
		2.10%	1.69%	3.09%	2.97%	2.73%	2.38%	0.59%	0.16%					
19	. Малышкин Олег Александрович	229	30	42	26	40	42	40	9					
		2.93%	2.99%	3.42%	2.49%	2.73%	3.33%	3.40%	1.41%					
20	. Миронов Сергей Михайлович	65	8	13	8	13	10	11	2					
		0.83%	0.80%	1.06%	0.77%	0.89%	0.79%	0.93%	0.31%					
21	. Путин Владимир Владимирович	6377	839	964	839	1129	1018	1015	573					
		81.57%	83.48%	78.50%	80.44%	77.12%	80.60%	86.16%	89.95%					
22	. Хакамада Ирина Муцуовна	214	27	38	32	46	42	16	13					
		2.74%	2.69%	3.09%	3.07%	3.14%	3.33%	1.36%	2.04%					
23	. Харитонов Николай Михайлович	307	30	72	45	66	45	39	10					
		3.93%	2.99%	5.86%	4.31%	4.51%	3.56%	3.31%	1.57%					
														
24	Против всех	431	52	55	59	122	75	42	26					
		5.51%	5.17%	4.48%	5.66%	8.33%	5.94%	3.57%	4.08%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
