Выборы Президента Российской Федерации																																																																													
																																																																													
Наименование Избирательной комиссии:    Белебеевская																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565					
1	"Число избирателей, внесенных в список"	74341	1697	1532	1850	1594	1838	1822	1609	1752	1847	832	1062	1653	1619	1882	1606	1510	1960	1706	1721	1794	1606	1551	1615	1588	1605	1476	1606	1510	1617	1580	1531	1530	1666	1669	1601	1116	680	1620	595	538	490	930	579	1572	284	492	326	203	485	886	444	233	828	133	358	98	197	252	384	264	265	382	281	497	725	100	356	222	621	268					
2	Число полученных избирательных бюллетеней	73613	1600	1530	1770	1700	1835	1790	1640	1740	1760	844	937	1550	1580	1840	1550	1590	1830	1700	1720	1695	1550	1520	1520	1530	1545	1510	1620	1530	1620	1600	1560	1550	1750	1690	1640	1144	677	1580	615	563	469	970	558	1540	280	495	310	230	460	870	460	235	802	137	344	98	174	265	384	280	265	392	271	474	728	97	370	222	648	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	62380	1586	1323	1624	1319	1408	984	1468	1689	1641	709	734	860	1401	1667	1455	1480	1688	1618	1038	1622	912	1314	1203	1494	1422	965	1510	1254	1442	1388	1377	1407	1328	1474	1517	782	542	1000	561	512	443	848	548	1451	247	427	273	189	453	776	371	200	773	117	326	95	156	252	367	253	252	310	203	346	565	86	327	207	581	220					
5	"Число избирательных бюллетеней, выданных вне помещения"	2429	9	77	61	51	173	32	10	26	41	13	5	30	56	26	38	30	17	10	26	46	18	21	7	14	102	11	32	159	26	32	16	16	102	30	43	74	70	46	34	24	26	36	0	12	23	41	37	14	0	64	53	13	13	11	18	3	11	0	17	11	0	36	24	116	123	0	29	4	40	0					
6	Число погашенных избирательных бюллетеней	8764	5	130	85	330	254	774	162	25	78	122	198	660	123	147	57	80	125	72	616	27	620	185	310	22	21	534	78	117	152	180	167	127	320	186	80	288	65	534	20	27	0	86	10	77	10	27	0	27	7	30	36	22	16	9	0	0	7	13	0	16	13	46	44	12	40	11	14	11	27	50					
7	Число избирательных бюллетеней в переносных ящиках	2428	9	77	61	51	173	32	10	26	41	13	5	30	56	26	38	30	17	10	25	46	18	21	7	14	102	11	32	159	26	32	16	16	102	30	43	74	70	46	34	24	26	36	0	12	23	41	37	14	0	64	53	13	13	11	18	3	11	0	17	11	0	36	24	116	123	0	29	4	40	0					
8	Число бюллетеней в стационарных ящиках для голосования	62357	1586	1320	1624	1319	1408	984	1468	1689	1640	709	734	860	1401	1667	1455	1480	1688	1608	1038	1622	912	1314	1203	1494	1422	965	1510	1254	1437	1386	1377	1407	1326	1474	1517	782	542	1000	561	512	443	848	548	1451	247	427	273	189	453	776	371	200	773	117	326	95	156	252	367	253	252	310	203	346	565	86	327	207	581	220					
9	Число недействительных избирательных бюллетеней	267	2	9	0	11	0	5	0	0	0	2	3	8	6	5	5	5	19	0	7	13	4	4	1	9	2	11	5	1	3	6	5	0	17	5	5	7	2	12	0	4	0	2	5	3	1	6	0	0	2	8	5	1	0	0	0	0	1	1	0	0	0	1	0	3	12	1	7	0	5	0					
10	Число действительных избирательных бюллетеней	64518	1593	1388	1685	1359	1581	1011	1478	1715	1681	720	736	882	1451	1688	1488	1505	1686	1618	1056	1655	926	1331	1209	1499	1522	965	1537	1412	1460	1412	1388	1423	1411	1499	1555	849	610	1034	595	532	469	882	543	1460	269	462	310	203	451	832	419	212	786	128	344	98	166	251	384	264	252	345	227	459	676	85	349	211	616	220					
11	Число полученных открепительных  удостоверений	1873	25	25	25	25	60	30	30	63	25	25	50	50	40	40	50	40	40	60	40	50	60	60	40	40	40	40	40	40	40	40	40	40	40	40	40	25	25	40	25	25	20	30	10	20	5	10	10	15	15	20	15	5	15	5	5	5	15	5	5	5	5	15	5	10	10	0	5	5	5	5					
12	Число выданных открепительных удостоверений	960	19	12	13	15	33	15	26	37	5	12	20	17	21	16	30	24	26	14	20	29	31	15	37	19	24	30	30	26	40	27	31	35	15	26	29	15	13	8	4	4	0	15	1	2	1	3	2	0	11	17	6	1	10	0	3	0	1	1	0	2	0	8	1	3	2	0	3	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	584	2	5	25	6	13	3	9	3	5	4	10	9	4	10	15	7	19	9	12	39	8	10	33	3	53	11	8	4	39	19	3	8	4	4	3	4	16	11	15	9	14	10	2	8	0	3	2	2	22	4	6	0	5	0	0	2	3	1	5	4	0	0	3	1	6	2	2	1	1	1					
14	Число неиспользованных открепительных удостоверений	913	6	13	12	10	27	15	4	26	20	13	30	33	19	24	20	16	14	46	20	21	29	45	3	21	16	10	10	14	0	13	9	5	25	14	11	10	12	32	21	21	20	15	9	18	4	7	8	15	4	3	9	4	5	5	2	5	14	4	5	3	5	7	4	7	8	0	2	5	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1	1	0	0	1	1	0	0	0	3	1	1	1	3	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	534	23	26	7	12	18	19	0	15	13	8	21	29	10	6	7	10	28	13	21	21	12	28	2	9	8	16	7	4	15	5	14	2	8	7	9	10	6	24	2	4	0	0	6	2	0	2	0	1	0	9	1	1	2	0	1	0	1	2	1	2	0	3	0	0	0	0	0	0	0	1					
		0.82%	1.44%	1.86%	0.42%	0.88%	1.14%	1.87%	0.00%	0.87%	0.77%	1.11%	2.84%	3.26%	0.69%	0.35%	0.47%	0.66%	1.64%	0.80%	1.98%	1.26%	1.29%	2.10%	0.17%	0.60%	0.52%	1.64%	0.45%	0.28%	1.03%	0.35%	1.01%	0.14%	0.56%	0.47%	0.58%	1.17%	0.98%	2.29%	0.34%	0.75%	0.00%	0.00%	1.09%	0.14%	0.00%	0.43%	0.00%	0.49%	0.00%	1.07%	0.24%	0.47%	0.25%	0.00%	0.29%	0.00%	0.60%	0.79%	0.26%	0.76%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%					
19	. Малышкин Олег Александрович	348	10	7	9	16	9	13	0	11	7	5	12	15	5	12	6	5	16	5	12	16	8	10	2	11	6	11	4	2	11	6	3	0	5	2	5	11	0	26	2	2	0	0	2	1	0	1	2	1	2	3	1	2	1	0	0	1	0	3	1	0	0	2	0	0	2	0	0	0	3	2					
		0.54%	0.63%	0.50%	0.53%	1.17%	0.57%	1.28%	0.00%	0.64%	0.42%	0.69%	1.62%	1.69%	0.34%	0.71%	0.40%	0.33%	0.94%	0.31%	1.13%	0.96%	0.86%	0.75%	0.17%	0.73%	0.39%	1.13%	0.26%	0.14%	0.75%	0.42%	0.22%	0.00%	0.35%	0.13%	0.32%	1.29%	0.00%	2.49%	0.34%	0.37%	0.00%	0.00%	0.36%	0.07%	0.00%	0.21%	0.65%	0.49%	0.44%	0.36%	0.24%	0.94%	0.13%	0.00%	0.00%	1.02%	0.00%	1.19%	0.26%	0.00%	0.00%	0.58%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.48%	0.91%					
