Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Крутихинская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991					
1	"Число избирателей, внесенных в список"	9918	106	345	603	286	898	1320	620	158	111	1649	1507	562	161	74	60	340	951	167					
2	Число полученных избирательных бюллетеней	9985	115	380	650	350	950	1200	650	170	130	1500	1500	550	160	80	70	360	1000	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6013	82	250	377	177	646	666	365	89	80	918	867	425	102	58	43	219	490	159					
5	"Число избирательных бюллетеней, выданных вне помещения"	479	8	11	18	32	46	69	41	12	0	70	46	48	7	0	4	12	55	0					
6	Число погашенных избирательных бюллетеней	3493	25	119	255	141	258	465	244	69	50	512	587	77	51	22	23	129	455	11					
7	Число избирательных бюллетеней в переносных ящиках	479	8	11	18	32	46	69	41	12	0	70	46	48	7	0	4	12	55	0					
8	Число бюллетеней в стационарных ящиках для голосования	6013	82	250	377	177	646	666	365	89	80	918	867	425	102	58	43	219	490	159					
9	Число недействительных избирательных бюллетеней	72	0	3	4	0	2	11	4	1	2	11	9	13	1	0	1	3	5	2					
10	Число действительных избирательных бюллетеней	6420	90	258	391	209	690	724	402	100	78	977	904	460	108	58	46	228	540	157					
11	Число полученных открепительных  удостоверений	100	2	5	5	5	10	10	5	2	2	10	10	5	3	2	2	7	10	5					
12	Число выданных открепительных удостоверений	19	0	3	1	0	1	1	1	0	0	6	2	1	0	0	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	2	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	81	2	2	4	5	9	9	4	2	2	4	8	4	3	2	2	6	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	226	1	10	6	4	19	45	7	3	4	41	35	20	2	2	1	9	14	3					
		3.48%	1.11%	3.83%	1.52%	1.91%	2.75%	6.12%	1.72%	2.97%	5.00%	4.15%	3.83%	4.23%	1.83%	3.45%	2.13%	3.90%	2.57%	1.89%					
19	. Малышкин Олег Александрович	214	3	8	10	4	23	17	15	5	2	38	31	13	5	3	1	13	17	6					
		3.30%	3.33%	3.07%	2.53%	1.91%	3.32%	2.31%	3.69%	4.95%	2.50%	3.85%	3.40%	2.75%	4.59%	5.17%	2.13%	5.63%	3.12%	3.77%					
20	. Миронов Сергей Михайлович	50	0	0	2	1	12	8	6	2	0	0	5	2	0	0	0	4	5	3					
		0.77%	0.00%	0.00%	0.51%	0.48%	1.73%	1.09%	1.48%	1.98%	0.00%	0.00%	0.55%	0.42%	0.00%	0.00%	0.00%	1.73%	0.92%	1.89%					
21	. Путин Владимир Владимирович	3954	60	124	294	127	454	349	245	71	41	622	620	251	68	34	35	136	317	106					
		60.91%	66.67%	47.51%	74.43%	60.77%	65.61%	47.48%	60.34%	70.30%	51.25%	62.96%	67.91%	53.07%	62.39%	58.62%	74.47%	58.87%	58.17%	66.67%					
22	. Хакамада Ирина Муцуовна	105	2	4	11	2	9	9	3	0	2	14	26	3	1	0	2	3	8	6					
		1.62%	2.22%	1.53%	2.78%	0.96%	1.30%	1.22%	0.74%	0.00%	2.50%	1.42%	2.85%	0.63%	0.92%	0.00%	4.26%	1.30%	1.47%	3.77%					
23	. Харитонов Николай Михайлович	1750	23	107	58	69	164	286	119	18	28	229	164	169	28	19	5	59	174	31					
		26.96%	25.56%	41.00%	14.68%	33.01%	23.70%	38.91%	29.31%	17.82%	35.00%	23.18%	17.96%	35.73%	25.69%	32.76%	10.64%	25.54%	31.93%	19.50%					
																									
24	Против всех	121	1	5	10	2	9	10	7	1	1	33	23	2	4	0	2	4	5	2					
		1.86%	1.11%	1.92%	2.53%	0.96%	1.30%	1.36%	1.72%	0.99%	1.25%	3.34%	2.52%	0.42%	3.67%	0.00%	4.26%	1.73%	0.92%	1.26%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
