Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Байкитская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25					
1	"Число избирателей, внесенных в список"	3790	1352	1242	226	104	53	83	232	277	93	89	39					
2	Число полученных избирательных бюллетеней	3700	1320	1123	229	120	60	90	241	282	100	90	45					
3	"Число избирательных бюллетеней, выданных  досрочно"	86	83	0	0	0	0	0	0	3	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2299	810	632	154	93	43	59	151	194	55	74	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	205	59	127	4	0	0	0	11	0	4	0	0					
6	Число погашенных избирательных бюллетеней	1110	368	364	71	27	17	31	79	85	41	16	11					
7	Число избирательных бюллетеней в переносных ящиках	291	142	127	4	0	0	0	11	3	4	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	2299	810	632	154	93	43	59	151	194	55	74	34					
9	Число недействительных избирательных бюллетеней	20	5	10	1	0	0	0	3	1	0	0	0					
10	Число действительных избирательных бюллетеней	2570	947	749	157	93	43	59	159	196	59	74	34					
11	Число полученных открепительных  удостоверений	243	50	50	35	10	10	10	20	20	15	15	8					
12	Число выданных открепительных удостоверений	32	10	6	1	0	1	0	8	1	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	15	2	0	0	0	0	1	1	0	2	0					
14	Число неиспользованных открепительных удостоверений	211	40	44	34	10	9	10	12	19	15	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	7	6	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	129	68	34	9	3	3	0	3	4	2	3	0					
		4.98%	7.14%	4.48%	5.70%	3.23%	6.98%	0.00%	1.85%	2.03%	3.39%	4.05%	0.00%					
19	. Малышкин Олег Александрович	33	9	11	2	0	0	0	7	0	0	3	1					
		1.27%	0.95%	1.45%	1.27%	0.00%	0.00%	0.00%	4.32%	0.00%	0.00%	4.05%	2.94%					
20	. Миронов Сергей Михайлович	15	7	4	0	1	0	0	1	0	1	0	1					
		0.58%	0.74%	0.53%	0.00%	1.08%	0.00%	0.00%	0.62%	0.00%	1.69%	0.00%	2.94%					
21	. Путин Владимир Владимирович	2140	763	625	125	84	33	58	131	176	56	60	29					
		82.63%	80.15%	82.35%	79.11%	90.32%	76.74%	98.31%	80.86%	89.34%	94.92%	81.08%	85.29%					
22	. Хакамада Ирина Муцуовна	73	35	19	6	3	0	1	1	4	0	4	0					
		2.82%	3.68%	2.50%	3.80%	3.23%	0.00%	1.69%	0.62%	2.03%	0.00%	5.41%	0.00%					
23	. Харитонов Николай Михайлович	108	35	37	5	1	0	0	14	11	0	3	2					
		4.17%	3.68%	4.87%	3.16%	1.08%	0.00%	0.00%	8.64%	5.58%	0.00%	4.05%	5.88%					
																		
24	Против всех	72	30	19	10	1	7	0	2	1	0	1	1					
		2.78%	3.15%	2.50%	6.33%	1.08%	16.28%	0.00%	1.23%	0.51%	0.00%	1.35%	2.94%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
