Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Хасавюртовская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423					
1	"Число избирателей, внесенных в список"	78469	1047	413	785	556	1051	1399	2524	1699	323	395	1029	1590	2400	1691	1920	639	1500	530	1780	1840	981	2301	2320	888	964	1260	2170	536	694	444	306	574	1296	764	167	2430	2410	2377	739	2412	492	2701	2092	166	1153	1331	1860	367	2406	1106	754	2035	424	2611	1169	1669	236	2951	463	1339					
2	Число полученных избирательных бюллетеней	78375	1050	420	780	535	1060	1395	2535	1700	325	390	985	1595	2385	1620	1930	630	1500	530	1790	1850	980	2310	2330	890	970	1240	2135	530	690	420	290	575	1300	750	160	2440	2420	2390	740	2420	475	2835	2060	160	1140	1310	1860	360	2410	1110	750	2045	425	2630	1175	1675	230	2935	460	1345					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72091	965	377	700	528	972	1256	2323	1620	291	357	936	1420	2065	1486	1604	575	1391	499	1580	1687	912	2090	2107	869	964	1097	1992	506	630	394	275	550	1176	704	149	2330	2310	2004	690	2292	439	2701	2033	156	1037	1134	1720	340	2246	960	736	1840	387	2395	1150	1500	214	2804	424	1202					
5	"Число избирательных бюллетеней, выданных вне помещения"	1229	0	10	54	0	0	16	0	0	0	8	9	61	139	75	162	13	0	0	43	12	0	19	0	0	0	40	0	0	29	17	5	0	13	0	3	0	0	180	13	0	13	0	12	0	47	78	0	0	40	50	0	0	0	6	0	40	0	0	0	22					
6	Число погашенных избирательных бюллетеней	5055	85	33	26	7	88	123	212	80	34	25	40	114	181	59	164	42	109	31	167	151	68	201	223	21	6	103	143	24	31	9	10	25	111	46	8	110	110	206	37	128	23	134	15	4	56	98	140	20	124	100	14	205	38	229	25	135	16	131	36	121					
7	Число избирательных бюллетеней в переносных ящиках	1229	0	10	54	0	0	16	0	0	0	8	9	61	139	75	162	13	0	0	43	12	0	19	0	0	0	40	0	0	29	17	5	0	13	0	3	0	0	180	13	0	13	0	12	0	47	78	0	0	40	50	0	0	0	6	0	40	0	0	0	22					
8	Число бюллетеней в стационарных ящиках для голосования	72090	965	377	700	528	972	1256	2323	1620	291	357	936	1420	2065	1486	1604	575	1391	499	1580	1687	912	2090	2107	869	964	1097	1992	506	630	394	275	550	1176	704	149	2330	2310	2004	690	2292	439	2701	2033	155	1037	1134	1720	340	2246	960	736	1840	387	2395	1150	1500	214	2804	424	1202					
9	Число недействительных избирательных бюллетеней	213	4	0	2	0	0	0	0	0	0	0	0	10	5	0	16	0	0	0	8	58	0	0	9	3	0	0	11	0	0	0	0	0	0	0	0	0	0	4	5	0	8	0	6	0	9	14	1	0	3	0	0	7	0	12	0	13	0	4	1	0					
10	Число действительных избирательных бюллетеней	73106	961	387	752	528	972	1272	2323	1620	291	365	945	1471	2199	1561	1750	588	1391	499	1615	1641	912	2109	2098	866	964	1137	1981	506	659	411	280	550	1189	704	152	2330	2310	2180	698	2292	444	2701	2039	155	1075	1198	1719	340	2283	1010	736	1833	387	2389	1150	1527	214	2800	423	1224					
