Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Октябрьская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245					
1	"Число избирателей, внесенных в список"	24522	1607	1527	1147	1431	758	679	166	1221	1185	1536	239	338	218	343	137	217	1076	692	328	222	494	527	312	568	427	574	438	147	422	1426	266	150	345	316	226	281	254	270	285	147	125	516	432	392	115					
2	Число полученных избирательных бюллетеней	23297	1550	1330	1150	1330	720	660	170	1200	1150	1470	240	335	220	320	137	210	955	660	290	230	470	469	290	540	410	540	400	145	400	1300	240	160	316	320	230	270	240	240	270	140	120	480	400	460	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	739	0	0	0	0	0	0	0	0	0	0	0	0	0	67	44	0	54	74	0	0	0	58	0	0	0	33	0	0	0	49	79	0	71	0	0	0	0	31	0	10	0	75	67	27	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15208	890	809	663	876	423	322	120	643	566	832	204	287	146	160	77	153	528	424	240	188	407	351	248	506	295	402	355	125	295	837	155	112	146	196	151	210	214	180	234	106	95	324	296	315	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	2784	99	209	85	36	139	131	26	171	130	102	35	40	64	76	16	43	241	65	21	18	60	60	16	30	100	60	42	17	52	121	6	35	88	64	60	10	26	20	20	16	11	64	29	17	13					
6	Число погашенных избирательных бюллетеней	4566	561	312	402	418	158	207	24	386	454	536	1	8	10	17	0	14	132	97	29	24	3	0	26	4	15	45	3	3	53	293	0	13	11	60	19	50	0	9	16	8	14	17	8	101	5					
7	Число избирательных бюллетеней в переносных ящиках	3523	99	209	85	36	139	131	26	171	130	102	35	40	64	143	60	43	295	139	21	18	60	118	16	30	100	93	42	17	52	170	85	35	159	64	60	10	26	51	20	26	11	139	96	44	13					
8	Число бюллетеней в стационарных ящиках для голосования	15208	890	809	663	876	423	322	120	643	566	832	204	287	146	160	77	153	528	424	240	188	407	351	248	506	295	402	355	125	295	837	155	112	146	196	151	210	214	180	234	106	95	324	296	315	102					
9	Число недействительных избирательных бюллетеней	120	0	1	5	3	0	3	1	8	1	9	2	0	3	4	0	0	8	4	3	5	0	0	2	4	3	0	5	3	1	6	1	1	5	5	1	2	4	3	3	0	1	1	2	6	1					
10	Число действительных избирательных бюллетеней	18611	989	1017	743	909	562	450	145	806	695	925	237	327	207	299	137	196	815	559	258	201	467	469	262	532	392	495	392	139	346	1001	239	146	300	255	210	218	236	228	251	132	105	462	390	353	114					
11	Число полученных открепительных  удостоверений	644	30	33	30	30	10	10	10	27	30	33	10	5	5	15	5	15	20	40	20	10	25	5	5	10	15	15	10	17	10	15	5	5	8	5	5	5	12	23	5	6	10	15	10	10	5					
12	Число выданных открепительных удостоверений	513	26	17	23	23	6	10	1	23	18	32	10	4	5	8	0	11	14	35	20	8	25	5	5	10	12	15	10	16	8	12	3	5	6	1	3	1	12	23	5	6	5	15	8	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	203	12	39	12	11	3	4	3	3	2	7	4	1	1	5	2	3	1	0	10	2	4	8	3	9	5	4	8	4	3	5	4	2	1	1	1	1	3	0	0	2	3	1	5	0	1					
