Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Слободская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070					
1	"Число избирателей, внесенных в список"	26098	742	92	286	273	774	211	621	332	248	243	185	70	2689	1460	1433	1491	1608	1766	720	1807	537	972	1007	123	317	271	57	396	107	636	519	322	473	886	127	96	242	426	799	136	70	443	85					
2	Число полученных избирательных бюллетеней	25100	660	85	260	230	730	200	580	300	250	230	180	80	2600	1400	1450	1450	1500	1700	700	1770	500	900	970	115	330	290	60	400	110	630	500	320	450	830	120	95	230	400	750	130	65	450	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15390	442	77	192	193	439	108	406	244	143	174	107	49	1557	845	906	826	867	997	315	910	349	575	624	69	208	193	52	239	71	369	339	208	318	525	81	70	148	242	423	92	60	289	49					
5	"Число избирательных бюллетеней, выданных вне помещения"	1489	27	4	5	5	126	55	11	0	9	7	26	10	106	46	33	46	29	19	61	107	35	43	20	9	53	15	0	50	18	66	33	21	9	75	27	18	25	92	82	4	3	35	24					
6	Число погашенных избирательных бюллетеней	8221	191	4	63	32	165	37	163	56	98	49	47	21	937	509	511	578	604	684	324	753	116	282	326	37	69	82	8	111	21	195	128	91	123	230	12	7	57	66	245	34	2	126	27					
7	Число избирательных бюллетеней в переносных ящиках	1489	27	4	5	5	126	55	11	0	9	7	26	10	106	46	33	46	29	19	61	107	35	43	20	9	53	15	0	50	18	66	33	21	9	75	27	18	25	92	82	4	3	35	24					
8	Число бюллетеней в стационарных ящиках для голосования	15389	442	77	192	193	439	108	406	244	143	174	107	49	1557	845	906	826	867	997	315	910	349	575	624	69	208	193	52	239	71	369	339	208	318	525	81	70	147	242	423	92	60	289	49					
9	Число недействительных избирательных бюллетеней	176	4	0	0	0	2	1	2	1	0	0	0	0	21	9	14	12	16	11	5	9	5	5	9	1	3	2	1	2	1	6	6	2	2	7	0	0	1	5	6	0	0	4	1					
10	Число действительных избирательных бюллетеней	16702	465	81	197	198	563	162	415	243	152	181	133	59	1642	882	925	860	880	1005	371	1008	379	613	635	77	258	206	51	287	88	429	366	227	325	593	108	88	171	329	499	96	63	320	72					
11	Число полученных открепительных  удостоверений	322	12	3	3	3	10	13	6	4	3	3	3	3	12	12	12	12	12	12	6	12	6	12	12	2	13	10	2	3	2	26	6	4	6	8	3	2	3	15	10	4	4	9	4					
12	Число выданных открепительных удостоверений	178	8	0	0	1	7	13	5	0	1	0	2	0	8	6	7	3	4	4	2	6	5	5	12	2	11	5	0	3	0	10	6	3	5	5	1	0	0	15	2	0	2	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	157	12	1	1	30	11	5	8	14	0	3	4	0	3	2	1	4	0	5	1	3	1	3	6	3	0	4	0	1	2	4	1	0	3	2	2	0	1	6	2	4	1	1	2					
14	Число неиспользованных открепительных удостоверений	144	4	3	3	2	3	0	1	4	2	3	1	3	4	6	5	9	8	8	4	6	1	7	0	0	2	5	2	0	2	16	0	1	1	3	2	2	3	0	8	4	2	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	21	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	5	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	2	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	601	17	2	7	10	23	7	17	11	2	5	1	0	82	48	32	40	35	44	10	36	8	32	18	3	3	2	1	10	2	8	13	9	5	14	3	0	1	1	20	5	4	10	0					
		3.56%	3.62%	2.47%	3.55%	5.05%	4.07%	4.29%	4.08%	4.51%	1.32%	2.76%	0.75%	0.00%	4.93%	5.39%	3.41%	4.59%	3.91%	4.33%	2.66%	3.54%	2.08%	5.18%	2.80%	3.85%	1.15%	0.96%	1.92%	3.46%	2.25%	1.84%	3.49%	3.93%	1.53%	2.33%	2.78%	0.00%	0.58%	0.30%	3.96%	5.21%	6.35%	3.09%	0.00%					
19	. Малышкин Олег Александрович	453	9	0	6	4	15	5	10	5	4	4	1	1	36	18	36	21	31	34	9	39	12	12	19	5	5	8	4	7	2	11	8	3	5	11	3	1	2	16	21	2	2	5	1					
		2.68%	1.92%	0.00%	3.05%	2.02%	2.65%	3.07%	2.40%	2.05%	2.63%	2.21%	0.75%	1.69%	2.16%	2.02%	3.83%	2.41%	3.46%	3.35%	2.39%	3.83%	3.12%	1.94%	2.95%	6.41%	1.92%	3.85%	7.69%	2.42%	2.25%	2.53%	2.15%	1.31%	1.53%	1.83%	2.78%	1.14%	1.16%	4.79%	4.16%	2.08%	3.17%	1.54%	1.37%					
20	. Миронов Сергей Михайлович	158	5	1	1	1	5	4	0	0	1	2	4	0	18	7	13	10	5	14	3	10	4	8	8	1	2	3	0	2	2	1	2	1	1	6	0	0	0	3	7	0	0	2	1					
