Выборы Президента Российской Федерации																																																																																		
Дата голосования: 02.03.2008																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Невская N24																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
	Число участковых избирательных комиссий	75																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																
																																																																																		
		Сумма	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1803	УИК №1804	УИК №1805	УИК №1806					
1	"Число избирателей, включенных в списки избирателей"	154426	1792	2071	2304	1679	1567	1588	2524	2119	1896	2055	1796	2159	1337	1719	1941	1875	1678	1698	1767	1683	1784	1899	2195	2247	1845	2439	2134	1764	1784	2186	2023	2183	1897	1863	1218	1874	1827	2493	2438	2391	2153	2347	1886	2448	2821	2748	2348	2704	2914	2257	2052	1788	2371	2064	2116	2272	2324	2196	1924	1881	2438	1723	2308	2656	2534	2154	1561	2090	2176	1895	1449	1770	1732	2354	2240					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	154500	1550	2050	2350	1550	1550	1550	2350	2100	2050	2000	1750	2200	1500	1750	1850	1850	1700	1750	1750	1700	1700	1900	2200	2200	1900	2500	2300	1800	1800	2200	2000	2300	1900	1800	1200	1800	1800	1500	2500	2200	2300	2400	1900	2450	2800	2850	2400	2850	2850	2300	2350	1800	2300	2050	2150	2300	2400	2100	2100	1950	2350	1700	2450	2750	2500	2200	1550	2100	2200	1800	1550	1750	1750	2300	2550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	92757	1075	1235	1415	1037	993	1011	1431	1343	1178	1233	1039	1280	752	1031	1017	1125	1010	1082	1127	914	1070	1143	1143	1267	1062	1449	1243	1163	1175	1320	1244	1292	1147	1119	797	1124	1109	984	1479	1201	1199	1444	1323	1760	1692	1640	1384	1844	1792	1347	1193	1072	1172	1252	1270	1376	1428	1320	1119	1112	1460	1126	1180	1594	1524	1292	1076	1104	1246	1137	1201	1171	1204	1530	1314					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3049	94	20	33	34	49	62	37	31	42	43	43	38	36	35	35	31	55	39	33	14	25	33	54	53	45	49	61	22	27	44	36	48	38	35	18	27	47	8	32	165	55	27	30	28	21	22	68	16	69	17	44	39	72	33	23	39	57	40	42	30	34	44	48	48	64	43	36	23	13	16	156	21	10	20	30					
6	Число погашенных избирательных бюллетеней	58694	381	795	902	479	508	477	882	726	830	724	668	882	712	684	798	694	635	629	590	772	605	724	1003	880	793	1002	996	615	598	836	720	960	715	646	385	649	644	508	989	834	1046	929	547	662	1087	1188	948	990	989	936	1113	689	1056	765	857	885	915	740	939	808	856	530	1222	1108	912	865	438	973	941	647	193	558	536	750	1206					
