Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Район Западное Дегунино																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №3053	УИК №3054					
1	"Число избирателей, внесенных в список"	46721	2869	2815	2707	2821	1965	2082	2641	2680	2054	2818	2639	2615	2386	2565	2668	2717	2677	2699	236	67					
2	Число полученных избирательных бюллетеней	43469	2600	2600	2450	2600	1900	2000	2450	2450	2000	2600	2450	2500	2250	2400	2500	2500	2400	2500	250	69					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27663	1459	1459	1390	1521	1189	1552	1586	1839	1390	1793	1594	1727	1371	1421	1620	1478	1658	1415	134	67					
5	"Число избирательных бюллетеней, выданных вне помещения"	1959	88	139	67	177	109	125	128	32	122	93	106	63	121	88	107	29	125	138	102	0					
6	Число погашенных избирательных бюллетеней	13847	1053	1002	993	902	602	323	736	579	488	714	750	710	758	891	773	993	617	947	14	2					
7	Число избирательных бюллетеней в переносных ящиках	1959	88	139	67	177	109	125	128	32	122	93	106	63	121	88	107	29	125	138	102	0					
8	Число бюллетеней в стационарных ящиках для голосования	27565	1459	1459	1385	1521	1189	1552	1586	1839	1390	1700	1594	1727	1371	1421	1620	1478	1658	1415	134	67					
9	Число недействительных избирательных бюллетеней	430	14	28	12	16	6	0	171	19	19	37	8	8	16	23	11	11	23	0	8	0					
10	Число действительных избирательных бюллетеней	29094	1533	1570	1440	1682	1292	1677	1543	1852	1493	1756	1692	1782	1476	1486	1716	1496	1760	1553	228	67					
11	Число полученных открепительных  удостоверений	1080	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0					
12	Число выданных открепительных удостоверений	637	32	39	39	33	42	43	29	36	41	28	48	56	24	32	52	21	20	22	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	252	19	22	17	25	14	13	8	4	14	25	5	10	23	5	4	24	7	3	10	0					
14	Число неиспользованных открепительных удостоверений	443	28	21	21	27	18	17	31	24	19	32	12	4	36	28	8	39	40	38	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	12	4	0	1	1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1562	115	79	97	168	66	81	59	97	57	77	83	94	79	77	84	98	66	60	24	1					
		5.29%	7.43%	4.94%	6.68%	9.89%	5.08%	4.83%	3.44%	5.18%	3.77%	4.29%	4.88%	5.25%	5.29%	5.10%	4.86%	6.50%	3.70%	3.86%	10.17%	1.49%					
19	. Малышкин Олег Александрович	393	15	27	19	13	12	26	27	18	14	26	21	27	21	25	25	31	30	13	3	0					
		1.33%	0.97%	1.69%	1.31%	0.77%	0.92%	1.55%	1.58%	0.96%	0.93%	1.45%	1.24%	1.51%	1.41%	1.66%	1.45%	2.06%	1.68%	0.84%	1.27%	0.00%					
20	. Миронов Сергей Михайлович	121	5	6	14	3	3	6	13	10	3	6	13	2	4	3	10	5	8	7	0	0					
		0.41%	0.32%	0.38%	0.96%	0.18%	0.23%	0.36%	0.76%	0.53%	0.20%	0.33%	0.76%	0.11%	0.27%	0.20%	0.58%	0.33%	0.45%	0.45%	0.00%	0.00%					
21	. Путин Владимир Владимирович	21865	1111	1183	1010	1228	977	1270	1220	1430	1086	1337	1264	1215	1096	1146	1274	1064	1427	1316	145	66					
		74.06%	71.82%	74.03%	69.56%	72.32%	75.27%	75.73%	71.18%	76.43%	71.83%	74.57%	74.35%	67.88%	73.46%	75.94%	73.77%	70.60%	80.03%	84.74%	61.44%	98.51%					
22	. Хакамада Ирина Муцуовна	1770	84	115	111	106	64	118	80	89	123	130	100	173	74	60	114	100	73	46	10	0					
		6.00%	5.43%	7.20%	7.64%	6.24%	4.93%	7.04%	4.67%	4.76%	8.13%	7.25%	5.88%	9.66%	4.96%	3.98%	6.60%	6.64%	4.09%	2.96%	4.24%	0.00%					
23	. Харитонов Николай Михайлович	1825	113	83	81	94	104	101	104	104	119	109	91	142	107	101	91	105	74	82	20	0					
		6.18%	7.30%	5.19%	5.58%	5.54%	8.01%	6.02%	6.07%	5.56%	7.87%	6.08%	5.35%	7.93%	7.17%	6.69%	5.27%	6.97%	4.15%	5.28%	8.47%	0.00%					
																											
24	Против всех	1558	90	77	108	70	66	75	40	104	91	71	120	129	95	74	118	93	82	29	26	0					
		5.28%	5.82%	4.82%	7.44%	4.12%	5.08%	4.47%	2.33%	5.56%	6.02%	3.96%	7.06%	7.21%	6.37%	4.90%	6.83%	6.17%	4.60%	1.87%	11.02%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
