Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Мостовская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142					
1	"Число избирателей, внесенных в список"	53213	1261	1903	1859	2157	1858	1585	1610	1592	1709	1230	1287	626	1801	860	767	1472	1173	1509	1172	557	2026	822	2409	2244	523	345	1417	1060	422	1161	2367	456	1499	889	193	238	1320	1513	1007	1129	1583	602					
2	Число полученных избирательных бюллетеней	54158	1292	1937	1898	2192	1905	1618	1623	1622	1603	1252	1297	625	1863	881	772	1469	1199	1541	1172	550	2065	830	2461	2337	530	351	1464	1143	429	1180	2429	475	1535	913	193	239	1309	1534	1017	1161	1630	622					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28301	647	1063	995	1159	1030	895	803	809	862	619	755	260	1027	508	399	684	570	706	542	255	1050	539	1380	1186	260	157	722	551	213	756	1425	157	756	518	104	138	817	792	509	529	864	290					
5	"Число избирательных бюллетеней, выданных вне помещения"	2531	6	41	52	42	35	43	60	70	135	58	17	164	43	53	40	49	69	54	75	125	57	25	65	47	27	25	24	147	26	63	18	102	80	37	29	16	125	135	64	67	55	66					
6	Число погашенных избирательных бюллетеней	23326	639	833	851	991	840	680	760	743	606	575	525	201	793	320	333	736	560	781	555	170	958	266	1016	1104	243	169	718	445	190	361	986	216	699	358	60	85	367	607	444	565	711	266					
7	Число избирательных бюллетеней в переносных ящиках	2531	6	41	52	42	35	43	60	70	135	58	17	164	43	53	40	49	69	54	75	125	57	25	65	47	27	25	24	147	26	63	18	102	80	37	29	16	125	135	64	67	55	66					
8	Число бюллетеней в стационарных ящиках для голосования	28301	647	1063	995	1159	1030	895	803	809	862	619	755	260	1027	508	399	684	570	706	542	255	1050	539	1380	1186	260	157	722	551	213	756	1425	157	756	518	104	138	817	792	509	529	864	290					
9	Число недействительных избирательных бюллетеней	250	5	7	7	8	3	9	5	5	0	3	7	1	10	6	4	7	4	10	6	2	3	11	15	0	7	7	9	7	5	7	8	4	9	4	0	0	6	10	5	13	11	0					
10	Число действительных избирательных бюллетеней	30582	648	1097	1040	1193	1062	929	858	874	997	674	765	423	1060	555	435	726	635	750	611	378	1104	553	1430	1233	280	175	737	691	234	812	1435	255	827	551	133	154	936	917	568	583	908	356					
