Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Тукаевская 																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741					
1	"Число избирателей, внесенных в список"	21041	1354	201	137	355	1068	849	382	201	1024	398	408	145	180	709	271	553	337	141	141	563	197	776	592	314	141	204	951	1021	687	310	167	647	347	416	128	719	216	461	666	409	404	394	213	571	323	350					
2	Число полученных избирательных бюллетеней	21268	1368	204	139	354	1082	877	388	204	1033	403	418	149	180	703	271	562	344	142	145	570	198	790	592	314	142	208	964	1038	700	316	167	638	349	434	128	727	217	453	676	413	404	396	213	578	326	351					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18740	1300	119	123	327	982	794	369	194	892	282	360	134	171	659	271	422	278	125	122	473	181	703	556	294	111	191	868	947	635	267	151	571	331	332	116	664	152	447	639	331	319	309	191	520	252	265					
5	"Число избирательных бюллетеней, выданных вне помещения"	2106	32	81	12	22	56	46	4	7	115	116	48	10	9	41	0	121	59	16	19	90	16	73	33	17	26	11	73	56	50	43	16	67	13	84	11	55	64	6	11	78	85	85	22	51	71	85					
6	Число погашенных избирательных бюллетеней	422	36	4	4	5	44	37	15	3	26	5	10	5	0	3	0	19	7	1	4	7	1	14	3	3	5	6	23	35	15	6	0	0	5	18	1	8	1	0	26	4	0	2	0	7	3	1					
7	Число избирательных бюллетеней в переносных ящиках	2106	32	81	12	22	56	46	4	7	115	116	48	10	9	41	0	121	59	16	19	90	16	73	33	17	26	11	73	56	50	43	16	67	13	84	11	55	64	6	11	78	85	85	22	51	71	85					
8	Число бюллетеней в стационарных ящиках для голосования	18740	1300	119	123	327	982	794	369	194	892	282	360	134	171	659	271	422	278	125	122	473	181	703	556	294	111	191	868	947	635	267	151	571	331	332	116	664	152	447	639	331	319	309	191	520	252	265					
9	Число недействительных избирательных бюллетеней	34	0	0	0	2	4	4	0	2	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	3	2	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	2	0	2					
10	Число действительных избирательных бюллетеней	20812	1332	200	135	347	1034	836	373	199	1005	398	408	144	180	700	271	543	336	140	141	563	196	776	589	310	137	202	938	1001	685	309	167	633	344	415	127	719	216	453	650	409	404	394	213	569	323	348					
11	Число полученных открепительных  удостоверений	489	31	5	3	8	25	26	18	4	20	6	9	3	4	10	6	15	15	2	5	15	3	11	13	2	3	5	22	25	16	7	4	15	8	16	2	14	4	14	15	13	6	9	4	13	7	8					
12	Число выданных открепительных удостоверений	427	31	4	3	8	25	26	18	0	20	6	9	2	2	6	3	15	15	0	5	15	0	11	12	2	3	5	22	25	16	7	1	13	3	16	2	14	1	14	15	13	4	0	0	13	2	0					
