Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Заветинская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №2437	УИК №2438	УИК №2439					
1	"Число избирателей, внесенных в список избирателей"	10807	2697	2206	613	940	746	467	641	692	525	780	127	125	248					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10050	2450	2050	600	900	700	450	600	650	450	750	120	110	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5795	1327	1061	327	451	521	289	389	381	341	444	58	64	142					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1219	225	154	100	147	78	27	46	144	77	124	35	37	25					
6	Число погашенных избирательных бюллетеней	3036	898	835	173	302	101	134	165	125	32	182	27	9	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1219	225	154	100	147	78	27	46	144	77	124	35	37	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5789	1321	1061	327	451	521	289	389	381	341	444	58	64	142					
9	Число недействительных избирательных бюллетеней	59	12	13	3	2	6	3	3	4	4	7	1	0	1					
10	Число действительных избирательных бюллетеней	6949	1534	1202	424	596	593	313	432	521	414	561	92	101	166					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	268	45	40	12	35	20	15	15	15	12	33	11	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	238	42	34	12	35	20	10	15	5	12	33	11	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	20	5	10	2	2	1	2	4	3	0	6	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	30	3	6	0	0	0	5	0	10	0	0	0	2	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	11	12	2	1	0	1	0	0	1	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	630	146	119	19	70	57	32	28	53	35	55	2	5	9					
		8.99%	9.44%	9.79%	4.45%	11.71%	9.52%	10.13%	6.44%	10.10%	8.37%	9.68%	2.15%	4.95%	5.39%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	571	153	124	26	49	31	25	42	18	26	42	7	12	16					
		8.15%	9.90%	10.21%	6.09%	8.19%	5.18%	7.91%	9.66%	3.43%	6.22%	7.39%	7.53%	11.88%	9.58%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	11	8	1	4	3	2	4	0	0	1	0	1	1					
		0.51%	0.71%	0.66%	0.23%	0.67%	0.50%	0.63%	0.92%	0.00%	0.00%	0.18%	0.00%	0.99%	0.60%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1480	394	301	86	142	62	62	98	62	97	107	28	16	25					
		21.12%	25.49%	24.77%	20.14%	23.75%	10.35%	19.62%	22.53%	11.81%	23.21%	18.84%	30.11%	15.84%	14.97%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	12	9	3	1	8	2	6	11	2	9	1	8	2					
		1.06%	0.78%	0.74%	0.70%	0.17%	1.34%	0.63%	1.38%	2.10%	0.48%	1.58%	1.08%	7.92%	1.20%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4143	812	638	288	330	432	190	251	377	254	346	54	58	113					
		59.12%	52.52%	52.51%	67.45%	55.18%	72.12%	60.13%	57.70%	71.81%	60.77%	60.92%	58.06%	57.43%	67.66%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	6	3	1	0	0	0	3	0	0	1	0	1	0					
		0.21%	0.39%	0.25%	0.23%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.18%	0.00%	0.99%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
