Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Катайская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449					
1	"Число избирателей, внесенных в список"	20087	392	697	424	675	1462	1713	1330	1674	1180	731	708	687	62	355	145	297	540	160	1432	144	227	101	528	572	147	175	484	82	170	235	61	38	132	59	49	255	172	232	135	511	82	122	132	443	135					
2	Число полученных избирательных бюллетеней	21369	450	810	440	690	1535	1670	1420	1700	1230	725	740	725	70	400	170	330	610	180	1495	160	262	113	615	580	150	184	515	85	192	242	65	40	158	73	71	312	193	238	154	592	83	137	144	480	141					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12431	221	372	228	345	995	957	764	939	700	441	376	364	62	303	106	216	318	126	770	97	145	71	376	403	110	120	296	74	149	165	54	34	88	43	46	208	135	146	91	319	60	98	100	304	96					
5	"Число избирательных бюллетеней, выданных вне помещения"	896	8	18	17	24	63	51	41	33	33	38	42	33	0	0	14	32	12	0	90	18	26	10	46	20	5	0	30	0	0	11	3	0	12	12	0	12	0	8	13	41	0	14	8	39	19					
6	Число погашенных избирательных бюллетеней	8042	221	420	195	321	477	662	615	728	497	246	322	328	8	97	50	82	280	54	635	45	91	32	193	157	35	64	189	11	43	66	8	6	58	18	25	92	58	84	50	232	23	25	36	137	26					
7	Число избирательных бюллетеней в переносных ящиках	896	8	18	17	24	63	51	41	33	33	38	42	33	0	0	14	32	12	0	90	18	26	10	46	20	5	0	30	0	0	11	3	0	12	12	0	12	0	8	13	41	0	14	8	39	19					
8	Число бюллетеней в стационарных ящиках для голосования	12431	221	372	228	345	995	957	764	939	700	441	376	364	62	303	106	216	318	126	770	97	145	71	376	403	110	120	296	74	149	165	54	34	88	43	46	208	135	146	91	319	60	98	100	304	96					
9	Число недействительных избирательных бюллетеней	106	3	6	2	2	10	4	8	4	1	4	3	4	1	4	0	1	1	0	5	3	3	1	4	7	1	2	5	0	0	0	0	2	1	0	0	1	0	0	1	5	0	1	3	3	0					
10	Число действительных избирательных бюллетеней	13221	226	384	243	367	1048	1004	797	968	732	475	415	393	61	299	120	247	329	126	855	112	168	80	418	416	114	118	321	74	149	176	57	32	99	55	46	219	135	154	103	355	60	111	105	340	115					
