Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Краснопартизанская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727					
1	"Число избирателей, внесенных в список"	14786	924	1631	2296	1109	335	566	587	447	211	525	613	1032	488	411	458	328	575	386	1864					
2	Число полученных избирательных бюллетеней	14300	900	1500	2111	1100	331	562	595	450	214	530	615	1030	500	410	460	326	570	380	1716					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11797	556	1084	1180	1074	301	527	529	420	207	495	586	941	432	396	403	303	538	342	1483					
5	"Число избирательных бюллетеней, выданных вне помещения"	313	15	76	76	3	10	7	15	0	0	0	9	9	38	0	15	0	9	21	10					
6	Число погашенных избирательных бюллетеней	2190	329	340	855	23	20	28	51	30	7	35	20	80	30	14	42	23	23	17	223					
7	Число избирательных бюллетеней в переносных ящиках	313	15	76	76	3	10	7	15	0	0	0	9	9	38	0	15	0	9	21	10					
8	Число бюллетеней в стационарных ящиках для голосования	11797	556	1084	1180	1074	301	527	529	420	207	495	586	941	432	396	403	303	538	342	1483					
9	Число недействительных избирательных бюллетеней	382	7	58	9	100	7	0	9	8	0	19	83	10	1	20	29	15	0	3	4					
10	Число действительных избирательных бюллетеней	11728	564	1102	1247	977	304	534	535	412	207	476	512	940	469	376	389	288	547	360	1489					
11	Число полученных открепительных  удостоверений	290	19	30	46	24	8	12	13	10	5	11	13	20	11	9	10	8	13	8	20					
12	Число выданных открепительных удостоверений	49	2	3	19	7	0	1	0	0	2	0	5	0	5	0	1	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	1	5	1	1	0	3	0	0	0	1	0	2	0	2	0	0	2	1	29					
14	Число неиспользованных открепительных удостоверений	241	17	27	27	17	8	11	13	10	3	11	8	20	6	9	9	8	13	8	16					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	2	1	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	229	13	28	51	10	0	4	1	9	0	11	14	22	2	11	8	2	8	14	21					
		1.89%	2.28%	2.41%	4.06%	0.93%	0.00%	0.75%	0.18%	2.14%	0.00%	2.22%	2.35%	2.32%	0.43%	2.78%	1.91%	0.66%	1.46%	3.86%	1.41%					
19	. Малышкин Олег Александрович	203	8	40	32	10	3	4	4	3	0	6	3	19	4	7	10	11	0	10	29					
		1.68%	1.40%	3.45%	2.55%	0.93%	0.96%	0.75%	0.74%	0.71%	0.00%	1.21%	0.50%	2.00%	0.85%	1.77%	2.39%	3.63%	0.00%	2.75%	1.94%					
20	. Миронов Сергей Михайлович	167	2	2	7	4	0	2	0	0	0	2	0	0	0	0	4	3	0	0	141					
		1.38%	0.35%	0.17%	0.56%	0.37%	0.00%	0.37%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.96%	0.99%	0.00%	0.00%	9.44%					
21	. Путин Владимир Владимирович	9190	401	878	769	846	251	465	466	316	197	302	439	742	439	255	275	230	497	226	1196					
		75.89%	70.23%	75.69%	61.23%	78.55%	80.71%	87.08%	85.66%	75.24%	95.17%	61.01%	73.78%	78.11%	93.40%	64.39%	65.79%	75.91%	90.86%	62.26%	80.11%					
22	. Хакамада Ирина Муцуовна	109	3	16	15	10	2	2	4	0	2	5	8	11	1	0	4	5	0	3	18					
		0.90%	0.53%	1.38%	1.19%	0.93%	0.64%	0.37%	0.74%	0.00%	0.97%	1.01%	1.34%	1.16%	0.21%	0.00%	0.96%	1.65%	0.00%	0.83%	1.21%					
23	. Харитонов Николай Михайлович	1685	126	132	348	90	47	56	60	83	4	141	45	129	20	97	83	36	35	104	49					
		13.91%	22.07%	11.38%	27.71%	8.36%	15.11%	10.49%	11.03%	19.76%	1.93%	28.48%	7.56%	13.58%	4.26%	24.49%	19.86%	11.88%	6.40%	28.65%	3.28%					
																										
24	Против всех	145	11	6	25	7	1	1	0	1	4	9	3	17	3	6	5	1	7	3	35					
		1.20%	1.93%	0.52%	1.99%	0.65%	0.32%	0.19%	0.00%	0.24%	1.93%	1.82%	0.50%	1.79%	0.64%	1.52%	1.20%	0.33%	1.28%	0.83%	2.34%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
