Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Идринская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249					
1	"Число избирателей, внесенных в список избирателей"	10546	1610	1983	723	141	307	66	58	366	81	410	55	181	112	427	274	297	434	271	391	160	128	267	67	53	400	355	139	467	50	51	144	78					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10693	1651	1984	723	148	312	66	62	396	83	418	52	185	116	427	283	287	439	284	395	165	132	279	70	55	402	354	138	458	51	50	150	78					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5022	591	774	261	72	143	25	31	214	56	187	27	53	57	198	144	206	218	188	234	82	53	158	32	40	214	250	89	231	32	35	88	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	400	42	30	18	7	12	5	0	14	0	14	3	24	5	9	13	10	27	14	9	24	9	28	10	3	20	10	7	25	3	0	5	0					
6	Число погашенных избирательных бюллетеней	5271	1018	1180	444	69	157	36	31	168	27	217	22	108	54	220	126	71	194	82	152	59	70	93	28	12	168	94	42	202	16	15	57	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	400	42	30	18	7	12	5	0	14	0	14	3	24	5	9	13	10	27	14	9	24	9	28	10	3	20	10	7	25	3	0	5	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5022	591	774	261	72	143	25	31	214	56	187	27	53	57	198	144	206	218	188	234	82	53	158	32	40	214	250	89	231	32	35	88	39					
9	Число недействительных избирательных бюллетеней	58	7	11	4	0	0	1	0	1	1	0	0	0	0	2	1	4	2	3	2	3	0	1	0	0	1	9	1	2	0	0	1	1					
10	Число действительных избирательных бюллетеней	5364	626	793	275	79	155	29	31	227	55	201	30	77	62	205	156	212	243	199	241	103	62	185	42	43	233	251	95	254	35	35	92	38					
