Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Бакалинская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862					
1	"Число избирателей, внесенных в список"	21942	880	1327	1063	916	483	890	902	282	508	367	359	440	184	252	166	390	404	327	691	340	188	339	285	120	213	238	213	242	821	355	422	825	436	328	355	338	614	507	222	146	318	330	830	388	171	375	92	383	180	76	116	154	151					
2	Число полученных избирательных бюллетеней	22828	900	1415	1310	923	495	900	900	285	550	390	390	455	192	260	170	395	408	332	737	355	190	350	287	123	217	238	208	243	835	370	415	855	437	350	375	350	608	580	227	157	320	345	875	388	173	380	96	392	181	78	116	155	152					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19976	813	1277	1048	879	472	825	844	271	471	356	339	362	172	226	155	358	398	307	625	305	168	274	271	102	180	223	173	211	811	304	355	709	289	273	337	298	565	450	207	126	306	313	612	378	171	278	83	343	180	76	112	154	141					
5	"Число избирательных бюллетеней, выданных вне помещения"	1602	29	28	15	29	7	19	13	7	31	11	16	78	12	26	11	23	6	19	66	35	20	65	14	18	33	15	34	31	10	51	60	110	133	55	18	37	35	57	15	18	12	10	107	6	0	97	9	37	0	0	4	0	10					
6	Число погашенных избирательных бюллетеней	1250	58	110	247	15	16	56	43	7	48	23	35	15	8	8	4	14	4	6	46	15	2	11	2	3	4	0	1	1	14	15	0	36	15	22	20	15	8	73	5	13	2	22	156	4	2	5	4	12	1	2	0	1	1					
7	Число избирательных бюллетеней в переносных ящиках	1602	29	28	15	29	7	19	13	7	31	11	16	78	12	26	11	23	6	19	66	35	20	65	14	18	33	15	34	31	10	51	60	110	133	55	18	37	35	57	15	18	12	10	107	6	0	97	9	37	0	0	4	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	19976	813	1277	1048	879	472	825	844	271	471	356	339	362	172	226	155	358	398	307	625	305	168	274	271	102	180	223	173	211	811	304	355	709	289	273	337	298	565	450	207	126	306	313	612	378	171	278	83	343	180	76	112	154	141					
9	Число недействительных избирательных бюллетеней	38	0	0	0	0	0	4	5	0	1	0	3	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	1	5	0	0	2	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	21540	842	1305	1063	908	479	840	852	278	501	367	352	440	184	252	166	381	404	326	686	340	188	339	284	120	212	238	207	241	816	355	415	817	422	323	355	335	600	502	222	144	318	323	719	384	171	375	92	380	180	76	116	154	151					
11	Число полученных открепительных  удостоверений	346	15	15	10	20	10	11	10	8	18	4	5	9	4	3	2	7	4	2	10	7	5	5	5	2	3	5	5	5	10	8	5	10	7	4	8	8	6	6	2	2	6	3	5	2	2	5	4	14	4	4	4	4	4					
12	Число выданных открепительных удостоверений	243	12	11	6	13	2	11	9	5	17	3	5	9	2	3	1	5	3	1	9	7	2	3	1	2	3	4	1	0	8	8	2	5	6	4	8	8	3	1	1	1	6	0	3	2	2	5	3	12	3	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	10	8	9	3	0	3	38	3	1	1	3	2	0	0	2	1	2	0	3	1	1	1	2	2	1	2	2	3	6	3	5	5	4	1	2	2	3	4	1	0	2	1	0	1	2	0	1	1	1	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	103	3	4	4	7	8	0	1	3	1	1	0	0	2	0	1	2	1	1	1	0	3	2	4	0	0	1	4	5	2	0	3	5	1	0	0	0	3	5	1	1	0	3	2	0	0	0	1	2	1	3	4	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	34	3	1	2	1	2	2	6	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	2	0	3	0	0	1	0	0	0	0					
		0.16%	0.36%	0.08%	0.19%	0.11%	0.42%	0.24%	0.70%	0.36%	0.20%	0.00%	0.28%	0.00%	0.00%	0.40%	0.60%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.28%	0.00%	0.00%	0.39%	0.00%	0.69%	0.00%	0.00%	0.00%	0.52%	0.00%	0.80%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	20	2	0	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0					
