Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Бугурусланская городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307					
1	"Число избирателей, внесенных в список"	43078	2824	569	1259	1412	1956	2165	2090	1805	1208	2282	1440	1269	1331	1488	1179	1352	2889	2131	2647	2577	2435	2328	2129	313					
2	Число полученных избирательных бюллетеней	42805	2780	565	1270	1415	1965	2160	2100	1600	1195	2250	1445	1265	1325	1500	1185	1355	2900	2120	2650	2570	2450	2290	2135	315					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21733	1530	322	588	753	1201	949	909	934	605	1404	723	605	548	715	431	626	1499	955	1432	1279	1182	1151	1125	267					
5	"Число избирательных бюллетеней, выданных вне помещения"	1235	41	7	65	32	86	92	49	32	23	61	52	18	54	77	40	94	37	49	59	47	92	76	52	0					
6	Число погашенных избирательных бюллетеней	19837	1209	236	617	630	678	1119	1142	634	567	785	670	642	723	708	714	635	1364	1116	1159	1244	1176	1063	958	48					
7	Число избирательных бюллетеней в переносных ящиках	1235	41	7	65	32	86	92	49	32	23	61	52	18	54	77	40	94	37	49	59	47	92	76	52	0					
8	Число бюллетеней в стационарных ящиках для голосования	21730	1530	322	588	753	1201	949	908	934	605	1404	723	605	548	715	431	626	1499	953	1432	1279	1182	1151	1125	267					
9	Число недействительных избирательных бюллетеней	253	22	1	9	3	7	15	17	8	5	11	9	4	6	11	4	11	8	4	15	24	15	27	14	3					
10	Число действительных избирательных бюллетеней	22712	1549	328	644	782	1280	1026	940	958	623	1454	766	619	596	781	467	709	1528	998	1476	1302	1259	1200	1163	264					
11	Число полученных открепительных  удостоверений	997	50	20	30	35	34	30	30	50	50	50	39	30	40	39	40	40	60	40	60	60	60	60	30	20					
12	Число выданных открепительных удостоверений	207	16	5	4	6	11	6	7	7	8	32	7	4	0	10	3	3	14	5	13	10	13	13	9	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	262	19	2	3	3	8	1	3	154	6	17	7	6	3	2	2	3	3	3	6	1	4	5	1	0					
14	Число неиспользованных открепительных удостоверений	790	34	15	26	29	23	24	23	43	42	18	32	26	40	29	37	37	46	35	47	50	47	47	21	19					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	982	70	21	26	29	56	37	29	38	43	80	32	25	19	28	17	19	56	46	67	60	63	54	58	9					
		4.28%	4.46%	6.38%	3.98%	3.69%	4.35%	3.55%	3.03%	3.93%	6.85%	5.46%	4.13%	4.01%	3.16%	3.54%	3.61%	2.64%	3.65%	4.59%	4.49%	4.52%	4.95%	4.40%	4.93%	3.37%					
19	. Малышкин Олег Александрович	811	42	15	17	24	24	24	45	27	13	49	19	21	33	36	19	30	64	35	53	72	43	51	46	9					
		3.53%	2.67%	4.56%	2.60%	3.06%	1.86%	2.31%	4.70%	2.80%	2.07%	3.34%	2.45%	3.37%	5.48%	4.55%	4.03%	4.17%	4.17%	3.49%	3.55%	5.43%	3.38%	4.16%	3.91%	3.37%					
20	. Миронов Сергей Михайлович	200	8	6	6	5	15	9	14	7	8	13	5	7	3	9	3	10	10	4	12	18	10	11	6	1					
		0.87%	0.51%	1.82%	0.92%	0.64%	1.17%	0.86%	1.46%	0.72%	1.27%	0.89%	0.65%	1.12%	0.50%	1.14%	0.64%	1.39%	0.65%	0.40%	0.80%	1.36%	0.78%	0.90%	0.51%	0.37%					
21	. Путин Владимир Владимирович	11437	747	166	347	392	608	507	458	547	331	784	412	326	303	332	222	350	810	496	710	650	596	606	598	139					
		49.80%	47.55%	50.46%	53.14%	49.94%	47.24%	48.70%	47.86%	56.63%	52.71%	53.52%	53.16%	52.33%	50.33%	41.92%	47.13%	48.61%	52.73%	49.50%	47.62%	49.02%	46.78%	49.39%	50.81%	52.06%					
22	. Хакамада Ирина Муцуовна	581	38	6	7	28	50	31	23	22	25	35	19	17	19	19	19	11	33	26	36	30	31	14	40	2					
		2.53%	2.42%	1.82%	1.07%	3.57%	3.89%	2.98%	2.40%	2.28%	3.98%	2.39%	2.45%	2.73%	3.16%	2.40%	4.03%	1.53%	2.15%	2.59%	2.41%	2.26%	2.43%	1.14%	3.40%	0.75%					
23	. Харитонов Николай Михайлович	7938	594	100	228	274	486	396	348	287	187	432	254	198	207	329	169	263	489	358	548	426	465	436	360	104					
