Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Тунгокоченская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260					
1	"Число избирателей, внесенных в список"	11135	2107	653	531	1331	1344	1205	652	63	39	67	525	185	69	188	385	643	153	686	232	77					
2	Число полученных избирательных бюллетеней	10973	2020	653	452	1312	1264	1302	635	100	37	71	500	178	66	189	390	656	155	690	229	74					
3	"Число избирательных бюллетеней, выданных  досрочно"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5566	989	197	217	505	602	585	329	63	24	48	386	133	46	109	248	326	106	407	176	70					
5	"Число избирательных бюллетеней, выданных вне помещения"	318	95	14	18	20	41	35	12	0	0	11	0	0	0	4	15	39	2	12	0	0					
6	Число погашенных избирательных бюллетеней	5087	936	442	217	787	621	682	294	37	13	12	114	45	20	76	127	291	45	271	53	4					
7	Число избирательных бюллетеней в переносных ящиках	320	95	14	18	20	41	35	12	0	0	11	0	0	0	4	15	39	4	12	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	5566	989	197	217	505	602	585	329	63	24	48	386	133	46	109	248	326	106	407	176	70					
9	Число недействительных избирательных бюллетеней	58	11	4	6	2	5	4	0	0	0	0	7	3	2	0	2	7	0	4	1	0					
10	Число действительных избирательных бюллетеней	5828	1073	207	229	523	638	616	341	63	24	59	379	130	44	113	261	358	110	415	175	70					
11	Число полученных открепительных  удостоверений	97	25	8	3	3	5	3	3	1	0	1	8	1	1	2	13	9	0	8	2	1					
12	Число выданных открепительных удостоверений	39	16	0	0	1	4	0	0	0	0	0	2	0	0	2	6	4	0	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	3	0	0	1	0	2	1	0	0	0	2	0	0	0	2	1	0	0	2	0					
14	Число неиспользованных открепительных удостоверений	58	9	8	3	2	1	3	3	1	0	1	6	1	1	0	7	5	0	4	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	161	41	6	0	15	19	17	9	0	0	4	4	0	0	1	2	20	0	16	1	6					
		2.74%	3.78%	2.84%	0.00%	2.86%	2.95%	2.74%	2.64%	0.00%	0.00%	6.78%	1.04%	0.00%	0.00%	0.88%	0.76%	5.48%	0.00%	3.82%	0.57%	8.57%					
19	. Малышкин Олег Александрович	113	27	2	4	6	10	8	3	2	0	1	4	3	0	5	7	15	2	7	3	4					
		1.92%	2.49%	0.95%	1.70%	1.14%	1.56%	1.29%	0.88%	3.17%	0.00%	1.69%	1.04%	2.26%	0.00%	4.42%	2.66%	4.11%	1.82%	1.67%	1.70%	5.71%					
20	. Миронов Сергей Михайлович	62	8	3	1	6	9	13	0	2	0	0	4	3	0	0	4	0	1	6	1	1					
		1.05%	0.74%	1.42%	0.43%	1.14%	1.40%	2.10%	0.00%	3.17%	0.00%	0.00%	1.04%	2.26%	0.00%	0.00%	1.52%	0.00%	0.91%	1.43%	0.57%	1.43%					
21	. Путин Владимир Владимирович	4358	744	163	194	396	486	483	281	36	23	46	257	84	43	82	207	265	107	282	122	57					
		74.04%	68.63%	77.25%	82.55%	75.43%	75.58%	77.90%	82.40%	57.14%	95.83%	77.97%	66.58%	63.16%	93.48%	72.57%	78.71%	72.60%	97.27%	67.30%	69.32%	81.43%					
22	. Хакамада Ирина Муцуовна	60	8	2	0	1	15	5	5	1	0	2	3	2	0	3	0	3	0	7	2	1					
		1.02%	0.74%	0.95%	0.00%	0.19%	2.33%	0.81%	1.47%	1.59%	0.00%	3.39%	0.78%	1.50%	0.00%	2.65%	0.00%	0.82%	0.00%	1.67%	1.14%	1.43%					
23	. Харитонов Николай Михайлович	1019	238	29	29	94	84	79	41	22	1	5	101	37	1	22	40	55	0	95	45	1					
		17.31%	21.96%	13.74%	12.34%	17.90%	13.06%	12.74%	12.02%	34.92%	4.17%	8.47%	26.17%	27.82%	2.17%	19.47%	15.21%	15.07%	0.00%	22.67%	25.57%	1.43%					
																											
24	Против всех	55	7	2	1	5	15	11	2	0	0	1	6	1	0	0	1	0	0	2	1	0					
		0.93%	0.65%	0.95%	0.43%	0.95%	2.33%	1.77%	0.59%	0.00%	0.00%	1.69%	1.55%	0.75%	0.00%	0.00%	0.38%	0.00%	0.00%	0.48%	0.57%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
