Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Починковская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035					
1	"Число избирателей, внесенных в список"	26693	1525	1751	2364	1526	2529	334	540	220	584	470	289	1888	859	702	370	1091	310	761	103	452	290	77	1156	597	89	411	80	740	67	509	369	506	99	476	98	404	206	123	431	184	462	103	548					
2	Число полученных избирательных бюллетеней	26550	1500	1740	2310	1510	2520	330	530	210	610	470	280	1890	860	700	360	1080	310	770	100	450	290	70	1230	590	80	400	80	740	60	500	360	500	100	480	100	400	200	120	430	180	460	100	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16216	883	939	1377	797	1522	198	373	118	371	302	204	1077	432	388	192	633	224	505	65	320	190	43	803	256	57	281	49	558	36	329	229	340	75	340	75	242	145	99	265	149	309	76	350					
5	"Число избирательных бюллетеней, выданных вне помещения"	1973	46	70	94	72	20	37	32	61	55	84	39	116	38	59	71	57	42	54	13	60	29	22	176	74	7	65	23	42	24	35	14	54	13	8	6	50	16	0	53	5	42	15	80					
6	Число погашенных избирательных бюллетеней	8361	571	731	839	641	978	95	125	31	184	84	37	697	390	253	97	390	44	211	22	70	71	5	251	260	16	54	8	140	0	136	117	106	12	132	19	108	39	21	112	26	109	9	120					
7	Число избирательных бюллетеней в переносных ящиках	1973	46	70	94	72	20	37	32	61	55	84	39	116	38	59	71	57	42	54	13	60	29	22	176	74	7	65	23	42	24	35	14	54	13	8	6	50	16	0	53	5	42	15	80					
8	Число бюллетеней в стационарных ящиках для голосования	16214	883	939	1377	797	1522	198	373	118	371	302	204	1077	430	388	192	633	224	505	65	320	190	43	803	256	57	281	49	558	36	329	229	340	75	340	75	242	145	99	265	149	309	76	350					
9	Число недействительных избирательных бюллетеней	127	6	11	7	0	6	2	4	4	1	1	4	9	4	5	1	4	2	6	3	1	4	0	8	3	0	6	0	1	2	3	0	4	1	0	0	3	1	1	1	0	5	1	2					
10	Число действительных избирательных бюллетеней	18060	923	998	1464	869	1536	233	401	175	425	385	239	1184	464	442	262	686	264	553	75	379	215	65	971	327	64	340	72	599	58	361	243	390	87	348	81	289	160	98	317	154	346	90	428					
11	Число полученных открепительных  удостоверений	482	26	30	40	27	43	6	10	4	11	9	5	42	13	12	7	18	6	14	2	8	5	2	21	11	2	7	2	13	2	9	7	11	2	8	2	7	4	2	8	3	9	2	10					
12	Число выданных открепительных удостоверений	198	10	11	16	9	21	0	0	1	11	1	0	38	6	2	0	1	0	11	0	3	5	0	18	3	0	0	0	4	0	0	0	9	2	4	0	2	0	0	1	1	0	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	10	7	10	6	4	1	0	1	4	2	0	7	1	2	2	5	0	0	2	1	0	0	4	2	0	4	0	0	1	0	1	2	1	2	0	0	0	1	3	1	1	0	2					
