Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Бабушкинский район																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №3068					
1	"Число избирателей, внесенных в список"	61569	2530	2296	2600	2612	2597	2565	2548	2332	2642	2609	2909	2737	2498	2329	1886	2487	2603	2216	1516	2190	2657	2772	2302	2529	2093	514					
2	Число полученных избирательных бюллетеней	59000	2500	2100	2500	2500	2500	2500	2500	2100	2500	2500	2700	2600	2500	2100	1900	2400	2500	2100	1400	2000	2500	2600	2100	2400	2000	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33880	1490	1250	1391	1348	1377	1455	1297	1215	1495	1557	1743	1538	1387	1232	981	1332	1481	1136	863	1220	1359	1512	1252	1346	1379	244					
5	"Число избирательных бюллетеней, выданных вне помещения"	1155	26	36	36	42	51	36	46	51	23	39	19	22	19	13	31	34	48	23	14	30	40	35	23	36	112	270					
6	Число погашенных избирательных бюллетеней	23965	984	814	1073	1110	1072	1009	1157	834	982	904	938	1040	1094	855	888	1034	971	941	523	750	1101	1053	825	1018	509	486					
7	Число избирательных бюллетеней в переносных ящиках	1155	26	36	36	42	51	36	46	51	23	39	19	22	19	13	31	34	48	23	14	30	40	35	23	36	112	270					
8	Число бюллетеней в стационарных ящиках для голосования	33739	1490	1247	1391	1348	1376	1418	1296	1203	1472	1553	1743	1527	1383	1230	973	1327	1469	1132	861	1220	1359	1506	1250	1346	1375	244					
9	Число недействительных избирательных бюллетеней	255	14	5	12	6	4	16	15	7	0	9	8	12	17	10	12	9	16	3	3	13	17	19	5	12	8	3					
10	Число действительных избирательных бюллетеней	34639	1502	1278	1415	1384	1423	1438	1327	1247	1495	1583	1754	1537	1385	1233	992	1352	1501	1152	872	1237	1382	1522	1268	1370	1479	511					
11	Число полученных открепительных  удостоверений	1350	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	150	0					
12	Число выданных открепительных удостоверений	722	20	32	16	32	42	22	14	15	23	28	28	33	25	27	12	44	30	29	18	13	21	23	12	36	127	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	452	9	24	13	10	10	16	15	20	29	20	14	23	6	12	9	20	26	23	13	12	18	21	24	15	20	30					
14	Число неиспользованных открепительных удостоверений	628	30	18	34	18	8	28	36	35	27	22	22	17	25	23	38	6	20	21	32	37	29	27	38	14	23	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	2367	140	83	94	108	113	106	113	95	97	81	97	111	123	89	81	84	77	120	45	95	78	93	75	100	43	26					
		6.78%	9.23%	6.47%	6.59%	7.77%	7.92%	7.29%	8.42%	7.58%	6.49%	5.09%	5.51%	7.17%	8.77%	7.16%	8.07%	6.17%	5.08%	10.39%	5.14%	7.60%	5.58%	6.04%	5.89%	7.24%	2.89%	5.06%					
19	. Малышкин Олег Александрович	407	12	14	13	16	26	19	15	6	20	14	20	9	22	23	16	15	16	6	7	18	15	32	9	13	25	6					
