Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Барабинская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307					
1	"Число избирателей, внесенных в список"	24667	1114	1967	890	1782	1841	920	1178	1045	1001	1065	1032	2181	1168	907	868	863	942	913	980	1043	967					
2	Число полученных избирательных бюллетеней	24200	1000	2000	900	1700	1800	900	1100	1000	950	1000	1000	2100	1200	900	850	950	900	900	1000	1100	950					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12194	516	1008	436	924	1073	506	579	507	467	461	574	1102	494	516	409	416	352	410	469	468	507					
5	"Число избирательных бюллетеней, выданных вне помещения"	1347	66	49	84	89	43	39	71	47	41	73	40	152	103	20	54	33	90	103	57	71	22					
6	Число погашенных избирательных бюллетеней	10658	418	943	380	687	684	355	450	446	442	466	386	846	603	364	387	501	458	387	474	561	420					
7	Число избирательных бюллетеней в переносных ящиках	1347	66	49	84	89	43	39	71	47	41	73	40	152	103	20	54	33	90	103	57	71	22					
8	Число бюллетеней в стационарных ящиках для голосования	12193	516	1008	436	924	1073	506	579	507	466	461	574	1102	494	516	409	416	352	410	469	468	507					
9	Число недействительных избирательных бюллетеней	138	6	5	16	12	11	5	6	2	2	5	13	7	5	6	8	6	4	0	8	9	2					
10	Число действительных избирательных бюллетеней	13402	576	1052	504	1001	1105	540	644	552	505	529	601	1247	592	530	455	443	438	513	518	530	527					
11	Число полученных открепительных  удостоверений	990	25	50	50	50	50	50	25	50	50	50	50	50	50	50	50	50	50	50	50	40	50					
12	Число выданных открепительных удостоверений	108	2	8	7	8	13	4	5	5	7	3	8	15	1	4	5	1	1	2	5	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	3	4	3	5	3	0	5	3	10	7	3	9	1	1	3	0	7	18	0	0	18					
14	Число неиспользованных открепительных удостоверений	882	23	42	43	42	37	46	20	45	43	47	42	35	49	46	45	49	49	48	45	38	48					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	314	8	39	7	19	39	13	19	12	14	8	13	33	8	28	6	4	14	7	5	11	7					
		2.32%	1.37%	3.69%	1.35%	1.88%	3.49%	2.39%	2.92%	2.17%	2.76%	1.50%	2.12%	2.63%	1.34%	5.22%	1.30%	0.89%	3.17%	1.36%	0.95%	2.04%	1.32%					
19	. Малышкин Олег Александрович	285	20	27	9	17	13	12	23	11	19	11	8	15	15	6	5	15	7	13	20	8	11					
		2.10%	3.44%	2.55%	1.73%	1.68%	1.16%	2.20%	3.54%	1.99%	3.75%	2.06%	1.30%	1.20%	2.51%	1.12%	1.08%	3.34%	1.58%	2.53%	3.80%	1.48%	2.08%					
20	. Миронов Сергей Михайлович	80	7	6	9	7	4	3	4	0	2	3	5	6	4	2	4	4	2	5	1	1	1					
		0.59%	1.20%	0.57%	1.73%	0.69%	0.36%	0.55%	0.62%	0.00%	0.39%	0.56%	0.81%	0.48%	0.67%	0.37%	0.86%	0.89%	0.45%	0.97%	0.19%	0.19%	0.19%					
21	. Путин Владимир Владимирович	7646	369	597	287	575	626	309	360	306	260	349	327	688	287	289	300	248	292	295	314	286	282					
		56.47%	63.40%	56.48%	55.19%	56.76%	56.09%	56.70%	55.38%	55.23%	51.28%	65.36%	53.26%	54.86%	48.07%	53.92%	64.79%	55.23%	66.06%	57.50%	59.70%	53.06%	53.31%					
22	. Хакамада Ирина Муцуовна	323	15	24	20	35	23	14	15	14	10	8	15	30	17	12	12	11	4	12	13	10	9					
		2.39%	2.58%	2.27%	3.85%	3.46%	2.06%	2.57%	2.31%	2.53%	1.97%	1.50%	2.44%	2.39%	2.85%	2.24%	2.59%	2.45%	0.90%	2.34%	2.47%	1.86%	1.70%					
23	. Харитонов Николай Михайлович	4457	148	341	157	311	364	179	203	198	185	144	220	452	250	174	119	155	114	160	160	212	211					
		32.92%	25.43%	32.26%	30.19%	30.70%	32.62%	32.84%	31.23%	35.74%	36.49%	26.97%	35.83%	36.04%	41.88%	32.46%	25.70%	34.52%	25.79%	31.19%	30.42%	39.33%	39.89%					
																												
24	Против всех	297	9	18	15	37	36	10	20	11	15	6	13	23	11	19	9	6	5	21	5	2	6					
		2.19%	1.55%	1.70%	2.88%	3.65%	3.23%	1.83%	3.08%	1.99%	2.96%	1.12%	2.12%	1.83%	1.84%	3.54%	1.94%	1.34%	1.13%	4.09%	0.95%	0.37%	1.13%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
