Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    район Нагатинский затон																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №3153	УИК №3154					
1	"Число избирателей, внесенных в список"	67568	1755	1735	2328	2280	2062	2551	2620	2256	2063	2528	2130	1244	1523	1341	2793	2386	2239	2386	2062	2642	2552	2390	2140	1978	2618	2574	1720	1895	1608	2056	2114	861	41	97					
2	Число полученных избирательных бюллетеней	68843	1800	1800	2400	2300	2100	2700	2700	2300	2100	2600	2100	1200	1500	1400	2800	2500	2300	2400	2100	2700	2500	2400	2100	2100	2700	2700	1800	1900	1600	2100	2100	900	43	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44173	1063	1266	1798	1346	1201	1846	1820	1508	1218	1898	1222	777	1192	1113	1580	2025	1620	1299	1437	1898	1365	1389	1294	1236	1544	1533	1029	1342	1110	1173	1230	663	41	97					
5	"Число избирательных бюллетеней, выданных вне помещения"	1188	36	50	24	36	31	64	70	25	13	67	33	32	14	32	41	28	60	27	100	32	44	33	18	37	32	38	39	22	40	32	33	5	0	0					
6	Число погашенных избирательных бюллетеней	23482	701	484	578	918	868	790	810	767	869	635	845	391	294	255	1179	447	620	1074	563	770	1091	978	788	827	1124	1129	732	536	450	895	837	232	2	3					
7	Число избирательных бюллетеней в переносных ящиках	1188	36	50	24	36	31	64	70	25	13	67	33	32	14	32	41	28	60	27	100	32	44	33	18	37	32	38	39	22	40	32	33	5	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43773	1063	1260	1662	1346	1201	1846	1750	1508	1215	1898	1222	771	1192	1113	1580	2025	1620	1297	1430	1890	1365	1358	1285	1233	1541	1533	1029	1228	1110	1171	1230	663	41	97					
9	Число недействительных избирательных бюллетеней	577	18	6	6	8	9	20	4	11	5	8	8	5	0	0	20	0	7	17	147	22	13	10	9	6	13	16	7	126	13	16	21	5	1	0					
10	Число действительных избирательных бюллетеней	44384	1081	1304	1680	1374	1223	1890	1816	1522	1223	1957	1247	798	1206	1145	1601	2053	1673	1307	1383	1900	1396	1381	1294	1264	1560	1555	1061	1124	1137	1187	1242	663	40	97					
