Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Карсунская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в список"	23068	2078	2178	2159	288	234	689	575	585	85	915	348	519	539	130	235	121	338	321	284	880	923	684	385	599	159	598	321	693	153	2276	755	957	405	195	464					
2	Число полученных избирательных бюллетеней	22554	1890	1970	1960	304	239	710	579	602	88	874	357	520	554	132	240	123	347	324	289	894	956	692	399	611	166	617	325	691	154	2105	776	981	409	188	488					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15128	1082	1249	1330	187	164	469	423	404	68	588	230	376	361	109	182	65	243	243	208	543	606	512	213	431	136	406	225	549	116	1475	483	632	334	124	362					
5	"Число избирательных бюллетеней, выданных вне помещения"	2234	142	150	123	29	21	93	50	90	14	120	31	51	83	4	16	36	72	51	20	121	110	49	116	66	7	78	51	60	19	118	68	57	43	37	38					
6	Число погашенных избирательных бюллетеней	5192	666	571	507	88	54	148	106	108	6	166	96	93	110	19	42	22	32	30	61	230	240	131	70	114	23	133	49	82	19	512	225	292	32	27	88					
7	Число избирательных бюллетеней в переносных ящиках	2234	142	150	123	29	21	93	50	90	14	120	31	51	83	4	16	36	72	51	20	121	110	49	116	66	7	78	51	60	19	118	68	57	43	37	38					
8	Число бюллетеней в стационарных ящиках для голосования	15124	1082	1249	1330	187	164	469	423	404	68	585	230	376	361	109	182	65	243	243	208	543	606	512	213	431	136	406	225	549	116	1474	483	632	334	124	362					
9	Число недействительных избирательных бюллетеней	187	11	12	4	1	1	9	1	6	0	12	16	1	7	3	3	1	0	2	9	7	11	8	0	3	0	27	1	1	1	6	16	4	1	0	2					
10	Число действительных избирательных бюллетеней	17171	1213	1387	1449	215	184	553	472	488	82	693	245	426	437	110	195	100	315	292	219	657	705	553	329	494	143	457	275	608	134	1586	535	685	376	161	398					
11	Число полученных открепительных  удостоверений	465	20	20	20	10	10	15	15	15	5	15	10	15	15	10	10	10	10	10	10	15	15	15	10	15	10	15	10	15	10	25	15	15	10	10	15					
12	Число выданных открепительных удостоверений	112	8	10	15	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	5	13	0	2	4	1	11	2	0	1	13	3	1	2	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	3	6	5	0	0	1	3	1	0	20	0	1	1	2	1	2	2	2	1	8	3	0	3	4	0	6	2	4	1	6	1	1	2	4	2					
