Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Усманская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830					
20	. Миронов Сергей Михайлович	159	2	6	5	13	13	3	3	5	4	4	1	3	1	9	6	6	4	3	2	2	0	3	1	10	1	2	1	3	4	1	0	4	1	5	2	2	2	3	3	7	2	0	1	3	1	2	0					
		0.57%	0.26%	1.14%	0.54%	1.12%	1.02%	0.22%	0.26%	0.49%	0.31%	0.89%	0.23%	1.08%	0.27%	1.75%	0.62%	0.63%	0.45%	1.40%	0.75%	0.34%	0.00%	0.81%	0.19%	1.46%	0.44%	0.46%	0.19%	0.55%	0.75%	0.25%	0.00%	0.89%	0.13%	0.30%	0.31%	0.60%	1.05%	0.99%	0.73%	0.82%	0.40%	0.00%	0.26%	2.00%	0.32%	0.69%	0.00%					
21	. Путин Владимир Владимирович	18346	545	351	549	745	799	790	758	679	920	271	267	198	236	340	681	678	615	150	174	365	177	231	378	446	133	295	346	354	325	261	113	332	547	1229	431	252	151	173	259	572	313	124	256	76	221	185	55					
		66.12%	70.05%	66.60%	58.84%	64.39%	62.91%	58.26%	65.51%	66.76%	71.71%	60.49%	61.81%	70.97%	63.44%	66.02%	69.99%	71.14%	68.56%	70.09%	65.66%	61.14%	63.67%	62.10%	70.65%	65.01%	58.08%	67.82%	66.03%	64.60%	61.09%	66.24%	62.43%	73.94%	68.55%	72.55%	65.90%	75.45%	79.06%	57.10%	63.17%	66.98%	62.85%	66.31%	67.72%	50.67%	69.72%	64.24%	51.89%					
22	. Хакамада Ирина Муцуовна	397	15	9	22	22	25	43	10	13	17	8	9	3	5	4	12	12	8	0	6	7	5	6	5	6	3	12	4	6	6	5	1	4	10	20	9	2	1	8	8	6	5	1	3	4	4	2	1					
		1.43%	1.93%	1.71%	2.36%	1.90%	1.97%	3.17%	0.86%	1.28%	1.33%	1.79%	2.08%	1.08%	1.34%	0.78%	1.23%	1.26%	0.89%	0.00%	2.26%	1.17%	1.80%	1.61%	0.93%	0.87%	1.31%	2.76%	0.76%	1.09%	1.13%	1.27%	0.55%	0.89%	1.25%	1.18%	1.38%	0.60%	0.52%	2.64%	1.95%	0.70%	1.00%	0.53%	0.79%	2.67%	1.26%	0.69%	0.94%					
23	. Харитонов Николай Михайлович	6556	145	108	278	239	294	394	273	225	232	128	139	54	99	122	200	170	207	54	69	164	74	108	126	173	75	97	116	162	146	97	58	85	179	301	160	47	28	85	111	200	139	49	107	54	72	77	36					
		23.63%	18.64%	20.49%	29.80%	20.66%	23.15%	29.06%	23.60%	22.12%	18.08%	28.57%	32.18%	19.35%	26.61%	23.69%	20.55%	17.84%	23.08%	25.23%	26.04%	27.47%	26.62%	29.03%	23.55%	25.22%	32.75%	22.30%	22.14%	29.56%	27.44%	24.62%	32.04%	18.93%	22.43%	17.77%	24.46%	14.07%	14.66%	28.05%	27.07%	23.42%	27.91%	26.20%	28.31%	36.00%	22.71%	26.74%	33.96%					
																																																						
24	Против всех	725	23	22	32	58	26	66	47	45	42	7	4	2	5	10	23	21	13	2	5	23	4	4	9	10	7	14	17	8	20	9	2	3	13	42	19	6	2	5	8	16	11	2	4	1	4	3	6					
