Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Тюменская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754					
1	"Число избирателей, внесенных в список"	70649	1584	2840	2192	1009	412	849	1052	182	2091	2023	2475	2808	2581	2837	2515	1155	786	833	1582	2029	1604	463	1010	291	357	2339	2514	615	361	1529	945	1217	2707	175	296	531	578	282	398	665	220	188	147	233	2170	288	201	2633	1014	476	66	777	876	2154	555	83	179	2422	535	274	336	344	1257	509					
2	Число полученных избирательных бюллетеней	70740	1609	2989	2192	1034	385	879	1078	192	2069	2018	2505	2785	2580	2897	2498	1161	758	770	1600	1955	1590	440	1038	289	347	2349	2526	613	362	1533	944	1199	2720	177	296	519	486	266	472	682	224	198	149	244	2190	288	205	2670	1008	497	73	757	888	2120	557	85	179	2360	535	303	352	355	1255	446					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46218	1173	1717	1071	815	372	575	625	120	1202	1326	1524	1707	1565	1973	1805	939	676	465	982	1164	826	322	624	183	317	1615	1625	473	302	1146	653	856	1687	128	164	329	294	191	360	395	174	138	126	192	1421	191	138	1828	686	330	63	500	582	1274	348	74	131	1466	313	157	220	287	900	393					
5	"Число избирательных бюллетеней, выданных вне помещения"	2513	36	99	102	12	0	23	24	9	43	31	57	25	43	44	100	10	16	244	21	43	28	9	85	20	7	42	39	14	27	29	32	100	46	5	20	11	96	4	7	15	12	12	0	7	91	21	7	37	35	22	0	38	51	120	40	0	0	103	30	79	72	14	60	44					
6	Число погашенных избирательных бюллетеней	22008	400	1173	1019	207	13	281	429	63	824	661	924	1053	972	880	593	212	66	61	597	748	736	109	329	86	23	692	862	126	33	358	259	243	987	44	112	179	96	70	105	272	38	48	23	45	678	76	60	805	287	145	10	219	255	726	169	11	48	791	192	67	60	54	295	9					
7	Число избирательных бюллетеней в переносных ящиках	2513	36	99	102	12	0	23	24	9	43	31	57	25	43	44	100	10	16	244	21	43	28	9	85	20	7	42	39	14	27	29	32	100	46	5	20	11	96	4	7	15	12	12	0	7	91	21	7	37	35	22	0	38	51	120	40	0	0	103	30	79	72	14	60	44					
8	Число бюллетеней в стационарных ящиках для голосования	46096	1173	1717	1071	815	372	575	625	120	1202	1326	1524	1707	1565	1973	1805	939	676	465	982	1164	826	322	624	183	317	1615	1625	473	302	1146	653	855	1687	128	164	329	294	191	360	395	174	138	126	192	1421	191	138	1828	686	330	63	500	582	1153	348	74	131	1466	313	157	220	287	900	393					
9	Число недействительных избирательных бюллетеней	514	56	7	18	6	1	3	10	0	6	12	14	13	8	14	5	7	6	0	18	10	18	1	6	3	3	14	17	3	0	20	10	13	16	1	4	15	2	1	5	3	2	1	0	0	19	2	3	24	7	1	0	15	10	22	3	1	1	17	2	3	0	4	3	5					
10	Число действительных избирательных бюллетеней	48095	1153	1809	1155	821	371	595	639	129	1239	1345	1567	1719	1600	2003	1900	942	686	709	985	1197	836	330	703	200	321	1643	1647	484	329	1155	675	942	1717	132	180	325	388	194	362	407	184	149	126	199	1493	210	142	1841	714	351	63	523	623	1251	385	73	130	1552	341	233	292	297	957	432					
11	Число полученных открепительных  удостоверений	1549	74	36	37	36	12	20	30	9	37	35	44	51	44	23	17	16	46	50	33	35	29	12	20	10	11	41	43	15	10	28	19	23	47	11	13	11	5	12	82	15	11	11	9	11	38	10	11	43	15	12	8	17	24	37	13	8	10	40	10	10	10	14	20	15					
12	Число выданных открепительных удостоверений	886	57	36	22	36	8	11	17	5	11	4	15	14	14	20	16	7	8	4	28	18	9	1	20	4	2	25	24	15	7	19	10	14	32	2	2	3	4	8	82	13	11	11	7	0	19	1	7	31	7	12	0	9	24	15	13	0	1	32	2	2	5	11	14	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	523	33	23	4	18	4	7	5	4	7	2	3	11	9	12	7	4	12	17	7	3	2	4	8	0	6	7	3	5	9	11	7	9	10	2	2	4	44	4	8	1	9	0	4	0	13	2	5	7	5	1	0	8	3	11	1	2	0	66	1	2	0	6	1	38					
14	Число неиспользованных открепительных удостоверений	663	17	0	15	0	4	9	13	4	26	31	29	37	30	3	1	9	38	46	5	17	20	11	0	6	9	16	19	0	3	9	9	9	15	9	11	8	1	4	0	2	0	0	2	11	19	9	4	12	8	0	8	8	0	22	0	8	9	8	8	8	5	3	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
18	. Глазьев Сергей Юрьевич	1768	33	88	40	13	4	24	30	0	60	66	70	96	60	86	62	29	20	13	20	55	42	11	26	4	6	40	60	19	4	33	12	32	94	2	7	10	28	11	17	20	5	8	4	7	50	4	1	86	23	3	0	30	17	42	8	3	1	54	13	6	3	8	33	12					
		3.64%	2.73%	4.85%	3.41%	1.57%	1.08%	4.01%	4.62%	0.00%	4.82%	4.86%	4.43%	5.54%	3.73%	4.26%	3.25%	3.06%	2.89%	1.83%	1.99%	4.56%	4.92%	3.32%	3.67%	1.97%	1.85%	2.41%	3.61%	3.90%	1.22%	2.81%	1.75%	3.35%	5.42%	1.50%	3.80%	2.94%	7.18%	5.64%	4.63%	4.88%	2.69%	5.33%	3.17%	3.52%	3.31%	1.89%	0.69%	4.61%	3.19%	0.85%	0.00%	5.58%	2.69%	3.30%	2.06%	4.05%	0.76%	3.44%	3.79%	2.54%	1.03%	2.66%	3.44%	2.75%					
19	. Малышкин Олег Александрович	1433	13	52	47	20	4	24	21	11	31	44	55	53	41	115	56	34	22	11	27	37	23	5	35	12	4	45	39	19	4	30	10	32	50	4	10	12	5	2	9	8	8	4	10	5	41	10	8	39	36	6	1	15	30	29	12	3	0	50	3	6	8	9	14	10					
		2.95%	1.08%	2.86%	4.01%	2.42%	1.08%	4.01%	3.24%	8.53%	2.49%	3.24%	3.48%	3.06%	2.55%	5.70%	2.94%	3.58%	3.18%	1.55%	2.69%	3.07%	2.69%	1.51%	4.94%	5.91%	1.23%	2.72%	2.34%	3.90%	1.22%	2.55%	1.46%	3.35%	2.89%	3.01%	5.43%	3.53%	1.28%	1.03%	2.45%	1.95%	4.30%	2.67%	7.94%	2.51%	2.71%	4.72%	5.52%	2.09%	4.99%	1.70%	1.59%	2.79%	4.74%	2.28%	3.09%	4.05%	0.00%	3.19%	0.87%	2.54%	2.74%	2.99%	1.46%	2.29%					
20	. Миронов Сергей Михайлович	401	7	7	11	2	1	4	5	2	7	13	19	7	18	80	8	5	8	6	2	6	8	0	8	3	2	6	15	1	3	8	6	10	15	0	0	0	4	2	7	3	3	0	2	1	10	1	4	8	5	1	0	2	7	9	3	0	3	13	1	1	0	3	2	3					
		0.82%	0.58%	0.39%	0.94%	0.24%	0.27%	0.67%	0.77%	1.55%	0.56%	0.96%	1.20%	0.40%	1.12%	3.97%	0.42%	0.53%	1.16%	0.85%	0.20%	0.50%	0.94%	0.00%	1.13%	1.48%	0.62%	0.36%	0.90%	0.21%	0.91%	0.68%	0.88%	1.05%	0.87%	0.00%	0.00%	0.00%	1.03%	1.03%	1.91%	0.73%	1.61%	0.00%	1.59%	0.50%	0.66%	0.47%	2.76%	0.43%	0.69%	0.28%	0.00%	0.37%	1.11%	0.71%	0.77%	0.00%	2.29%	0.83%	0.29%	0.42%	0.00%	1.00%	0.21%	0.69%					
21	. Путин Владимир Владимирович	35788	948	1248	856	666	347	451	484	97	866	936	1021	1280	1182	1394	1506	760	519	576	736	827	627	242	462	143	220	1281	1284	360	283	905	563	726	1192	114	126	250	269	146	244	308	139	115	95	163	884	165	76	1442	543	305	60	371	411	908	328	32	106	1136	234	178	255	235	784	378					
		73.62%	78.41%	68.72%	72.98%	80.53%	93.28%	75.42%	74.58%	75.19%	69.56%	68.98%	64.58%	73.90%	73.51%	69.11%	79.06%	80.08%	75.00%	81.24%	73.38%	68.52%	73.42%	73.11%	65.16%	70.44%	67.90%	77.31%	77.16%	73.92%	86.02%	77.02%	82.19%	76.02%	68.78%	85.71%	68.48%	73.53%	68.97%	74.87%	66.49%	75.12%	74.73%	76.67%	75.40%	81.91%	58.47%	77.83%	52.41%	77.32%	75.31%	86.65%	95.24%	68.96%	64.93%	71.33%	84.54%	43.24%	80.92%	72.40%	68.22%	75.42%	87.33%	78.07%	81.67%	86.50%					
22	. Хакамада Ирина Муцуовна	1342	28	37	29	12	2	12	22	4	39	43	64	53	56	93	40	19	26	27	20	51	27	9	22	0	5	28	45	12	3	22	17	15	86	2	2	13	26	8	9	13	6	7	3	3	38	8	4	45	15	5	0	18	21	32	10	1	2	31	7	3	4	4	24	10					
		2.76%	2.32%	2.04%	2.47%	1.45%	0.54%	2.01%	3.39%	3.10%	3.13%	3.17%	4.05%	3.06%	3.48%	4.61%	2.10%	2.00%	3.76%	3.81%	1.99%	4.23%	3.16%	2.72%	3.10%	0.00%	1.54%	1.69%	2.70%	2.46%	0.91%	1.87%	2.48%	1.57%	4.96%	1.50%	1.09%	3.82%	6.67%	4.10%	2.45%	3.17%	3.23%	4.67%	2.38%	1.51%	2.51%	3.77%	2.76%	2.41%	2.08%	1.42%	0.00%	3.35%	3.32%	2.51%	2.58%	1.35%	1.53%	1.98%	2.04%	1.27%	1.37%	1.33%	2.50%	2.29%					
23	. Харитонов Николай Михайлович	5921	98	312	147	67	8	65	56	14	180	175	227	195	186	178	187	84	73	64	142	173	82	54	129	32	82	204	147	57	30	129	46	96	226	6	28	34	50	13	61	44	17	15	10	17	425	15	43	181	71	28	2	72	104	194	20	33	15	215	77	36	20	30	92	8					
