		8.73%	20.28%	12.21%	8.44%	5.90%	9.48%	4.54%	9.43%	10.18%	1.03%	13.17%	11.56%	3.62%	13.83%	11.52%	10.36%	14.55%	16.05%	3.76%	10.54%	8.63%	4.47%	3.58%	5.33%	7.43%	8.84%	14.93%	7.11%	5.99%	6.69%	10.29%	4.41%	15.35%	4.46%	6.66%	2.45%	12.50%	10.55%	8.92%	7.46%	0.94%	1.08%	6.25%	2.51%	2.46%	6.18%	16.58%	5.74%	7.66%	9.01%	8.70%	5.28%	9.59%	3.26%	4.53%	8.58%	9.40%	10.09%	2.82%	0.45%	6.36%	4.40%	8.58%	9.25%	9.34%	11.98%	2.88%	11.21%	10.98%	2.11%	20.98%	14.37%	3.17%	2.71%	18.82%	15.66%	5.51%									
15	Жириновский Владимир Вольфович	5467	14	119	103	89	256	47	5	86	3	99	165	49	171	100	123	138	123	94	115	73	50	36	101	94	161	80	102	31	93	63	25	126	77	103	44	37	133	178	119	7	96	153	15	35	90	9	46	20	24	27	20	161	10	30	173	66	80	40	9	32	37	80	87	95	39	4	27	64	34	19	51	15	24	49	35	39									
		7.81%	1.22%	13.58%	7.69%	8.21%	14.27%	6.46%	4.72%	9.22%	1.54%	8.52%	12.71%	4.12%	13.91%	7.58%	8.38%	10.35%	11.35%	5.89%	7.05%	8.87%	4.65%	3.14%	10.98%	17.90%	8.47%	5.61%	8.33%	5.81%	7.68%	18.53%	5.80%	8.20%	4.77%	6.72%	6.33%	9.25%	9.35%	12.04%	9.06%	3.30%	5.18%	7.96%	4.18%	5.07%	6.95%	1.55%	6.14%	7.30%	10.81%	14.67%	7.55%	8.77%	2.72%	12.35%	8.84%	9.40%	6.07%	7.52%	4.09%	3.99%	5.09%	8.69%	9.35%	9.54%	7.66%	3.85%	12.62%	6.39%	2.87%	3.44%	15.60%	4.32%	7.23%	4.01%	7.03%	7.96%									
16	Путин Владимир Владимирович	56045	892	621	1090	900	1295	639	88	715	189	841	925	1023	879	1018	1137	896	727	1405	1274	657	960	1052	724	383	1472	1070	996	457	975	225	378	1101	1437	1302	615	292	1068	1112	1056	201	1669	1629	324	619	1100	474	639	222	167	138	225	1404	334	201	1554	551	1040	465	209	690	643	743	727	768	389	95	159	767	1124	408	229	317	299	878	355	403									
		80.07%	77.63%	70.89%	81.40%	83.03%	72.19%	87.90%	83.02%	76.63%	96.92%	72.38%	71.26%	86.11%	71.52%	77.12%	77.51%	67.22%	67.07%	87.98%	78.06%	79.83%	89.30%	91.88%	78.70%	72.95%	77.47%	74.98%	81.37%	85.58%	80.51%	66.18%	87.70%	71.63%	88.98%	84.99%	88.49%	73.00%	75.11%	75.19%	80.43%	94.81%	90.02%	84.80%	90.25%	89.58%	84.94%	81.87%	85.31%	81.02%	75.23%	75.00%	84.91%	76.47%	90.76%	82.72%	79.41%	78.49%	78.91%	87.41%	95.00%	86.03%	88.45%	80.67%	78.17%	77.11%	76.42%	91.35%	74.30%	76.55%	95.01%	73.78%	70.03%	91.35%	90.06%	71.85%	71.29%	82.24%									
17	Собчак Ксения Анатольевна	639	3	13	10	14	14	1	3	13	1	21	19	10	0	8	19	24	15	12	26	4	8	3	15	1	27	20	16	5	6	8	2	21	11	3	5	7	26	17	6	2	12	4	4	6	5	0	7	4	4	1	1	29	3	1	5	2	14	1	0	12	2	3	9	10	5	0	0	19	0	7	0	2	0	15	9	4									
		0.91%	0.26%	1.48%	0.75%	1.29%	0.78%	0.14%	2.83%	1.39%	0.51%	1.81%	1.46%	0.84%	0.00%	0.61%	1.30%	1.80%	1.38%	0.75%	1.59%	0.49%	0.74%	0.26%	1.63%	0.19%	1.42%	1.40%	1.31%	0.94%	0.50%	2.35%	0.46%	1.37%	0.68%	0.20%	0.72%	1.75%	1.83%	1.15%	0.46%	0.94%	0.65%	0.21%	1.11%	0.87%	0.39%	0.00%	0.93%	1.46%	1.80%	0.54%	0.38%	1.58%	0.82%	0.41%	0.26%	0.28%	1.06%	0.19%	0.00%	1.50%	0.28%	0.33%	0.97%	1.00%	0.98%	0.00%	0.00%	1.90%	0.00%	1.27%	0.00%	0.58%	0.00%	1.23%	1.81%	0.82%									
18	Сурайкин Максим Александрович	296	3	0	7	3	12	1	0	1	0	10	4	6	0	5	7	16	5	3	7	3	2	2	5	4	11	7	6	5	5	2	1	11	9	12	2	1	3	5	5	0	13	5	2	1	3	0	6	1	3	0	2	8	4	0	9	2	6	0	0	3	1	3	3	1	1	0	1	7	0	0	0	1	0	12	3	4									
		0.42%	0.26%	0.00%	0.52%	0.28%	0.67%	0.14%	0.00%	0.11%	0.00%	0.86%	0.31%	0.51%	0.00%	0.38%	0.48%	1.20%	0.46%	0.19%	0.43%	0.36%	0.19%	0.17%	0.54%	0.76%	0.58%	0.49%	0.49%	0.94%	0.41%	0.59%	0.23%	0.72%	0.56%	0.78%	0.29%	0.25%	0.21%	0.34%	0.38%	0.00%	0.70%	0.26%	0.56%	0.14%	0.23%	0.00%	0.80%	0.36%	1.35%	0.00%	0.75%	0.44%	1.09%	0.00%	0.46%	0.28%	0.46%	0.00%	0.00%	0.37%	0.14%	0.33%	0.32%	0.10%	0.20%	0.00%	0.47%	0.70%	0.00%	0.00%	0.00%	0.29%	0.00%	0.98%	0.60%	0.82%									
19	Титов Борис Юрьевич	275	0	3	10	5	6	1	0	2	0	9	5	5	0	8	4	14	6	3	12	2	0	2	2	0	6	6	4	0	7	3	1	7	5	0	6	0	15	8	4	0	15	3	2	2	2	0	1	2	2	1	0	11	2	0	5	2	11	2	1	4	0	1	9	9	4	0	1	5	0	0	0	0	0	4	0	3									
		0.39%	0.00%	0.34%	0.75%	0.46%	0.33%	0.14%	0.00%	0.21%	0.00%	0.77%	0.39%	0.42%	0.00%	0.61%	0.27%	1.05%	0.55%	0.19%	0.74%	0.24%	0.00%	0.17%	0.22%	0.00%	0.32%	0.42%	0.33%	0.00%	0.58%	0.88%	0.23%	0.46%	0.31%	0.00%	0.86%	0.00%	1.05%	0.54%	0.30%	0.00%	0.81%	0.16%	0.56%	0.29%	0.15%	0.00%	0.13%	0.73%	0.90%	0.54%	0.00%	0.60%	0.54%	0.00%	0.26%	0.28%	0.83%	0.38%	0.45%	0.50%	0.00%	0.11%	0.97%	0.90%	0.79%	0.00%	0.47%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.61%									
20	Явлинский Григорий Алексеевич	253	1	7	0	0	3	2	0	3	0	2	2	7	0	5	12	8	7	2	8	5	0	1	8	0	8	6	1	1	25	0	1	3	2	7	2	4	4	8	5	0	17	4	2	6	2	0	1	0	0	0	0	10	1	0	3	1	9	1	0	2	2	1	0	4	1	0	0	8	0	3	0	0	0	7	6	2									
		0.36%	0.09%	0.80%	0.00%	0.00%	0.17%	0.28%	0.00%	0.32%	0.00%	0.17%	0.15%	0.59%	0.00%	0.38%	0.82%	0.60%	0.65%	0.13%	0.49%	0.61%	0.00%	0.09%	0.87%	0.00%	0.42%	0.42%	0.08%	0.19%	2.06%	0.00%	0.23%	0.20%	0.12%	0.46%	0.29%	1.00%	0.28%	0.54%	0.38%	0.00%	0.92%	0.21%	0.56%	0.87%	0.15%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.54%	0.27%	0.00%	0.15%	0.14%	0.68%	0.19%	0.00%	0.25%	0.28%	0.11%	0.00%	0.40%	0.20%	0.00%	0.00%	0.80%	0.00%	0.54%	0.00%	0.00%	0.00%	0.57%	1.20%	0.41%									
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
