Выборы Президента Российской Федерации																																																																											
Дата голосования: 02.03.2008																																																																											
																																																																											
Наименование Избирательной комиссии:    Тюменская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
	Число участковых избирательных комиссий	68																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	68																																																																									
																																																																											
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	873	9	1	10	15	5	2	0	107	4	2	3	4	11	41	5	37	15	8	4	25	8	2	24	22	19	14	6	6	19	30	20	17	9	17	9	3	8	2	5	24	24	13	2	19	4	9	43	11	10	11	5	23	14	2	8	5	2	5	8	8	7	18	7	5	6	13	1	18					
14	Число неиспользованных открепительных удостоверений	1246	33	6	0	14	11	6	8	19	0	3	13	11	18	14	13	16	31	0	0	39	0	0	64	70	64	12	63	22	43	24	23	15	21	32	36	16	9	0	9	63	63	0	10	11	28	23	44	5	10	17	15	43	0	0	0	0	0	0	19	3	3	32	27	14	5	17	13	3					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	Богданов Андрей Владимирович	529	11	1	6	29	11	0	1	15	9	1	3	2	4	1	3	7	5	9	1	16	4	0	18	29	22	26	16	20	5	6	8	4	4	7	10	6	3	4	4	12	18	4	2	14	17	9	18	2	3	2	17	7	3	2	2	3	0	1	12	0	4	28	5	0	0	6	1	6					
		0.80%	0.99%	0.53%	0.69%	1.47%	2.03%	0.00%	0.60%	0.70%	1.98%	0.33%	0.88%	0.64%	0.42%	0.22%	0.31%	0.54%	0.42%	0.95%	0.25%	1.05%	0.40%	0.00%	0.95%	1.36%	1.06%	1.29%	0.87%	1.81%	0.35%	0.48%	0.70%	0.74%	0.27%	0.37%	0.60%	1.38%	0.34%	1.51%	1.06%	0.57%	0.79%	0.68%	0.51%	0.99%	1.80%	0.81%	0.63%	1.20%	1.10%	0.41%	2.88%	0.38%	0.60%	0.26%	0.92%	1.37%	0.00%	0.44%	0.58%	0.00%	1.70%	1.10%	0.45%	0.00%	0.00%	0.50%	0.26%	0.73%					
19	Жириновский Владимир Вольфович	3735	76	9	63	194	20	6	29	145	24	28	21	27	17	10	20	85	48	110	43	92	68	20	116	122	132	128	63	210	76	94	63	33	61	61	80	15	148	45	9	116	122	31	31	37	52	35	99	10	12	16	40	137	5	23	8	15	12	2	46	6	19	120	26	5	3	63	5	28					
		5.64%	6.83%	4.74%	7.29%	9.86%	3.70%	7.50%	17.26%	6.72%	5.29%	9.36%	6.18%	8.65%	1.79%	2.16%	2.08%	6.54%	4.00%	11.59%	10.91%	6.01%	6.85%	10.87%	6.12%	5.74%	6.33%	6.35%	3.41%	19.02%	5.37%	7.56%	5.51%	6.09%	4.08%	3.26%	4.79%	3.45%	16.95%	16.98%	2.39%	5.49%	5.33%	5.25%	7.95%	2.64%	5.50%	3.14%	3.48%	5.99%	4.41%	3.27%	6.78%	7.47%	1.00%	3.01%	3.69%	6.85%	7.50%	0.88%	2.21%	2.45%	8.09%	4.69%	2.36%	0.99%	2.63%	5.20%	1.32%	3.39%					
20	Зюганов Геннадий Андреевич	4249	68	6	51	147	16	11	11	158	42	13	15	26	30	7	69	84	100	66	15	142	52	10	144	140	116	140	119	115	85	72	90	35	124	103	59	20	161	41	52	142	210	26	18	176	73	30	206	9	16	20	11	111	17	15	19	11	10	5	136	8	15	49	30	15	4	59	11	42					
		6.42%	6.12%	3.16%	5.90%	7.47%	2.96%	13.75%	6.55%	7.32%	9.25%	4.35%	4.41%	8.33%	3.16%	1.51%	7.19%	6.46%	8.33%	6.95%	3.81%	9.28%	5.24%	5.43%	7.60%	6.59%	5.57%	6.94%	6.44%	10.42%	6.01%	5.79%	7.87%	6.46%	8.29%	5.50%	3.54%	4.60%	18.44%	15.47%	13.79%	6.72%	9.17%	4.41%	4.62%	12.54%	7.72%	2.70%	7.25%	5.39%	5.88%	4.09%	1.86%	6.05%	3.40%	1.96%	8.76%	5.02%	6.25%	2.20%	6.54%	3.27%	6.38%	1.92%	2.73%	2.98%	3.51%	4.87%	2.91%	5.09%					
21	Медведев Дмитрий Анатольевич	57154	940	174	732	1587	490	60	123	1807	377	257	300	257	893	441	866	1120	1045	764	334	1269	864	153	1607	1818	1788	1694	1641	748	1249	1059	971	470	1302	1685	1510	394	555	173	295	1835	1919	523	336	1161	784	1030	2500	146	240	450	520	1567	468	720	186	190	137	218	1873	228	194	2335	1027	484	107	1063	358	743					
		86.35%	84.53%	91.58%	84.72%	80.64%	90.57%	75.00%	73.21%	83.73%	83.04%	85.95%	88.24%	82.37%	94.10%	95.04%	90.21%	86.15%	87.08%	80.51%	84.77%	82.94%	87.01%	83.15%	84.80%	85.55%	85.80%	84.03%	88.80%	67.75%	88.27%	85.13%	84.88%	86.72%	87.03%	90.01%	90.47%	90.57%	63.57%	65.28%	78.25%	86.88%	83.80%	88.64%	86.15%	82.75%	82.88%	92.54%	87.94%	87.43%	88.24%	92.02%	88.14%	85.44%	93.60%	94.12%	85.71%	86.76%	85.63%	96.04%	90.00%	93.06%	82.55%	91.35%	93.36%	96.03%	93.86%	87.71%	94.71%	90.06%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
