Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Малышевская поселковая												
												
Итоги голосования 												
												
		Сумма	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579					
1	"Число избирателей, внесенных в список"	10245	1321	2258	2248	2173	2245					
2	Число полученных избирательных бюллетеней	9285	1190	2055	2030	1970	2040					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5119	467	1260	1176	1102	1114					
5	"Число избирательных бюллетеней, выданных вне помещения"	243	53	42	45	72	31					
6	Число погашенных избирательных бюллетеней	3923	670	753	809	796	895					
7	Число избирательных бюллетеней в переносных ящиках	243	53	42	45	72	31					
8	Число бюллетеней в стационарных ящиках для голосования	5119	467	1260	1176	1102	1114					
9	Число недействительных избирательных бюллетеней	53	7	13	12	11	10					
10	Число действительных избирательных бюллетеней	5309	513	1289	1209	1163	1135					
11	Число полученных открепительных  удостоверений	246	50	49	49	49	49					
12	Число выданных открепительных удостоверений	40	2	11	8	8	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	4	8	5	5	8					
14	Число неиспользованных открепительных удостоверений	206	48	38	41	41	38					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	306	20	66	73	78	69					
		5.71%	3.85%	5.07%	5.98%	6.64%	6.03%					
19	. Малышкин Олег Александрович	138	23	33	24	32	26					
		2.57%	4.42%	2.53%	1.97%	2.73%	2.27%					
20	. Миронов Сергей Михайлович	52	6	17	11	8	10					
		0.97%	1.15%	1.31%	0.90%	0.68%	0.87%					
21	. Путин Владимир Владимирович	4010	391	962	927	846	884					
		74.79%	75.19%	73.89%	75.92%	72.06%	77.21%					
22	. Хакамада Ирина Муцуовна	193	9	52	46	44	42					
		3.60%	1.73%	3.99%	3.77%	3.75%	3.67%					
23	. Харитонов Николай Михайлович	503	53	137	107	125	81					
		9.38%	10.19%	10.52%	8.76%	10.65%	7.07%					
												
24	Против всех	107	11	22	21	30	23					
		2.00%	2.12%	1.69%	1.72%	2.56%	2.01%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
