Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Вилегодская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286					
1	"Число избирателей, внесенных в список"	9965	620	236	502	463	285	900	601	235	281	529	329	2325	1339	160	669	98	143	250					
2	Число полученных избирательных бюллетеней	8977	565	220	480	415	270	780	540	215	260	490	290	2000	1170	160	630	102	150	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5997	403	109	377	289	174	480	346	150	207	236	172	1468	784	72	406	55	106	163					
5	"Число избирательных бюллетеней, выданных вне помещения"	1099	34	68	37	30	59	125	92	20	35	104	72	130	33	66	139	15	12	28					
6	Число погашенных избирательных бюллетеней	1881	128	43	66	96	37	175	102	45	18	150	46	402	353	22	85	32	32	49					
7	Число избирательных бюллетеней в переносных ящиках	1099	34	68	37	30	59	125	92	20	35	104	72	130	33	66	139	15	12	28					
8	Число бюллетеней в стационарных ящиках для голосования	5995	403	109	377	287	174	480	346	150	207	236	172	1468	784	72	406	55	106	163					
9	Число недействительных избирательных бюллетеней	39	6	0	4	0	3	6	1	0	0	0	1	9	2	1	2	1	1	2					
10	Число действительных избирательных бюллетеней	7055	431	177	410	317	230	599	437	170	242	340	243	1589	815	137	543	69	117	189					
11	Число полученных открепительных  удостоверений	236	15	5	10	10	10	20	15	5	10	15	10	40	25	5	24	5	7	5					
12	Число выданных открепительных удостоверений	98	12	2	7	0	0	4	10	2	0	4	0	24	6	2	17	3	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	7	1	3	3	6	6	0	0	0	2	2	11	1	2	3	3	3	4					
14	Число неиспользованных открепительных удостоверений	138	3	3	3	10	10	16	5	3	10	11	10	16	19	3	7	2	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	153	14	5	9	8	2	21	5	0	3	4	7	49	11	5	6	0	0	4					
		2.16%	3.20%	2.82%	2.17%	2.52%	0.86%	3.47%	1.14%	0.00%	1.24%	1.18%	2.87%	3.07%	1.35%	3.62%	1.10%	0.00%	0.00%	2.09%					
19	. Малышкин Олег Александрович	143	9	4	7	4	10	12	6	4	2	9	5	41	12	2	7	3	2	4					
		2.02%	2.06%	2.26%	1.69%	1.26%	4.29%	1.98%	1.37%	2.35%	0.83%	2.65%	2.05%	2.57%	1.47%	1.45%	1.28%	4.29%	1.69%	2.09%					
20	. Миронов Сергей Михайлович	56	3	2	2	2	0	8	5	1	3	4	1	11	7	1	4	0	1	1					
		0.79%	0.69%	1.13%	0.48%	0.63%	0.00%	1.32%	1.14%	0.59%	1.24%	1.18%	0.41%	0.69%	0.86%	0.72%	0.73%	0.00%	0.85%	0.52%					
21	. Путин Владимир Владимирович	5212	318	127	327	264	125	397	330	113	163	265	179	1138	617	112	435	47	101	154					
		73.47%	72.77%	71.75%	78.99%	83.28%	53.65%	65.62%	75.34%	66.47%	67.36%	77.94%	73.36%	71.21%	75.52%	81.16%	79.82%	67.14%	85.59%	80.63%					
22	. Хакамада Ирина Муцуовна	138	7	3	3	3	5	8	4	6	2	7	5	49	22	2	5	2	2	3					
		1.95%	1.60%	1.69%	0.72%	0.95%	2.15%	1.32%	0.91%	3.53%	0.83%	2.06%	2.05%	3.07%	2.69%	1.45%	0.92%	2.86%	1.69%	1.57%					
23	. Харитонов Николай Михайлович	1210	75	36	57	35	87	150	79	41	69	45	39	234	127	12	77	15	9	23					
		17.06%	17.16%	20.34%	13.77%	11.04%	37.34%	24.79%	18.04%	24.12%	28.51%	13.24%	15.98%	14.64%	15.54%	8.70%	14.13%	21.43%	7.63%	12.04%					
																									
24	Против всех	143	5	0	5	1	1	3	8	5	0	6	7	67	19	3	9	2	2	0					
		2.02%	1.14%	0.00%	1.21%	0.32%	0.43%	0.50%	1.83%	2.94%	0.00%	1.76%	2.87%	4.19%	2.33%	2.17%	1.65%	2.86%	1.69%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
