7	Число избирательных бюллетеней в переносных ящиках для голосования	4011	100	67	32	53	66	33	16	70	46	44	65	40	128	54	40	45	23	32	25	26	25	48	65	28	59	46	44	43	56	37	77	17	9	14	16	23	63	33	58	31	25	10	65	55	17	28	110	38	34	32	24	95	65	127	71	95	72	92	86	36	81	42	13	44	65	34	63	121	39	56	64	61	62	64	84	74	70									
8	Число бюллетеней в стационарных ящиках для голосования	46646	1112	1046	941	1133	946	1127	533	1064	1157	511	625	337	429	954	1176	1171	1335	1308	1233	1246	572	663	1450	1373	1466	669	83	72	523	600	743	221	91	134	426	352	145	165	178	245	600	537	1157	1303	1098	1059	251	1412	1275	160	187	1308	659	195	117	125	125	80	201	128	112	157	91	84	189	103	726	1078	438	397	140	146	259	247	230	561	156									
9	Число недействительных избирательных бюллетеней	956	13	33	26	24	18	24	15	27	21	5	13	10	23	15	25	23	28	24	19	26	17	25	33	34	30	15	3	0	9	15	15	4	4	2	3	8	0	1	5	6	7	17	28	35	27	19	6	22	26	4	1	20	14	5	2	0	0	0	4	3	0	3	1	0	6	2	9	19	8	7	1	1	1	7	3	5	2									
10	Число действительных избирательных бюллетеней	49701	1199	1080	947	1162	994	1136	534	1107	1182	550	677	367	534	993	1191	1193	1330	1316	1239	1246	580	686	1482	1367	1495	700	124	115	570	622	805	234	96	146	439	367	208	197	231	270	618	530	1194	1323	1088	1068	355	1428	1283	188	210	1383	710	317	186	220	197	172	283	161	193	196	103	128	248	135	780	1180	469	446	203	206	320	304	311	630	224									
11	Число полученных открепительных  удостоверений	1546	38	41	31	52	33	37	15	35	42	10	28	6	5	24	25	23	21	20	23	29	17	22	30	29	23	38	12	5	17	20	26	10	3	5	25	20	10	11	6	7	15	15	32	44	30	22	10	39	24	4	2	78	64	18	15	17	7	5	7	32	7	15	5	5	10	5	22	14	12	26	5	3	17	10	12	17	7									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1535	38	41	31	52	33	37	14	34	42	10	28	6	5	23	25	23	21	19	23	29	17	22	29	29	22	38	11	5	17	20	26	10	3	5	25	20	10	11	6	7	15	15	32	44	29	22	10	38	24	4	2	78	64	18	15	17	7	5	7	32	7	13	5	5	10	5	22	14	12	26	5	3	17	10	12	17	7									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1152	48	16	20	14	13	1	5	15	36	14	10	11	13	26	8	13	20	17	28	25	8	30	18	31	29	20	13	18	14	15	7	5	7	10	14	11	11	6	19	11	18	18	20	10	8	14	29	44	15	5	8	16	14	12	7	16	9	5	22	12	11	6	9	9	7	12	30	23	6	5	6	11	21	9	6	14	15									
14	Число неиспользованных открепительных удостоверений	11	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	154	1	5	2	4	1	2	2	3	3	1	3	1	0	0	3	2	7	3	1	1	3	3	3	5	5	5	1	0	0	2	0	0	0	0	0	1	1	4	1	1	1	2	4	1	3	4	1	3	4	1	1	11	12	11	1	1	0	0	0	3	0	0	0	1	0	0	1	3	1	3	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																								
19	Жириновский Владимир Вольфович	4156	108	110	83	108	85	125	37	96	87	39	67	29	40	85	119	92	111	108	97	119	60	52	134	109	109	75	9	6	46	41	85	16	11	7	47	28	11	17	16	20	40	39	92	125	105	106	37	127	90	10	12	109	66	20	24	22	13	17	22	10	20	14	8	7	12	7	58	88	36	26	11	11	15	21	22	49	21									
		8.20%	8.91%	9.88%	8.53%	9.11%	8.40%	10.78%	6.74%	8.47%	7.23%	7.03%	9.71%	7.69%	7.18%	8.43%	9.79%	7.57%	8.17%	8.06%	7.71%	9.36%	10.05%	7.31%	8.84%	7.78%	7.15%	10.49%	7.09%	5.22%	7.94%	6.44%	10.37%	6.72%	11.00%	4.73%	10.63%	7.47%	5.29%	8.59%	6.78%	7.25%	6.40%	7.13%	7.53%	9.20%	9.42%	9.75%	10.25%	8.76%	6.88%	5.21%	5.69%	7.77%	9.12%	6.21%	12.77%	10.00%	6.60%	9.88%	7.67%	6.10%	10.36%	7.04%	7.69%	5.47%	4.72%	5.11%	7.35%	7.34%	7.55%	5.74%	5.39%	5.31%	4.67%	6.75%	7.01%	7.72%	9.29%									
20	Зюганов Геннадий Андреевич	10642	167	143	163	217	214	202	99	198	261	136	133	55	51	232	247	283	308	300	268	288	110	149	363	359	367	192	35	26	148	158	178	46	13	37	69	71	41	34	40	82	131	122	298	300	240	222	86	405	424	46	62	255	148	36	18	25	30	35	56	21	46	35	13	29	43	20	163	266	68	86	41	61	81	49	55	118	25									
		21.01%	13.78%	12.85%	16.75%	18.30%	21.15%	17.41%	18.03%	17.46%	21.70%	24.50%	19.28%	14.59%	9.16%	23.02%	20.31%	23.27%	22.68%	22.39%	21.30%	22.64%	18.43%	20.96%	23.96%	25.62%	24.07%	26.85%	27.56%	22.61%	25.56%	24.80%	21.71%	19.33%	13.00%	25.00%	15.61%	18.93%	19.71%	17.17%	16.95%	29.71%	20.96%	22.30%	24.39%	22.09%	21.52%	20.42%	23.82%	27.93%	32.39%	23.96%	29.38%	18.18%	20.44%	11.18%	9.57%	11.36%	15.23%	20.35%	19.51%	12.80%	23.83%	17.59%	12.50%	22.66%	16.93%	14.60%	20.66%	22.19%	14.26%	18.98%	20.10%	29.47%	25.23%	15.76%	17.52%	18.58%	11.06%									
21	Миронов Сергей Михайлович	2126	51	41	35	49	39	56	23	66	70	20	29	8	16	32	53	46	49	52	51	72	26	33	76	78	83	28	3	4	21	24	27	6	2	7	14	10	11	5	10	9	23	22	43	58	63	44	9	67	57	7	6	58	34	13	8	8	0	7	12	5	6	9	4	5	13	3	37	46	13	8	11	11	8	19	12	28	14									
		4.20%	4.21%	3.68%	3.60%	4.13%	3.85%	4.83%	4.19%	5.82%	5.82%	3.60%	4.20%	2.12%	2.87%	3.17%	4.36%	3.78%	3.61%	3.88%	4.05%	5.66%	4.36%	4.64%	5.02%	5.57%	5.44%	3.92%	2.36%	3.48%	3.63%	3.77%	3.29%	2.52%	2.00%	4.73%	3.17%	2.67%	5.29%	2.53%	4.24%	3.26%	3.68%	4.02%	3.52%	4.27%	5.65%	4.05%	2.49%	4.62%	4.35%	3.65%	2.84%	4.13%	4.70%	4.04%	4.26%	3.64%	0.00%	4.07%	4.18%	3.05%	3.11%	4.52%	3.85%	3.91%	5.12%	2.19%	4.69%	3.84%	2.73%	1.77%	5.39%	5.31%	2.49%	6.11%	3.82%	4.41%	6.19%									
22	Прохоров Михаил Дмитриевич	3611	89	79	52	86	71	97	35	108	111	55	44	27	21	70	103	94	128	118	100	83	37	60	110	100	123	44	4	10	23	24	37	23	8	8	31	18	14	13	13	23	53	34	94	105	84	99	28	116	113	9	23	85	48	15	10	10	1	3	12	12	6	17	9	6	13	11	46	80	29	40	8	16	8	16	15	27	16									
		7.13%	7.34%	7.10%	5.34%	7.25%	7.02%	8.36%	6.38%	9.52%	9.23%	9.91%	6.38%	7.16%	3.77%	6.94%	8.47%	7.73%	9.43%	8.81%	7.95%	6.53%	6.20%	8.44%	7.26%	7.14%	8.07%	6.15%	3.15%	8.70%	3.97%	3.77%	4.51%	9.66%	8.00%	5.41%	7.01%	4.80%	6.73%	6.57%	5.51%	8.33%	8.48%	6.22%	7.69%	7.73%	7.53%	9.11%	7.76%	8.00%	8.63%	4.69%	10.90%	6.06%	6.63%	4.66%	5.32%	4.55%	0.51%	1.74%	4.18%	7.32%	3.11%	8.54%	8.65%	4.69%	5.12%	8.03%	5.83%	6.67%	6.08%	8.83%	3.92%	7.73%	2.49%	5.14%	4.78%	4.25%	7.08%									
23	Путин Владимир Владимирович	29166	784	707	614	702	585	656	340	639	653	300	404	248	406	574	669	678	734	738	723	684	347	392	799	721	813	361	73	69	332	375	478	143	62	87	278	240	131	128	152	136	371	313	667	735	596	597	195	713	599	116	107	876	414	233	126	155	153	110	181	113	115	121	69	81	167	94	476	700	323	286	132	107	208	199	207	408	148									
		57.58%	64.69%	63.52%	63.10%	59.19%	57.81%	56.55%	61.93%	56.35%	54.28%	54.05%	58.55%	65.78%	72.89%	56.94%	55.02%	55.76%	54.05%	55.07%	57.47%	53.77%	58.12%	55.13%	52.74%	51.46%	53.31%	50.49%	57.48%	60.00%	57.34%	58.87%	58.29%	60.08%	62.00%	58.78%	62.90%	64.00%	62.98%	64.65%	64.41%	49.28%	59.36%	57.22%	54.58%	54.12%	53.45%	54.92%	54.02%	49.17%	45.76%	60.42%	50.71%	62.44%	57.18%	72.36%	67.02%	70.45%	77.66%	63.95%	63.07%	68.90%	59.59%	60.80%	66.35%	63.28%	65.75%	68.61%	60.33%	58.38%	67.71%	63.13%	64.71%	51.69%	64.80%	63.99%	65.92%	64.25%	65.49%									
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
