Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Шатковская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448					
1	"Число избирателей, внесенных в список"	21698	2576	1478	2114	1894	890	1763	201	279	809	126	225	567	112	118	255	109	338	98	468	129	1012	425	541	461	523	318	596	39	368	343	223	344	182	359	656	223	251	200	85					
2	Число полученных избирательных бюллетеней	21849	2611	1341	2134	1890	907	1828	201	286	839	126	230	596	116	127	252	104	350	98	475	129	1005	425	545	476	534	327	598	38	380	343	218	344	175	364	661	231	260	200	85					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11721	1172	678	1166	849	647	848	102	170	506	81	141	343	73	35	103	55	200	63	214	69	642	200	364	242	263	133	375	19	209	208	133	206	120	204	370	163	167	120	68					
5	"Число избирательных бюллетеней, выданных вне помещения"	1595	59	180	27	43	38	38	22	50	44	9	28	65	8	53	71	27	25	12	62	36	9	79	29	121	51	64	38	13	34	26	13	26	20	56	78	4	14	23	0					
6	Число погашенных избирательных бюллетеней	8533	1380	483	941	998	222	942	77	66	289	36	61	188	35	39	78	22	125	23	199	24	354	146	152	113	220	130	185	6	137	109	72	112	35	104	213	64	79	57	17					
7	Число избирательных бюллетеней в переносных ящиках	1595	59	180	27	43	38	38	22	50	44	9	28	65	8	53	71	27	25	12	62	36	9	79	29	121	51	64	38	13	34	26	13	26	20	56	78	4	14	23	0					
8	Число бюллетеней в стационарных ящиках для голосования	11721	1172	678	1166	849	647	848	102	170	506	81	141	343	73	35	103	55	200	63	214	69	642	200	364	242	263	133	375	19	209	208	133	206	120	204	370	163	167	120	68					
9	Число недействительных избирательных бюллетеней	147	7	5	5	1	12	15	2	4	3	0	3	3	0	0	4	0	3	1	11	1	5	2	8	5	7	4	8	0	2	4	1	3	1	9	1	4	3	0	0					
10	Число действительных избирательных бюллетеней	13169	1224	853	1188	891	673	871	122	216	547	90	166	405	81	88	170	82	222	74	265	104	646	277	385	358	307	193	405	32	241	230	145	229	139	251	447	163	178	143	68					
11	Число полученных открепительных  удостоверений	472	26	30	49	41	20	40	4	6	19	3	5	12	2	3	6	3	20	2	11	3	23	11	12	11	12	7	13	2	9	8	4	9	4	9	15	5	6	5	2					
12	Число выданных открепительных удостоверений	179	8	19	18	4	13	23	0	1	14	0	1	11	0	3	1	0	16	0	3	1	0	1	12	2	5	5	1	0	2	0	0	2	1	2	2	2	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	1	7	8	6	3	3	3	0	3	1	0	2	1	3	4	4	2	2	0	4	3	2	2	1	4	1	3	0	0	1	0	1	0	1	2	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	293	18	11	31	37	7	17	4	5	5	3	4	1	2	0	5	3	4	2	8	2	23	10	0	9	7	2	12	2	7	8	4	7	3	7	13	3	0	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	422	51	32	45	44	17	17	6	13	11	2	4	19	2	2	0	3	6	0	18	1	19	4	9	9	10	3	13	0	5	5	1	4	4	7	21	4	7	4	0					
