Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Прионежская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в список"	17469	1799	137	1151	640	1950	826	2023	1561	93	958	248	1303	883	1160	142	76	920	121	847	631					
2	Число полученных избирательных бюллетеней	17500	1855	140	1170	640	1940	840	2015	1570	90	955	235	1290	900	1155	135	75	935	120	810	630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8302	860	75	547	310	790	354	969	816	42	459	110	654	448	528	73	43	424	68	397	335					
5	"Число избирательных бюллетеней, выданных вне помещения"	670	70	0	65	46	52	23	7	30	6	62	27	21	15	114	1	8	21	16	45	41					
6	Число погашенных избирательных бюллетеней	8528	925	65	558	284	1098	463	1039	724	42	434	98	615	437	513	61	24	490	36	368	254					
7	Число избирательных бюллетеней в переносных ящиках	670	70	0	65	46	52	23	7	30	6	62	27	21	15	114	1	8	21	16	45	41					
8	Число бюллетеней в стационарных ящиках для голосования	8299	860	75	547	310	789	354	968	816	42	459	110	654	448	527	73	43	424	68	397	335					
9	Число недействительных избирательных бюллетеней	79	8	0	7	4	9	1	15	5	0	2	0	7	5	5	1	0	4	0	2	4					
10	Число действительных избирательных бюллетеней	8890	922	75	605	352	832	376	960	841	48	519	137	668	458	636	73	51	441	84	440	372					
11	Число полученных открепительных  удостоверений	470	35	10	30	15	35	25	45	35	10	25	10	35	25	30	10	10	25	10	25	25					
12	Число выданных открепительных удостоверений	142	22	3	11	8	7	7	12	10	3	4	2	8	9	4	5	1	3	8	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	137	10	0	8	9	8	6	6	12	8	10	8	10	6	10	6	1	1	6	6	6					
14	Число неиспользованных открепительных удостоверений	328	13	7	19	7	28	18	33	25	7	21	8	27	16	26	5	9	22	2	18	17					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	2	0	0	8	0	3	0	0	0	0	2	1	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	157	13	0	14	8	9	9	15	18	1	7	2	11	17	12	1	2	7	0	6	5					
		1.75%	1.40%	0.00%	2.29%	2.25%	1.07%	2.39%	1.54%	2.13%	2.08%	1.34%	1.46%	1.63%	3.67%	1.87%	1.35%	3.92%	1.57%	0.00%	1.36%	1.33%					
19	. Малышкин Олег Александрович	240	24	0	14	11	25	7	42	23	2	9	2	21	14	12	1	1	12	0	15	5					
		2.68%	2.58%	0.00%	2.29%	3.09%	2.97%	1.86%	4.31%	2.72%	4.17%	1.73%	1.46%	3.11%	3.02%	1.87%	1.35%	1.96%	2.70%	0.00%	3.39%	1.33%					
20	. Миронов Сергей Михайлович	77	12	1	3	2	10	1	14	2	1	4	1	6	1	9	0	0	2	0	2	6					
		0.86%	1.29%	1.33%	0.49%	0.56%	1.19%	0.27%	1.44%	0.24%	2.08%	0.77%	0.73%	0.89%	0.22%	1.40%	0.00%	0.00%	0.45%	0.00%	0.45%	1.60%					
21	. Путин Владимир Владимирович	6885	697	65	500	274	621	305	701	641	37	427	110	484	349	499	65	44	356	73	335	302					
		76.76%	74.95%	86.67%	81.70%	76.97%	73.84%	80.90%	71.90%	75.77%	77.08%	81.96%	80.29%	71.70%	75.38%	77.85%	87.84%	86.27%	80.00%	86.90%	75.79%	80.32%					
22	. Хакамада Ирина Муцуовна	362	23	3	13	8	40	10	56	51	1	19	5	37	17	25	0	0	20	2	18	14					
		4.04%	2.47%	4.00%	2.12%	2.25%	4.76%	2.65%	5.74%	6.03%	2.08%	3.65%	3.65%	5.48%	3.67%	3.90%	0.00%	0.00%	4.49%	2.38%	4.07%	3.72%					
23	. Харитонов Николай Михайлович	903	124	5	50	44	89	33	96	83	6	39	16	82	39	63	0	4	36	6	51	37					
		10.07%	13.33%	6.67%	8.17%	12.36%	10.58%	8.75%	9.85%	9.81%	12.50%	7.49%	11.68%	12.15%	8.42%	9.83%	0.00%	7.84%	8.09%	7.14%	11.54%	9.84%					
																											
24	Против всех	266	29	1	11	5	38	11	36	23	0	14	1	27	21	16	6	0	8	3	13	3					
		2.97%	3.12%	1.33%	1.80%	1.40%	4.52%	2.92%	3.69%	2.72%	0.00%	2.69%	0.73%	4.00%	4.54%	2.50%	8.11%	0.00%	1.80%	3.57%	2.94%	0.80%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
