Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Гунибская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
1	"Число избирателей, внесенных в список"	14548	516	230	486	615	1247	248	374	502	265	646	459	491	416	378	231	130	684	348	210	444	770	98	560	672	665	356	444	429	459	260	107	230	390	188					
2	Число полученных избирательных бюллетеней	14520	586	230	500	577	1250	248	376	493	259	648	478	491	428	378	240	125	680	334	206	434	770	98	560	672	650	356	440	405	464	234	100	220	390	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11294	286	220	439	552	1118	164	357	413	215	599	112	178	188	378	231	115	482	320	192	339	682	74	184	591	546	252	404	201	444	230	98	204	317	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	2450	97	0	47	0	92	84	8	70	39	15	347	284	222	0	0	10	179	0	7	53	57	0	376	54	78	94	10	197	0	0	0	0	18	12					
6	Число погашенных избирательных бюллетеней	776	203	10	14	25	40	0	11	10	5	34	19	29	18	0	9	0	19	14	7	42	31	24	0	27	26	10	26	7	20	4	2	16	55	19					
7	Число избирательных бюллетеней в переносных ящиках	2450	97	0	47	0	92	84	8	70	39	15	347	284	222	0	0	10	179	0	7	53	57	0	376	54	78	94	10	197	0	0	0	0	18	12					
8	Число бюллетеней в стационарных ящиках для голосования	11294	286	220	439	552	1118	164	357	413	215	599	112	178	188	378	231	115	482	320	192	339	682	74	184	591	546	252	404	201	444	230	98	204	317	169					
9	Число недействительных избирательных бюллетеней	48	0	0	0	1	7	0	0	2	0	1	7	0	2	5	0	0	5	0	1	0	6	0	0	2	0	0	0	0	0	0	0	4	5	0					
10	Число действительных избирательных бюллетеней	13696	383	220	486	551	1203	248	365	481	254	613	452	462	408	373	231	125	656	320	198	392	733	74	560	643	624	346	414	398	444	230	98	200	330	181					
11	Число полученных открепительных  удостоверений	300	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8					
12	Число выданных открепительных удостоверений	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	294	9	10	9	10	10	10	10	10	10	10	10	10	10	10	8	8	8	8	8	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	51	16	1	0	0	1	0	0	0	3	0	3	0	1	6	0	0	1	0	0	2	0	0	0	3	4	0	0	4	0	1	0	0	5	0					
		0.37%	4.18%	0.45%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	1.18%	0.00%	0.65%	0.00%	0.24%	1.59%	0.00%	0.00%	0.15%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.47%	0.64%	0.00%	0.00%	1.01%	0.00%	0.43%	0.00%	0.00%	1.49%	0.00%					
19	. Малышкин Олег Александрович	17	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	1	4	0	0	0	0	2	0	0	0	0	2	0	1	0	0					
		0.12%	0.00%	0.45%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.79%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	1.60%	0.00%	0.00%	0.50%	1.02%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.49%	0.00%	0.00%					
