Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Обнинская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
11	Число полученных открепительных  удостоверений	1433	17	10	33	30	43	42	20	30	40	0	36	38	43	36	43	43	30	43	48	48	48	48	48	36	48	48	48	48	48	43	36	6	43	43	43	43	40	43					
12	Число выданных открепительных удостоверений	334	4	3	4	4	6	19	3	6	5	0	13	10	12	6	15	6	6	7	14	12	7	12	7	15	11	15	13	13	8	2	8	2	6	12	8	17	14	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	464	7	3	13	12	29	22	15	28	24	6	36	11	25	12	8	9	5	3	8	5	8	13	6	8	11	8	5	8	11	4	4	11	17	6	30	8	10	15					
14	Число неиспользованных открепительных удостоверений	1099	13	7	29	26	37	23	17	24	35	0	23	28	31	30	28	37	24	36	34	36	41	36	41	21	37	33	35	35	40	41	28	4	37	31	35	26	26	34					
15	"Число открепительных удостоверений, выданных в ТИК"	37	0	0	0	0	1	1	1	2	1	0	0	0	0	1	0	2	0	1	3	3	2	2	0	3	1	1	1	2	2	0	1	0	0	1	0	1	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	3329	50	22	82	73	128	112	24	68	94	16	84	72	125	83	114	131	55	101	119	87	106	74	94	99	114	93	142	154	84	92	75	5	99	99	63	87	86	123					
		7.11%	8.79%	6.81%	7.64%	7.43%	7.39%	7.05%	5.47%	6.44%	7.13%	6.81%	6.75%	6.01%	8.46%	7.63%	7.24%	8.51%	5.82%	7.33%	8.01%	6.11%	7.21%	6.89%	6.28%	7.79%	7.44%	6.09%	8.95%	10.03%	5.45%	6.38%	6.33%	2.24%	7.02%	7.42%	5.37%	6.10%	7.00%	7.20%					
