Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Провиденская														
														
Итоги голосования 														
														
		Сумма	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49					
1	"Число избирателей, внесенных в список"	3074	1396	567	235	198	296	191	191					
2	Число полученных избирательных бюллетеней	3050	1358	552	240	200	308	190	202					
3	"Число избирательных бюллетеней, выданных  досрочно"	32	1	19	0	4	0	0	8					
4	"Число избирательных бюллетеней, выданных в день голосования"	2650	1076	513	226	179	290	184	182					
5	"Число избирательных бюллетеней, выданных вне помещения"	90	61	0	8	12	3	6	0					
6	Число погашенных избирательных бюллетеней	278	220	20	6	5	15	0	12					
7	Число избирательных бюллетеней в переносных ящиках	122	62	19	8	16	3	6	8					
8	Число бюллетеней в стационарных ящиках для голосования	2633	1059	513	226	179	290	184	182					
9	Число недействительных избирательных бюллетеней	10	5	0	0	2	0	1	2					
10	Число действительных избирательных бюллетеней	2745	1116	532	234	193	293	189	188					
11	Число полученных открепительных  удостоверений	159	19	50	10	20	20	20	20					
12	Число выданных открепительных удостоверений	121	17	47	7	13	12	8	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	34	14	1	5	1	7	1					
14	Число неиспользованных открепительных удостоверений	38	2	3	3	7	8	12	3					
15	"Число открепительных удостоверений, выданных в ТИК"	21	5	15	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	40	20	7	0	6	2	0	5					
		1.45%	1.78%	1.32%	0.00%	3.08%	0.68%	0.00%	2.63%					
19	. Малышкин Олег Александрович	24	7	12	1	1	1	1	1					
		0.87%	0.62%	2.26%	0.43%	0.51%	0.34%	0.53%	0.53%					
20	. Миронов Сергей Михайлович	13	8	0	1	1	0	2	1					
		0.47%	0.71%	0.00%	0.43%	0.51%	0.00%	1.05%	0.53%					
21	. Путин Владимир Владимирович	2552	1020	501	225	173	282	182	169					
		92.63%	90.99%	94.17%	96.15%	88.72%	96.25%	95.79%	88.95%					
22	. Хакамада Ирина Муцуовна	62	32	4	6	6	3	1	10					
		2.25%	2.85%	0.75%	2.56%	3.08%	1.02%	0.53%	5.26%					
23	. Харитонов Николай Михайлович	37	23	2	1	4	4	2	1					
		1.34%	2.05%	0.38%	0.43%	2.05%	1.37%	1.05%	0.53%					
														
24	Против всех	17	6	6	0	2	1	1	1					
		0.62%	0.54%	1.13%	0.00%	1.03%	0.34%	0.53%	0.53%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
