Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Рассказовская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836					
1	"Число избирателей, внесенных в список"	35099	1337	2098	598	2294	1703	2081	1804	1599	1455	2102	2283	2540	2033	684	1836	1825	1372	1795	1571	1954	135					
2	Число полученных избирательных бюллетеней	34684	1323	2052	583	2259	1678	2027	1787	1560	1455	2080	2320	2519	1994	672	1845	1821	1325	1748	1537	1949	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18234	632	1036	349	1249	772	1137	1025	779	732	1021	1243	1404	964	362	962	912	657	923	942	1067	66					
5	"Число избирательных бюллетеней, выданных вне помещения"	2598	142	199	20	130	158	126	67	164	93	180	164	107	145	75	100	106	209	146	127	85	55					
6	Число погашенных избирательных бюллетеней	13852	549	817	214	880	748	764	695	617	630	879	913	1008	885	235	783	803	459	679	468	797	29					
7	Число избирательных бюллетеней в переносных ящиках	2598	142	199	20	130	158	126	67	164	93	180	164	107	145	75	100	106	209	146	127	85	55					
8	Число бюллетеней в стационарных ящиках для голосования	18230	632	1036	349	1248	772	1137	1025	779	732	1020	1243	1404	962	362	962	912	657	923	942	1067	66					
9	Число недействительных избирательных бюллетеней	175	17	9	5	9	4	8	10	7	3	8	9	12	5	5	12	13	6	8	11	10	4					
10	Число действительных избирательных бюллетеней	20653	757	1226	364	1369	926	1255	1082	936	822	1192	1398	1499	1102	432	1050	1005	860	1061	1058	1142	117					
11	Число полученных открепительных  удостоверений	280	10	10	10	20	10	20	20	10	20	10	30	30	10	10	10	10	10	10	10	10	0					
12	Число выданных открепительных удостоверений	189	6	9	3	10	8	12	15	5	15	6	21	18	7	6	6	10	5	8	10	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	138	2	6	4	7	10	10	9	6	4	12	10	1	5	5	11	3	8	5	3	10	7					
14	Число неиспользованных открепительных удостоверений	91	4	1	7	10	2	8	5	5	5	4	9	12	3	4	4	0	5	2	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	675	16	36	9	46	33	59	50	31	39	33	55	37	26	11	33	37	29	26	37	27	5					
		3.24%	2.07%	2.91%	2.44%	3.34%	3.55%	4.67%	4.58%	3.29%	4.73%	2.75%	3.91%	2.45%	2.35%	2.52%	3.11%	3.63%	3.35%	2.43%	3.46%	2.34%	4.13%					
19	. Малышкин Олег Александрович	478	20	36	13	38	12	27	10	19	28	32	30	32	27	6	21	29	17	23	26	27	5					
		2.29%	2.58%	2.91%	3.52%	2.76%	1.29%	2.14%	0.92%	2.01%	3.39%	2.67%	2.13%	2.12%	2.44%	1.37%	1.98%	2.85%	1.96%	2.15%	2.43%	2.34%	4.13%					
20	. Миронов Сергей Михайлович	138	4	7	1	7	8	9	10	11	10	6	8	9	3	5	7	5	4	10	6	6	2					
		0.66%	0.52%	0.57%	0.27%	0.51%	0.86%	0.71%	0.92%	1.17%	1.21%	0.50%	0.57%	0.60%	0.27%	1.14%	0.66%	0.49%	0.46%	0.94%	0.56%	0.52%	1.65%					
21	. Путин Владимир Владимирович	12630	488	725	210	862	564	769	648	595	490	718	924	844	676	304	631	668	510	704	615	606	79					
		60.64%	63.05%	58.70%	56.91%	62.55%	60.65%	60.89%	59.34%	63.10%	59.39%	59.83%	65.67%	55.86%	61.07%	69.57%	59.42%	65.62%	58.89%	65.86%	57.53%	52.60%	65.29%					
22	. Хакамада Ирина Муцуовна	429	12	30	3	16	17	29	42	28	11	28	28	33	35	5	21	18	20	20	19	13	1					
		2.06%	1.55%	2.43%	0.81%	1.16%	1.83%	2.30%	3.85%	2.97%	1.33%	2.33%	1.99%	2.18%	3.16%	1.14%	1.98%	1.77%	2.31%	1.87%	1.78%	1.13%	0.83%					
23	. Харитонов Николай Михайлович	5430	198	349	102	341	262	303	264	207	207	335	285	462	289	85	303	220	253	251	295	400	19					
		26.07%	25.58%	28.26%	27.64%	24.75%	28.17%	23.99%	24.18%	21.95%	25.09%	27.92%	20.26%	30.58%	26.11%	19.45%	28.53%	21.61%	29.21%	23.48%	27.60%	34.72%	15.70%					
																												
24	Против всех	873	19	43	26	59	30	59	58	45	37	40	68	82	46	16	34	28	27	27	60	63	6					
		4.19%	2.45%	3.48%	7.05%	4.28%	3.23%	4.67%	5.31%	4.77%	4.48%	3.33%	4.83%	5.43%	4.16%	3.66%	3.20%	2.75%	3.12%	2.53%	5.61%	5.47%	4.96%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
