Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Карабудахкентская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576					
1	"Число избирателей, внесенных в список"	37663	881	774	1665	1668	1487	1662	632	314	610	1367	1401	1601	1426	1434	1234	2270	815	1002	934	619	1648	1510	2085	1031	2925	544	1184	1158	1782					
2	Число полученных избирательных бюллетеней	37743	880	775	1690	1670	1490	1670	635	318	610	1370	1405	1605	1430	1420	1235	2260	815	985	925	620	1650	1515	2090	1035	2935	570	1190	1160	1790					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34522	860	706	1515	1517	1354	1513	575	295	556	1245	1275	1445	1295	1314	1180	2070	758	931	896	557	1495	1335	1906	942	2680	520	1070	1077	1640					
5	"Число избирательных бюллетеней, выданных вне помещения"	186	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	100					
6	Число погашенных избирательных бюллетеней	3035	20	69	175	153	136	157	60	12	54	125	130	160	135	106	55	190	57	54	29	63	155	180	184	93	255	50	45	83	50					
7	Число избирательных бюллетеней в переносных ящиках	186	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	100					
8	Число бюллетеней в стационарных ящиках для голосования	34522	860	706	1515	1517	1354	1513	575	295	556	1245	1275	1445	1295	1314	1180	2070	758	931	896	557	1495	1335	1906	942	2680	520	1070	1077	1640					
9	Число недействительных избирательных бюллетеней	113	0	0	8	5	1	2	8	1	0	5	8	3	3	11	3	4	12	5	0	1	7	0	7	2	7	0	5	5	0					
10	Число действительных избирательных бюллетеней	34595	860	706	1507	1512	1353	1511	567	305	556	1240	1267	1442	1292	1303	1177	2066	746	926	896	556	1488	1335	1899	940	2673	520	1140	1072	1740					
11	Число полученных открепительных  удостоверений	300	8	6	12	12	12	14	6	4	6	10	10	12	12	12	10	18	6	8	8	6	12	12	16	8	22	4	10	10	14					
12	Число выданных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
