Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Пономаревская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  1386	УИК  1387	УИК  1388	УИК  1389	УИК  1390	УИК  1391	УИК  1392	УИК  1393	УИК  1394	УИК  1395	УИК  1396	УИК  1397	УИК  1398	УИК  1399	УИК  1400	УИК  1401	УИК  1402	УИК  1403	УИК  1404	УИК  1405	УИК  1406	УИК  1407	УИК  1408	УИК  1409	УИК  1410	УИК  1411	УИК  1412	УИК  1413	УИК  1414					
1	"Число избирателей, внесенных в список"	13205	543	296	130	542	69	681	1059	292	112	349	119	536	216	540	308	308	83	190	457	380	269	751	172	1205	760	859	1365	124	490					
2	Число полученных избирательных бюллетеней	12979	547	293	135	532	71	666	1067	303	115	364	123	539	219	551	296	310	83	191	462	384	267	724	174	1130	730	760	1346	126	471					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10648	524	258	121	446	68	581	993	251	99	319	103	390	179	513	283	247	80	134	379	285	226	577	126	899	574	544	939	123	387					
5	"Число избирательных бюллетеней, выданных вне помещения"	967	13	17	8	45	0	59	0	34	8	8	11	110	24	3	0	60	0	47	36	72	37	58	23	66	33	70	56	0	69					
6	Число погашенных избирательных бюллетеней	1364	10	18	6	41	3	26	74	18	8	37	9	39	16	35	13	3	3	10	47	27	4	89	25	165	123	146	351	3	15					
7	Число избирательных бюллетеней в переносных ящиках	967	13	17	8	45	0	59	0	34	8	8	11	110	24	3	0	60	0	47	36	72	37	58	23	66	33	70	56	0	69					
8	Число бюллетеней в стационарных ящиках для голосования	10648	524	258	121	446	68	581	993	251	99	319	103	390	179	513	283	247	80	134	379	285	226	577	126	899	574	544	939	123	387					
9	Число недействительных избирательных бюллетеней	104	5	5	1	9	0	4	11	3	0	2	0	6	0	10	1	1	0	2	1	5	2	3	2	9	2	4	12	0	4					
10	Число действительных избирательных бюллетеней	11511	532	270	128	482	68	636	982	282	107	325	114	494	203	506	282	306	80	179	414	352	261	632	147	956	605	610	983	123	452					
11	Число полученных открепительных  удостоверений	330	10	10	10	10	5	21	20	5	5	9	5	10	5	10	10	15	5	10	10	8	8	17	5	15	22	22	26	5	17					
