Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Чернышевская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831					
22	. Хакамада Ирина Муцуовна	256	7	11	2	15	15	22	23	2	4	9	12	17	22	1	6	10	8	3	3	1	4	3	8	3	0	7	3	0	0	1	0	7	13	5	2	3	0	4					
		1.68%	1.28%	2.34%	0.48%	1.69%	2.29%	2.55%	2.03%	1.56%	2.15%	1.97%	2.95%	4.63%	1.75%	0.39%	1.42%	2.70%	1.51%	1.41%	1.60%	0.65%	1.01%	1.42%	1.26%	1.16%	0.00%	1.38%	0.82%	0.00%	0.00%	0.42%	0.00%	1.49%	2.00%	1.12%	2.08%	1.45%	0.00%	1.63%					
23	. Харитонов Николай Михайлович	2700	77	96	57	122	117	168	250	34	62	152	140	177	132	27	67	76	99	30	37	34	140	53	114	28	10	33	47	11	6	31	11	53	85	54	18	24	11	17					
		17.68%	14.13%	20.43%	13.67%	13.79%	17.84%	19.44%	22.03%	26.56%	33.33%	33.26%	34.40%	48.23%	10.53%	10.63%	15.80%	20.54%	18.71%	14.08%	19.79%	22.22%	35.35%	25.12%	18.01%	10.81%	12.99%	6.51%	12.77%	7.28%	7.89%	12.97%	6.47%	11.28%	13.08%	12.13%	18.75%	11.59%	6.63%	6.91%					
																																													
24	Против всех	207	9	3	5	16	11	15	31	1	2	2	6	2	27	1	2	0	12	5	3	3	5	0	7	0	0	2	1	1	0	3	0	6	8	6	2	3	5	2					
		1.36%	1.65%	0.64%	1.20%	1.81%	1.68%	1.74%	2.73%	0.78%	1.08%	0.44%	1.47%	0.54%	2.15%	0.39%	0.47%	0.00%	2.27%	2.35%	1.60%	1.96%	1.26%	0.00%	1.11%	0.00%	0.00%	0.39%	0.27%	0.66%	0.00%	1.26%	0.00%	1.28%	1.23%	1.35%	2.08%	1.45%	3.01%	0.81%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
