Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Быстринская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №154	УИК №155					
1	"Число избирателей, внесенных в список избирателей"	2013	1667	346					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1990	1550	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	199	199	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1119	843	276					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	75	70	5					
6	Число погашенных избирательных бюллетеней	597	438	159					
7	Число избирательных бюллетеней в переносных ящиках для голосования	274	269	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1116	840	276					
9	Число недействительных избирательных бюллетеней	26	20	6					
10	Число действительных избирательных бюллетеней	1364	1089	275					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	26	16	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	19	13	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	26	2					
14	Число погашенных неиспользованных открепительных удостоверений	7	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	3	1					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	195	168	27					
		14.03%	15.15%	9.61%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	233	199	34					
		16.76%	17.94%	12.10%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	25	1					
		1.87%	2.25%	0.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	152	141	11					
		10.94%	12.71%	3.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	34	5					
		2.81%	3.07%	1.78%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	712	517	195					
		51.22%	46.62%	69.40%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	5	2					
		0.50%	0.45%	0.71%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
