Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Алексеевская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714					
1	"Число избирателей, включенных в списки избирателей"	19741	1398	1144	1099	1031	937	1112	1010	54	646	1007	346	367	297	97	444	125	545	168	62	173	201	274	94	109	152	386	277	348	154	38	453	70	313	133	209	371	342	140	280	152	190	379	351	281	548	196	499	169	177	393					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19453	1350	1070	1070	1000	930	1050	1000	54	640	1000	340	360	295	97	450	124	540	168	60	179	205	278	94	111	152	386	273	342	154	38	455	72	313	135	209	373	343	139	280	152	188	375	351	280	550	198	495	168	177	390					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	19108	1321	1055	1065	978	911	1037	978	54	637	969	340	345	295	97	440	109	536	168	60	171	199	274	94	107	152	380	258	342	154	38	432	66	307	133	208	371	341	139	279	150	181	364	348	272	536	191	493	167	176	390					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	200	24	15	5	11	6	13	10	0	2	30	0	15	0	0	1	13	0	0	0	0	0	0	0	0	0	6	15	0	0	0	4	4	3	0	0	0	0	0	0	0	4	3	0	0	11	5	0	0	0	0					
6	Число погашенных избирательных бюллетеней	145	5	0	0	11	13	0	12	0	1	1	0	0	0	0	9	2	4	0	0	8	6	4	0	4	0	0	0	0	0	0	19	2	3	2	1	2	2	0	1	2	3	8	3	8	3	2	2	1	1	0					
