Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Алексеевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712					
1	"Число избирателей, внесенных в список"	19140	1116	992	1197	980	938	896	1063	64	597	957	327	340	306	96	441	122	498	163	64	192	208	266	156	92	111	373	290	385	148	47	422	85	317	369	217	144	333	144	328	150	363	175	369	273	543	213	522	184	391	173					
2	Число полученных избирательных бюллетеней	19258	1071	1017	1219	984	961	920	1073	67	605	961	326	335	304	98	454	124	499	165	64	193	208	268	156	93	116	372	292	385	148	49	423	85	315	371	218	144	343	150	328	152	357	174	367	273	544	214	520	187	394	172					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18488	1054	870	1140	907	903	849	1015	64	592	924	322	335	304	96	432	122	496	161	64	191	205	266	155	92	111	368	285	355	148	47	415	82	306	366	215	144	327	144	322	148	356	164	362	273	535	210	514	182	387	163					
5	"Число избирательных бюллетеней, выданных вне помещения"	166	15	20	13	14	22	13	26	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	2	0	3	0	0	6	0	0	0	0	7	0	0	2	1	0	0	0	3					
6	Число погашенных избирательных бюллетеней	604	2	127	66	63	36	58	32	3	13	34	4	0	0	2	13	2	3	4	0	2	3	2	1	1	5	1	7	30	0	2	4	1	9	2	3	0	10	6	6	4	1	3	5	0	7	3	6	5	7	6					
7	Число избирательных бюллетеней в переносных ящиках	166	15	20	13	14	22	13	26	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	2	0	3	0	0	6	0	0	0	0	7	0	0	2	1	0	0	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	18488	1054	870	1140	907	903	849	1015	64	592	924	322	335	304	96	432	122	496	161	64	191	205	266	155	92	111	368	285	355	148	47	415	82	306	366	215	144	327	144	322	148	356	164	362	273	535	210	514	182	387	163					
9	Число недействительных избирательных бюллетеней	67	2	11	8	12	0	5	0	0	0	10	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	3	0	4	0	0	0					
10	Число действительных избирательных бюллетеней	18587	1067	879	1145	909	925	857	1041	64	592	917	322	331	303	95	440	122	496	161	64	191	205	266	155	92	111	371	285	354	148	47	419	84	306	369	215	144	333	143	320	147	356	171	362	273	534	211	510	182	387	166					
11	Число полученных открепительных  удостоверений	500	30	30	30	26	26	26	26	5	10	10	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7					
12	Число выданных открепительных удостоверений	94	8	11	13	2	3	9	6	0	5	8	2	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	2	0	6	1	0	0	1	0	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	5	2	9	6	2	5	1	1	0	1	2	5	4	0	2	1	1	0	2	1	2	0	2	1	0	3	0	2	2	0	0	2	4	3	1	2	0	1	0	0	0	1	4	0	1	1	4	0	0	3					
14	Число неиспользованных открепительных удостоверений	406	22	19	17	24	23	17	20	5	5	2	6	7	7	7	0	7	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	6	7	7	6	6	5	7	1	6	7	7	6	7	5	7	6	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	152	7	28	0	12	2	8	0	2	0	12	9	4	1	2	7	2	3	0	1	1	0	3	1	0	0	2	1	7	4	3	0	4	2	1	0	0	3	0	3	1	0	0	2	2	8	0	3	0	0	1					
		0.81%	0.65%	3.15%	0.00%	1.30%	0.22%	0.93%	0.00%	3.12%	0.00%	1.29%	2.80%	1.19%	0.33%	2.08%	1.59%	1.64%	0.60%	0.00%	1.56%	0.52%	0.00%	1.13%	0.65%	0.00%	0.00%	0.54%	0.35%	1.97%	2.70%	6.38%	0.00%	4.76%	0.65%	0.27%	0.00%	0.00%	0.90%	0.00%	0.93%	0.68%	0.00%	0.00%	0.55%	0.73%	1.49%	0.00%	0.58%	0.00%	0.00%	0.60%					
19	. Малышкин Олег Александрович	87	0	12	11	0	1	8	1	0	0	6	0	2	3	0	3	0	0	0	0	0	0	1	2	0	0	0	0	1	10	1	0	0	1	0	0	0	2	0	0	1	0	1	0	0	3	0	3	4	2	8					
		0.47%	0.00%	1.35%	0.95%	0.00%	0.11%	0.93%	0.10%	0.00%	0.00%	0.65%	0.00%	0.60%	0.99%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	1.29%	0.00%	0.00%	0.00%	0.00%	0.28%	6.76%	2.13%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.68%	0.00%	0.58%	0.00%	0.00%	0.56%	0.00%	0.58%	2.20%	0.52%	4.82%					
20	. Миронов Сергей Михайлович	105	1	13	8	0	0	1	0	0	0	7	4	5	1	3	38	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	0	13	0	0	0	1	0					
		0.56%	0.09%	1.46%	0.69%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.76%	1.24%	1.49%	0.33%	3.12%	8.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.30%	0.00%	0.62%	0.00%	0.00%	1.17%	0.00%	0.00%	2.42%	0.00%	0.00%	0.00%	0.26%	0.00%					
21	. Путин Владимир Владимирович	17596	1022	745	1087	853	915	820	1032	59	566	850	300	314	287	76	337	120	486	157	62	186	205	252	147	90	108	369	279	271	127	39	419	71	297	367	212	141	321	135	315	144	353	168	355	269	480	206	484	173	382	143					
		94.33%	95.60%	83.71%	94.28%	92.62%	98.92%	95.13%	99.14%	92.19%	95.61%	91.69%	93.17%	93.73%	94.41%	79.17%	76.42%	98.36%	97.98%	97.52%	96.88%	97.38%	100.00%	94.74%	94.84%	97.83%	97.30%	99.46%	97.89%	76.34%	85.81%	82.98%	100.00%	84.52%	97.06%	99.46%	98.60%	97.92%	96.40%	93.75%	97.83%	97.30%	99.16%	98.25%	98.07%	98.53%	89.39%	97.63%	94.16%	95.05%	98.71%	86.14%					
22	. Хакамада Ирина Муцуовна	127	5	13	17	11	1	3	7	0	7	14	4	0	0	2	10	0	0	0	0	1	0	1	1	0	0	0	0	9	0	0	0	1	2	0	0	0	2	1	0	0	0	0	1	0	10	0	2	0	0	2					
		0.68%	0.47%	1.46%	1.47%	1.19%	0.11%	0.35%	0.67%	0.00%	1.18%	1.51%	1.24%	0.00%	0.00%	2.08%	2.27%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.38%	0.65%	0.00%	0.00%	0.00%	0.00%	2.54%	0.00%	0.00%	0.00%	1.19%	0.65%	0.00%	0.00%	0.00%	0.60%	0.69%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	1.86%	0.00%	0.39%	0.00%	0.00%	1.20%					
23	. Харитонов Николай Михайлович	387	22	48	3	22	1	13	1	3	19	16	0	6	10	8	41	0	7	4	1	2	0	8	3	2	0	0	5	58	3	4	0	8	3	1	3	1	4	7	0	1	3	0	4	0	8	4	11	5	2	12					
		2.07%	2.06%	5.39%	0.26%	2.39%	0.11%	1.51%	0.10%	4.69%	3.21%	1.73%	0.00%	1.79%	3.29%	8.33%	9.30%	0.00%	1.41%	2.48%	1.56%	1.05%	0.00%	3.01%	1.94%	2.17%	0.00%	0.00%	1.75%	16.34%	2.03%	8.51%	0.00%	9.52%	0.98%	0.27%	1.40%	0.69%	1.20%	4.86%	0.00%	0.68%	0.84%	0.00%	1.10%	0.00%	1.49%	1.90%	2.14%	2.75%	0.52%	7.23%					
																																																									
24	Против всех	133	10	20	19	11	5	4	0	0	0	12	5	0	1	4	4	0	0	0	0	1	0	0	1	0	3	0	0	5	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	12	1	7	0	0	0					
		0.71%	0.94%	2.25%	1.65%	1.19%	0.54%	0.46%	0.00%	0.00%	0.00%	1.29%	1.55%	0.00%	0.33%	4.17%	0.91%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.65%	0.00%	2.70%	0.00%	0.00%	1.41%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	2.23%	0.47%	1.36%	0.00%	0.00%	0.00%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
