Выборы Президента Российской Федерации																																																													
Дата голосования: 18.03.2018																																																													
																																																													
Наименование Избирательной комиссии:    Алексеевская																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																											
																																																													
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714									
1	"Число избирателей, включенных в список избирателей"	19625	1373	1274	1104	1121	1236	1029	1257	64	595	1001	300	325	262	96	431	117	550	175	57	167	171	233	89	94	111	357	232	343	166	37	631	66	307	108	190	355	297	133	216	146	161	298	344	227	514	161	458	152	140	354									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19903	1396	1300	1126	1149	1262	1042	1274	67	598	1014	305	328	263	97	428	117	557	177	61	169	173	236	90	97	114	360	234	346	168	39	636	65	310	110	192	359	300	134	223	148	166	303	343	227	519	164	462	156	143	356									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17842	1321	1223	1057	1098	1123	971	1209	54	505	906	247	260	221	87	316	69	525	153	50	150	163	207	77	73	72	221	211	286	153	36	586	57	293	107	182	343	262	92	195	121	124	252	328	213	446	147	430	138	135	347									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	837	24	25	25	0	87	17	21	3	30	49	23	55	31	7	33	15	11	14	5	13	6	17	0	16	24	39	17	25	0	0	12	6	0	0	0	0	18	6	21	23	12	21	0	10	58	10	2	6	0	0									
6	Число погашенных избирательных бюллетеней	1224	51	52	44	51	52	54	44	10	63	59	35	13	11	3	79	33	21	10	6	6	4	12	13	8	18	100	6	35	15	3	38	2	17	3	10	16	20	36	7	4	30	30	15	4	15	7	30	12	8	9									
