Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Константиновская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363					
1	"Число избирателей, внесенных в список"	10651	1031	2181	1274	282	390	196	421	327	693	664	362	364	1082	604	219	307	254					
2	Число полученных избирательных бюллетеней	11000	1051	2235	1315	282	409	205	409	360	720	680	379	383	1115	645	232	316	264					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7312	582	1359	790	257	390	158	263	222	512	467	291	272	720	447	172	229	181					
5	"Число избирательных бюллетеней, выданных вне помещения"	298	23	74	32	7	0	4	77	6	14	8	3	7	15	10	0	11	7					
6	Число погашенных избирательных бюллетеней	3390	446	802	493	18	19	43	69	132	194	205	85	104	380	188	60	76	76					
7	Число избирательных бюллетеней в переносных ящиках	298	23	74	32	7	0	4	77	6	14	8	3	7	15	10	0	11	7					
8	Число бюллетеней в стационарных ящиках для голосования	7312	582	1359	790	257	390	158	263	222	512	467	291	272	720	447	172	229	181					
9	Число недействительных избирательных бюллетеней	110	4	12	10	3	8	0	7	2	6	9	8	6	11	14	2	2	6					
10	Число действительных избирательных бюллетеней	7500	601	1421	812	261	382	162	333	226	520	466	286	273	724	443	170	238	182					
11	Число полученных открепительных  удостоверений	199	15	24	15	10	15	8	7	5	9	15	10	15	13	13	15	5	5					
12	Число выданных открепительных удостоверений	45	7	14	9	3	2	1	3	2	0	1	0	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	4	16	1	2	0	0	1	1	4	8	3	3	1	2	0	2	2					
14	Число неиспользованных открепительных удостоверений	154	8	10	6	7	13	7	4	3	9	14	10	15	10	13	15	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	305	34	63	33	2	1	2	8	7	21	52	10	9	25	16	7	6	9					
		4.01%	5.62%	4.40%	4.01%	0.76%	0.26%	1.23%	2.35%	3.07%	3.99%	10.95%	3.40%	3.23%	3.40%	3.50%	4.07%	2.50%	4.79%					
19	. Малышкин Олег Александрович	277	16	28	20	5	8	10	17	27	28	24	10	12	17	21	17	10	7					
		3.64%	2.64%	1.95%	2.43%	1.89%	2.05%	6.17%	5.00%	11.84%	5.32%	5.05%	3.40%	4.30%	2.31%	4.60%	9.88%	4.17%	3.72%					
20	. Миронов Сергей Михайлович	48	5	11	5	0	2	1	3	1	1	3	1	0	8	5	0	0	2					
		0.63%	0.83%	0.77%	0.61%	0.00%	0.51%	0.62%	0.88%	0.44%	0.19%	0.63%	0.34%	0.00%	1.09%	1.09%	0.00%	0.00%	1.06%					
21	. Путин Владимир Владимирович	5126	404	983	534	204	253	127	227	112	341	307	211	201	574	237	117	158	136					
		67.36%	66.78%	68.60%	64.96%	77.27%	64.87%	78.40%	66.76%	49.12%	64.83%	64.63%	71.77%	72.04%	78.10%	51.86%	68.02%	65.83%	72.34%					
22	. Хакамада Ирина Муцуовна	163	14	39	15	1	14	0	11	4	12	7	4	1	16	15	1	8	1					
		2.14%	2.31%	2.72%	1.82%	0.38%	3.59%	0.00%	3.24%	1.75%	2.28%	1.47%	1.36%	0.36%	2.18%	3.28%	0.58%	3.33%	0.53%					
23	. Харитонов Николай Михайлович	1464	120	272	186	47	101	18	59	70	110	65	45	49	78	141	25	55	23					
		19.24%	19.83%	18.98%	22.63%	17.80%	25.90%	11.11%	17.35%	30.70%	20.91%	13.68%	15.31%	17.56%	10.61%	30.85%	14.53%	22.92%	12.23%					
																								
24	Против всех	117	8	25	19	2	3	4	8	5	7	8	5	1	6	8	3	1	4					
		1.54%	1.32%	1.74%	2.31%	0.76%	0.77%	2.47%	2.35%	2.19%	1.33%	1.68%	1.70%	0.36%	0.82%	1.75%	1.74%	0.42%	2.13%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
