Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Киквидзенская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962					
1	"Число избирателей, внесенных в список"	13423	1897	1671	193	338	146	777	175	135	455	129	647	155	986	870	464	436	2056	688	596	250	359					
2	Число полученных избирательных бюллетеней	12694	1718	1570	196	315	144	742	168	123	420	120	621	162	929	819	440	404	1970	658	593	247	335					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8117	1036	964	120	208	97	564	134	98	257	86	364	113	532	454	299	284	1169	447	418	206	267					
5	"Число избирательных бюллетеней, выданных вне помещения"	1374	157	74	40	19	17	43	9	18	96	18	92	9	128	183	46	34	191	76	75	21	28					
6	Число погашенных избирательных бюллетеней	3203	525	532	36	88	30	135	25	7	67	16	165	40	269	182	95	86	610	135	100	20	40					
7	Число избирательных бюллетеней в переносных ящиках	1374	157	74	40	19	17	43	9	18	96	18	92	9	128	183	46	34	191	76	75	21	28					
8	Число бюллетеней в стационарных ящиках для голосования	8117	1036	964	120	208	97	564	134	98	257	86	364	113	532	454	299	284	1169	447	418	206	267					
9	Число недействительных избирательных бюллетеней	84	6	2	0	3	1	6	1	1	1	0	7	0	11	6	7	5	11	4	6	3	3					
10	Число действительных избирательных бюллетеней	9407	1187	1036	160	224	113	601	142	115	352	104	449	122	649	631	338	313	1349	519	487	224	292					
11	Число полученных открепительных  удостоверений	287	35	35	7	7	5	15	7	5	10	5	10	7	15	15	10	10	40	22	10	7	10					
12	Число выданных открепительных удостоверений	109	18	10	0	1	0	9	0	4	5	0	10	0	9	5	1	2	7	16	10	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	5	3	5	2	0	0	2	1	3	0	7	2	1	4	0	0	2	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	178	17	25	7	6	5	6	7	1	5	5	0	7	6	10	9	8	33	6	0	7	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	227	35	39	1	2	0	19	0	0	9	1	9	1	20	12	11	10	28	18	2	6	4					
		2.39%	2.93%	3.76%	0.62%	0.88%	0.00%	3.13%	0.00%	0.00%	2.55%	0.96%	1.97%	0.82%	3.03%	1.88%	3.19%	3.14%	2.06%	3.44%	0.41%	2.64%	1.36%					
19	. Малышкин Олег Александрович	298	36	28	8	10	6	6	5	7	4	3	16	4	37	27	3	8	42	12	14	9	13					
		3.14%	3.02%	2.70%	5.00%	4.41%	5.26%	0.99%	3.50%	6.03%	1.13%	2.88%	3.51%	3.28%	5.61%	4.24%	0.87%	2.52%	3.09%	2.29%	2.84%	3.96%	4.41%					
20	. Миронов Сергей Михайлович	49	5	6	0	2	0	2	0	0	0	0	7	1	5	2	4	0	8	4	3	0	0					
		0.52%	0.42%	0.58%	0.00%	0.88%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	1.54%	0.82%	0.76%	0.31%	1.16%	0.00%	0.59%	0.76%	0.61%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5619	692	628	97	152	75	480	109	84	217	73	253	92	375	314	241	152	807	217	244	140	177					
		59.20%	58.01%	60.50%	60.62%	66.96%	65.79%	79.08%	76.22%	72.41%	61.47%	70.19%	55.48%	75.41%	56.82%	49.29%	69.86%	47.80%	59.34%	41.49%	49.49%	61.67%	60.00%					
22	. Хакамада Ирина Муцуовна	157	21	20	3	6	2	6	1	1	4	0	29	3	8	9	4	5	19	5	6	2	3					
		1.65%	1.76%	1.93%	1.88%	2.64%	1.75%	0.99%	0.70%	0.86%	1.13%	0.00%	6.36%	2.46%	1.21%	1.41%	1.16%	1.57%	1.40%	0.96%	1.22%	0.88%	1.02%					
23	. Харитонов Николай Михайлович	2903	358	297	49	48	30	84	27	21	111	24	126	19	196	258	74	137	420	257	212	63	92					
		30.59%	30.01%	28.61%	30.62%	21.15%	26.32%	13.84%	18.88%	18.10%	31.44%	23.08%	27.63%	15.57%	29.70%	40.50%	21.45%	43.08%	30.88%	49.14%	43.00%	27.75%	31.19%					
																												
24	Против всех	154	40	18	2	4	0	4	0	2	7	3	9	2	8	9	1	1	25	6	6	4	3					
		1.62%	3.35%	1.73%	1.25%	1.76%	0.00%	0.66%	0.00%	1.72%	1.98%	2.88%	1.97%	1.64%	1.21%	1.41%	0.29%	0.31%	1.84%	1.15%	1.22%	1.76%	1.02%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
