Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Багратионовская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25					
1	"Число избирателей, внесенных в список"	31479	1134	1084	512	556	1224	404	377	445	2228	634	2455	2330	655	700	1129	432	546	2243	2186	640	832	2806	1970	2144	1813					
2	Число полученных избирательных бюллетеней	30818	1157	1089	567	530	1270	420	460	426	2200	634	2300	2220	699	700	1198	430	550	2100	1998	569	1000	2701	1900	2000	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18261	589	614	296	302	669	267	233	252	1345	377	1656	1495	391	454	635	263	327	1110	1234	351	508	1687	1104	1164	938					
5	"Число избирательных бюллетеней, выданных вне помещения"	1080	102	5	35	9	50	18	25	18	90	14	30	58	59	41	66	19	14	45	11	0	82	158	43	24	64					
6	Число погашенных избирательных бюллетеней	11477	466	470	236	219	551	135	202	156	765	243	614	667	249	205	497	148	209	945	753	218	410	856	753	812	698					
7	Число избирательных бюллетеней в переносных ящиках	1080	102	5	35	9	50	18	25	18	90	14	30	58	59	41	66	19	14	45	11	0	82	158	43	24	64					
8	Число бюллетеней в стационарных ящиках для голосования	18222	589	614	296	302	640	267	233	252	1345	377	1652	1495	391	453	635	263	327	1110	1234	351	508	1686	1101	1163	938					
9	Число недействительных избирательных бюллетеней	342	19	15	6	11	36	17	4	8	24	4	20	16	6	4	13	6	3	12	13	3	15	24	24	26	13					
10	Число действительных избирательных бюллетеней	18960	672	604	325	300	654	268	254	262	1411	387	1662	1537	444	490	688	276	338	1143	1232	348	575	1820	1120	1161	989					
11	Число полученных открепительных  удостоверений	344	12	11	6	6	13	5	5	6	23	11	19	23	7	7	13	5	6	20	20	10	10	29	39	20	18					
12	Число выданных открепительных удостоверений	199	3	5	3	0	12	1	2	0	7	8	19	9	3	5	8	3	4	8	17	10	8	25	21	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	219	2	8	3	4	6	4	4	3	10	5	24	18	0	3	3	2	5	5	37	26	7	18	9	7	6					
14	Число неиспользованных открепительных удостоверений	145	9	6	3	6	1	4	3	6	16	3	0	14	4	2	5	2	2	12	3	0	2	4	18	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	555	19	22	12	11	14	5	4	5	35	10	54	59	9	3	10	3	4	31	49	9	10	78	39	29	31					
		2.88%	2.75%	3.55%	3.63%	3.54%	2.03%	1.75%	1.55%	1.85%	2.44%	2.56%	3.21%	3.80%	2.00%	0.61%	1.43%	1.06%	1.17%	2.68%	3.94%	2.56%	1.69%	4.23%	3.41%	2.44%	3.09%					
19	. Малышкин Олег Александрович	397	15	8	3	15	6	4	8	9	18	10	29	32	13	10	10	4	3	16	36	8	15	39	36	22	28					
		2.06%	2.17%	1.29%	0.91%	4.82%	0.87%	1.40%	3.10%	3.33%	1.25%	2.56%	1.72%	2.06%	2.89%	2.02%	1.43%	1.42%	0.88%	1.39%	2.89%	2.28%	2.54%	2.11%	3.15%	1.85%	2.79%					
20	. Миронов Сергей Михайлович	190	6	0	1	6	5	0	1	3	16	4	8	16	3	4	10	1	3	13	17	2	6	23	20	11	11					
		0.98%	0.87%	0.00%	0.30%	1.93%	0.72%	0.00%	0.39%	1.11%	1.11%	1.02%	0.48%	1.03%	0.67%	0.81%	1.43%	0.35%	0.88%	1.13%	1.37%	0.57%	1.02%	1.25%	1.75%	0.93%	1.10%					
21	. Путин Владимир Владимирович	14885	550	474	273	223	536	238	218	212	1167	296	1315	1192	367	409	587	242	290	893	905	263	461	1410	771	860	733					
		77.12%	79.59%	76.58%	82.48%	71.70%	77.68%	83.51%	84.50%	78.52%	81.32%	75.70%	78.18%	76.75%	81.56%	82.79%	83.74%	85.82%	85.04%	77.32%	72.69%	74.93%	78.14%	76.46%	67.40%	72.45%	73.15%					
22	. Хакамада Ирина Муцуовна	505	15	23	3	2	19	4	3	8	34	9	50	34	6	7	17	7	3	44	53	18	8	47	37	34	20					
		2.62%	2.17%	3.72%	0.91%	0.64%	2.75%	1.40%	1.16%	2.96%	2.37%	2.30%	2.97%	2.19%	1.33%	1.42%	2.43%	2.48%	0.88%	3.81%	4.26%	5.13%	1.36%	2.55%	3.23%	2.86%	2.00%					
23	. Харитонов Николай Михайлович	1705	41	64	28	30	51	13	15	21	82	38	139	149	35	43	40	14	26	93	84	30	59	161	166	149	134					
		8.83%	5.93%	10.34%	8.46%	9.65%	7.39%	4.56%	5.81%	7.78%	5.71%	9.72%	8.26%	9.59%	7.78%	8.70%	5.71%	4.96%	7.62%	8.05%	6.75%	8.55%	10.00%	8.73%	14.51%	12.55%	13.37%					
																																
24	Против всех	723	26	13	5	13	23	4	5	4	59	20	67	55	11	14	14	5	9	53	88	18	16	62	51	56	32					
		3.75%	3.76%	2.10%	1.51%	4.18%	3.33%	1.40%	1.94%	1.48%	4.11%	5.12%	3.98%	3.54%	2.44%	2.83%	2.00%	1.77%	2.64%	4.59%	7.07%	5.13%	2.71%	3.36%	4.46%	4.72%	3.19%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
