7	Число избирательных бюллетеней в переносных ящиках для голосования	9355	132	65	86	51	38	0	85	74	109	23	34	62	77	155	123	31	26	55	124	27	39	38	27	32	136	0	106	195	21	22	45	38	25	16	35	42	16	34	40	46	151	40	37	29	35	106	60	141	53	53	51	35	42	87	131	114	69	119	67	54	59	59	26	50	56	179	74	22	47	32	89	67	45	80	92	192	28	78	72	82	112	183	79	47	98	58	165	45	31	25	31	39	58	63	59	79	73	42	106	143	53	31	14	191	25	55	38	9	40	440	90	196	46	75	8	28	106	39	12	106	153	98	76	154	33	22	32	13	30	6	5	20	45	64	26	35	12	69	91					
8	Число бюллетеней в стационарных ящиках для голосования	139989	811	1633	1037	1515	1544	1157	667	1150	1436	898	1471	1238	1648	1378	933	1482	1440	1232	1312	1022	902	1246	1150	952	1075	588	742	417	913	859	1385	1280	1348	1133	855	1020	849	975	1154	1245	1781	1342	1576	803	1687	1548	1460	1419	1537	1277	1359	1261	1504	1963	1290	1378	894	595	641	1422	1192	1303	1152	982	1582	1467	1610	1455	1674	1291	1708	1332	1420	1562	1393	1415	620	1192	1230	1119	914	836	895	973	913	852	966	770	831	948	857	905	957	1015	964	1038	899	845	793	702	324	436	110	634	472	627	604	115	708	681	1107	1046	390	464	96	189	473	255	2232	1489	1647	928	820	740	530	145	290	295	287	104	83	161	343	406	593	480	660	1035	1589					
9	Число недействительных избирательных бюллетеней	1471	5	11	2	21	24	83	11	12	18	13	23	15	7	12	3	25	30	28	2	9	5	16	10	14	9	12	5	4	7	2	40	17	6	12	14	17	8	15	28	7	19	4	18	12	21	22	12	7	20	17	11	10	9	20	16	11	14	3	8	3	4	9	23	10	15	5	15	18	8	19	13	0	13	25	16	22	3	3	3	2	8	9	4	14	7	8	6	9	11	7	9	6	13	11	39	0	5	11	7	2	12	2	1	14	4	0	0	1	5	9	0	16	2	8	0	4	10	5	20	10	4	6	13	12	0	2	3	3	4	5	0	2	3	3	0	4	2	8	3					
10	Число действительных избирательных бюллетеней	147873	938	1687	1121	1545	1558	1074	741	1212	1527	908	1482	1285	1718	1521	1053	1488	1436	1259	1434	1040	936	1268	1167	970	1202	576	843	608	927	879	1390	1301	1367	1137	876	1045	857	994	1166	1284	1913	1378	1595	820	1701	1632	1508	1553	1570	1313	1399	1286	1537	2030	1405	1481	949	711	700	1473	1247	1353	1155	1022	1623	1641	1669	1459	1713	1304	1784	1399	1452	1617	1469	1585	645	1267	1299	1199	1018	1010	970	1006	1004	902	1125	806	851	966	879	938	1002	1067	984	1117	967	876	892	843	365	465	123	811	493	682	642	123	743	1112	1197	1226	434	531	104	213	569	289	2224	1585	1796	1020	883	882	563	165	319	305	313	105	88	179	385	467	619	511	670	1096	1677					
11	Число полученных открепительных  удостоверений	6619	55	50	50	70	80	0	50	80	80	80	80	50	80	120	50	60	70	50	60	70	50	50	50	60	50	0	50	20	50	50	50	80	50	50	50	50	50	50	60	50	50	60	55	50	50	50	80	60	80	100	80	80	60	50	50	80	25	50	50	50	50	80	50	80	80	50	80	80	80	50	80	50	39	50	50	50	20	25	50	50	33	20	20	40	60	30	20	20	20	30	30	30	60	40	32	30	30	50	45	30	30	30	10	30	15	20	20	5	50	80	80	70	10	50	20	30	30	30	70	50	80	35	30	50	30	5	30	10	30	10	5	30	40	50	30	55	10	30	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4890	55	44	32	58	48	0	46	52	56	30	47	43	76	106	36	56	62	48	57	60	17	19	46	51	43	0	30	13	45	32	37	43	33	31	34	30	32	43	46	27	25	51	49	42	46	41	39	30	58	51	33	47	34	50	25	32	20	24	29	39	48	40	26	29	37	25	49	31	35	38	57	27	32	26	23	33	20	20	13	39	33	20	14	40	60	30	20	12	20	30	30	30	60	40	32	30	18	50	42	30	30	30	10	22	10	12	5	4	42	80	80	70	7	50	18	30	30	30	70	26	32	35	21	39	30	0	22	10	30	10	2	30	40	50	30	55	10	20	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3225	13	22	35	15	2	427	5	8	14	10	18	16	29	26	14	30	14	10	23	18	14	41	15	17	16	317	17	58	15	14	14	6	22	20	8	10	12	12	19	14	592	17	19	19	36	24	36	21	26	19	38	7	18	20	9	13	17	14	19	12	15	7	6	2	23	10	12	7	30	13	20	92	103	18	9	9	5	3	6	7	5	41	11	6	1	1	4	7	4	24	5	19	10	2	6	5	15	15	10	0	5	4	4	16	8	18	5	0	9	53	4	18	3	10	1	1	11	1	9	6	5	6	7	6	3	3	1	0	0	2	2	0	4	1	1	1	2	8	13					
14	Число неиспользованных открепительных удостоверений	1729	0	6	18	12	32	0	4	28	24	50	33	7	4	14	14	4	8	2	3	10	33	31	4	9	7	0	20	7	5	18	13	37	17	19	16	20	18	7	14	23	25	9	6	8	4	9	41	30	22	49	47	33	26	0	25	48	5	26	21	11	2	40	24	51	43	25	31	49	45	12	23	23	7	24	27	17	0	5	37	11	0	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	12	0	3	0	0	0	0	8	5	8	15	1	8	0	0	0	3	0	2	0	0	0	0	24	48	0	9	11	0	5	8	0	0	0	3	0	0	0	0	0	0	10	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	287	3	4	1	2	3	0	8	3	3	5	3	2	6	5	2	4	2	2	7	0	2	2	1	1	4	0	6	1	5	2	1	4	1	4	1	3	2	4	2	2	1	2	5	2	6	3	0	1	2	3	3	9	8	4	2	5	0	0	2	1	3	2	1	0	2	1	3	1	1	1	4	0	3	5	2	3	0	2	2	4	1	5	4	2	1	2	1	0	2	1	2	2	2	0	4	3	1	1	1	2	1	0	1	3	0	3	1	0	0	3	1	2	0	0	1	1	1	0	4	1	4	2	0	0	1	0	0	0	0	0	0	0	2	1	1	2	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																																		
18	Богданов Андрей Владимирович	1325	5	34	6	17	3	19	11	20	19	7	11	14	11	13	3	1	1	10	1	14	13	18	4	9	5	0	8	9	7	1	19	18	15	13	13	21	16	15	11	7	30	14	15	8	16	26	7	17	14	12	14	12	15	20	9	8	8	1	4	2	24	13	25	13	19	18	18	14	18	4	11	14	11	7	50	15	7	1	1	1	10	3	8	11	9	15	3	2	3	9	16	12	9	8	11	4	5	3	9	3	7	4	1	13	0	3	6	1	8	11	13	14	4	3	1	9	4	5	17	8	1	6	6	1	4	0	10	3	2	5	4	2	0	0	5	0	3	9	1					
		0.89%	0.53%	2.00%	0.53%	1.09%	0.19%	1.64%	1.46%	1.63%	1.23%	0.76%	0.73%	1.08%	0.64%	0.85%	0.28%	0.07%	0.07%	0.78%	0.07%	1.33%	1.38%	1.40%	0.34%	0.91%	0.41%	0.00%	0.94%	1.47%	0.75%	0.11%	1.33%	1.37%	1.09%	1.13%	1.46%	1.98%	1.85%	1.49%	0.92%	0.54%	1.55%	1.01%	0.93%	0.96%	0.93%	1.57%	0.46%	1.09%	0.88%	0.90%	0.99%	0.93%	0.97%	0.98%	0.63%	0.54%	0.83%	0.14%	0.56%	0.14%	1.92%	0.95%	2.12%	1.26%	1.16%	1.09%	1.07%	0.95%	1.05%	0.30%	0.61%	1.00%	0.75%	0.43%	3.37%	0.93%	1.08%	0.08%	0.08%	0.08%	0.97%	0.29%	0.82%	1.08%	0.89%	1.65%	0.27%	0.25%	0.35%	0.92%	1.80%	1.27%	0.89%	0.74%	1.08%	0.36%	0.51%	0.34%	1.00%	0.36%	1.86%	0.86%	0.81%	1.58%	0.00%	0.44%	0.93%	0.81%	1.07%	0.98%	1.09%	1.13%	0.92%	0.56%	0.96%	4.15%	0.69%	1.70%	0.76%	0.50%	0.06%	0.58%	0.67%	0.11%	0.71%	0.00%	3.11%	0.97%	0.63%	4.55%	4.55%	1.10%	0.00%	0.00%	0.81%	0.00%	0.45%	0.82%	0.06%					
19	Жириновский Владимир Вольфович	9167	34	217	9	118	56	73	77	138	116	138	74	126	104	178	9	6	5	133	5	105	65	85	25	134	53	1	36	67	75	4	105	130	106	108	97	116	104	112	105	62	210	25	129	104	127	123	105	95	105	108	37	127	88	139	34	113	95	5	23	14	36	117	123	92	138	100	123	76	135	63	129	54	50	127	145	65	48	5	8	6	107	85	74	77	67	23	9	9	33	63	70	56	70	80	84	90	32	25	50	7	24	24	22	44	31	60	47	10	48	108	71	60	7	9	7	23	9	39	131	95	21	44	5	9	57	14	41	10	11	6	4	7	25	41	17	9	6	99	4					
		6.14%	3.61%	12.78%	0.80%	7.54%	3.54%	6.31%	10.24%	11.27%	7.51%	14.98%	4.92%	9.69%	6.03%	11.61%	0.85%	0.40%	0.34%	10.33%	0.35%	10.01%	6.91%	6.62%	2.12%	13.62%	4.38%	0.17%	4.25%	10.95%	8.03%	0.45%	7.34%	9.86%	7.72%	9.40%	10.90%	10.92%	12.02%	11.10%	8.79%	4.80%	10.87%	1.81%	7.99%	12.50%	7.38%	7.44%	6.91%	6.09%	6.60%	8.12%	2.62%	9.80%	5.69%	6.78%	2.39%	7.57%	9.87%	0.70%	3.25%	0.95%	2.88%	8.59%	10.44%	8.91%	8.42%	6.08%	7.30%	5.15%	7.84%	4.76%	7.18%	3.86%	3.41%	7.73%	9.76%	4.04%	7.41%	0.39%	0.61%	0.50%	10.43%	8.34%	7.60%	7.55%	6.63%	2.53%	0.80%	1.10%	3.83%	6.47%	7.88%	5.93%	6.90%	7.42%	8.21%	8.06%	3.29%	2.82%	5.56%	0.83%	6.37%	5.14%	17.74%	5.33%	6.24%	8.80%	7.32%	8.06%	6.42%	9.63%	5.93%	4.83%	1.61%	1.67%	6.73%	10.60%	1.55%	13.27%	5.84%	5.96%	1.17%	4.29%	0.56%	1.01%	10.12%	8.38%	12.73%	3.25%	3.47%	5.45%	4.55%	3.87%	6.44%	8.72%	2.75%	1.75%	0.89%	8.97%	0.24%					
20	Зюганов Геннадий Андреевич	28586	235	333	251	315	240	141	197	251	309	254	240	251	256	316	221	344	215	308	334	324	153	250	246	279	294	2	192	68	244	208	299	384	284	271	236	294	241	279	340	235	324	334	296	220	307	331	326	298	314	263	332	250	267	283	196	174	170	195	198	206	268	263	311	266	380	476	286	261	215	259	355	304	352	365	315	327	99	249	228	283	199	153	160	154	48	207	91	114	201	163	214	196	179	197	192	206	204	212	171	147	71	85	46	104	30	118	126	19	155	246	270	178	65	119	12	72	117	57	302	252	61	238	53	88	123	34	23	63	54	9	4	34	58	72	91	12	51	137	249					
		19.14%	24.92%	19.61%	22.35%	20.11%	15.17%	12.19%	26.20%	20.51%	20.00%	27.58%	15.95%	19.31%	14.84%	20.61%	20.93%	22.74%	14.67%	23.93%	23.26%	30.89%	16.26%	19.47%	20.90%	28.35%	24.28%	0.34%	22.64%	11.11%	26.12%	23.61%	20.91%	29.14%	20.68%	23.59%	26.52%	27.68%	27.86%	27.65%	28.48%	18.20%	16.77%	24.17%	18.35%	26.44%	17.83%	20.01%	21.45%	19.10%	19.75%	19.77%	23.55%	19.29%	17.27%	13.80%	13.79%	11.66%	17.65%	27.31%	27.97%	13.96%	21.42%	19.31%	26.40%	25.78%	23.20%	28.92%	16.98%	17.67%	12.49%	19.58%	19.76%	21.73%	24.03%	22.23%	21.21%	20.35%	15.28%	19.61%	17.51%	23.56%	19.40%	15.01%	16.43%	15.10%	4.75%	22.75%	8.05%	13.99%	23.32%	16.75%	24.10%	20.76%	17.64%	18.27%	18.77%	18.44%	20.99%	23.90%	19.02%	17.40%	18.83%	18.20%	37.10%	12.61%	6.04%	17.30%	19.63%	15.32%	20.72%	21.94%	22.56%	14.33%	14.91%	22.08%	11.54%	33.18%	20.21%	19.39%	13.46%	15.80%	3.39%	23.20%	5.92%	9.84%	21.85%	20.36%	7.14%	20.45%	17.03%	8.18%	4.55%	18.78%	14.95%	15.32%	14.70%	2.33%	7.59%	12.41%	14.82%					
21	Медведев Дмитрий Анатольевич	108795	664	1103	855	1095	1259	841	456	803	1083	509	1157	894	1347	1014	820	1137	1215	808	1094	597	705	915	892	548	850	573	607	464	601	666	967	769	962	745	530	614	496	588	710	980	1349	1005	1155	488	1251	1152	1070	1143	1137	930	1016	897	1167	1588	1166	1186	676	510	475	1251	919	960	696	651	1086	1047	1242	1108	1345	978	1289	1027	1039	1118	959	1178	491	1012	1062	909	702	769	728	764	880	657	1022	681	614	731	579	674	744	782	697	817	726	636	662	686	263	352	54	650	432	501	463	93	532	747	843	974	358	400	84	109	439	188	1774	1230	1713	732	819	784	379	117	245	229	246	85	76	136	302	354	506	490	610	851	1423					
		72.85%	70.41%	64.96%	76.14%	69.92%	79.58%	72.69%	60.64%	65.60%	70.10%	55.27%	76.88%	68.77%	78.09%	66.14%	77.65%	75.15%	82.88%	62.78%	76.18%	56.91%	74.92%	71.26%	75.79%	55.69%	70.19%	97.45%	71.58%	75.82%	64.35%	75.60%	67.62%	58.35%	70.07%	64.84%	59.55%	57.82%	57.34%	58.28%	59.46%	75.91%	69.82%	72.72%	71.61%	58.65%	72.65%	69.65%	70.39%	73.27%	71.51%	69.92%	72.06%	69.21%	75.49%	77.46%	82.05%	79.49%	70.20%	71.43%	67.09%	84.76%	73.46%	70.48%	59.08%	63.08%	66.30%	63.61%	73.75%	75.02%	78.15%	73.92%	71.73%	73.41%	70.92%	68.09%	64.58%	73.30%	75.77%	79.69%	81.57%	75.69%	68.42%	75.47%	74.74%	74.90%	87.04%	72.20%	90.36%	83.56%	71.23%	75.13%	65.20%	71.40%	73.30%	72.54%	68.13%	73.14%	74.69%	71.70%	73.64%	81.18%	69.76%	75.37%	43.55%	78.79%	86.92%	73.46%	72.12%	75.00%	71.12%	66.64%	70.43%	78.42%	82.11%	74.21%	80.77%	50.23%	75.82%	63.95%	79.06%	77.12%	95.17%	71.35%	91.41%	87.70%	67.32%	70.06%	76.09%	74.35%	77.60%	77.27%	86.36%	75.14%	77.84%	75.32%	81.74%	95.15%	90.77%	77.08%	84.70%					
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
