Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Жердевская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38					
1	"Число избирателей, внесенных в список"	23195	1039	1450	977	1074	374	1589	1060	1708	850	1075	444	1600	200	78	566	394	141	253	680	560	722	691	188	975	157	247	396	337	395	725	320	151	401	228	489	132	286	243					
2	Число полученных избирательных бюллетеней	22764	975	1365	880	960	365	1425	975	1800	870	1080	425	1500	210	80	578	393	132	260	694	565	741	734	191	971	174	247	409	366	401	716	316	151	407	230	507	141	283	247					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13021	567	862	494	570	194	719	695	920	526	462	294	830	136	36	347	256	88	214	352	237	480	428	133	462	112	190	223	147	209	413	144	100	284	142	351	99	184	121					
5	"Число избирательных бюллетеней, выданных вне помещения"	4177	167	118	102	80	95	171	102	41	51	179	77	352	35	39	156	99	39	7	167	191	176	143	37	254	34	51	102	134	138	196	144	36	104	69	75	9	88	119					
6	Число погашенных избирательных бюллетеней	5566	241	385	284	310	76	535	178	839	293	439	54	318	39	5	75	38	5	39	175	137	85	163	21	255	28	6	84	85	54	107	28	15	19	19	81	33	11	7					
7	Число избирательных бюллетеней в переносных ящиках	4177	167	118	102	80	95	171	102	41	51	179	77	352	35	39	156	99	39	7	167	191	176	143	37	254	34	51	102	134	138	196	144	36	104	69	75	9	88	119					
8	Число бюллетеней в стационарных ящиках для голосования	13017	567	862	494	570	194	719	695	918	526	461	294	830	136	36	347	256	88	214	352	237	480	428	133	462	112	190	223	147	209	413	144	100	284	141	351	99	184	121					
9	Число недействительных избирательных бюллетеней	130	2	6	10	1	5	6	0	11	7	6	4	12	0	0	5	3	1	1	8	3	6	2	14	5	1	0	3	0	1	0	0	1	0	1	3	0	1	1					
10	Число действительных избирательных бюллетеней	17064	732	974	586	649	284	884	797	948	570	634	367	1170	171	75	498	352	126	220	511	425	650	569	156	711	145	241	322	281	346	609	288	135	388	209	423	108	271	239					
11	Число полученных открепительных  удостоверений	232	10	10	7	7	5	10	8	25	7	10	5	10	3	2	7	5	2	3	7	5	8	7	2	10	2	5	5	5	5	8	3	2	5	3	5	2	5	2					
12	Число выданных открепительных удостоверений	101	8	8	5	3	1	2	4	16	1	3	0	8	0	2	3	5	0	1	1	1	0	0	0	6	0	5	2	3	1	1	0	0	4	0	3	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	4	1	5	1	6	1	2	2	2	2	0	2	1	0	0	1	3	1	1	0	5	1	2	2	0	0	1	1	0	0	1	0	0	1	0	1	3	0					
14	Число неиспользованных открепительных удостоверений	131	2	2	2	4	4	8	4	9	6	7	5	2	3	0	4	0	2	2	6	4	8	7	2	4	2	0	3	2	4	7	3	2	1	3	2	2	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
