Выборы Президента Российской Федерации																																																																			
																																																																			
"Наименование Избирательной комиссии:    Астрахань, Трусовская"																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653					
1	"Число избирателей, внесенных в список"	77435	561	1572	1559	1922	1074	987	1421	1552	1124	997	1267	1395	1681	1003	1290	982	1740	1470	1422	1825	1410	1272	816	1129	984	1439	395	1158	1447	1370	1803	1260	1205	946	1358	1315	1231	1078	1206	1233	1279	1096	1471	1689	1724	1419	1308	1355	1459	1346	1257	1196	1263	1528	1126	560	1074	1408	1289	1689					
2	Число полученных избирательных бюллетеней	77750	550	1500	1500	1900	1000	1000	1400	1550	1100	1000	1200	1400	1800	1000	1300	1000	1700	1500	1500	1800	1400	1250	800	1150	1000	1450	450	1200	1450	1350	1850	1100	1200	1100	1500	1300	1200	1100	1250	1200	1300	1100	1500	1700	1700	1400	1300	1350	1450	1350	1700	1200	1250	1400	1100	550	1100	1400	1300	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42558	276	763	840	1103	514	467	761	1045	725	666	669	717	887	532	878	501	1074	814	556	1019	692	639	355	660	466	645	116	706	799	814	1115	788	595	552	981	608	550	571	694	706	760	714	847	915	976	785	743	805	868	739	838	565	601	829	523	279	482	815	689	926					
5	"Число избирательных бюллетеней, выданных вне помещения"	5229	109	125	73	72	78	143	68	64	67	48	76	52	85	57	94	65	45	47	48	130	87	74	110	73	88	328	274	41	75	37	47	108	110	53	176	51	141	120	83	30	65	42	106	79	43	75	84	120	59	43	41	134	173	52	127	79	57	66	71	61					
6	Число погашенных избирательных бюллетеней	29705	165	612	587	725	408	390	571	441	308	286	455	631	828	411	328	434	581	639	638	651	621	537	335	417	446	477	60	453	576	499	688	204	495	495	343	641	509	409	473	464	475	344	547	706	681	540	473	425	523	568	821	501	476	519	450	192	561	519	540	613					
7	Число избирательных бюллетеней в переносных ящиках	5486	109	125	73	72	78	143	68	64	67	48	76	52	85	57	94	65	45	47	306	130	87	74	110	73	88	328	274	41	75	37	46	108	110	53	176	51	141	120	83	30	65	42	106	79	43	75	84	120	59	43	41	134	173	52	127	79	57	66	71	61					
8	Число бюллетеней в стационарных ящиках для голосования	42548	276	763	840	1103	514	467	761	1045	725	666	669	717	887	532	878	501	1074	814	556	1019	692	639	355	660	466	645	116	706	799	814	1115	788	594	552	981	608	550	564	694	706	760	714	847	915	976	785	742	805	868	739	838	565	601	828	523	279	482	815	689	926					
9	Число недействительных избирательных бюллетеней	463	4	3	10	15	1	10	8	8	6	23	7	9	12	6	7	0	7	8	2	10	4	14	5	6	2	11	8	3	10	10	6	13	13	8	9	1	8	12	3	9	7	10	11	11	10	9	4	7	5	7	7	7	13	8	11	4	1	10	8	2					
10	Число действительных избирательных бюллетеней	47571	381	885	903	1160	591	600	821	1101	786	691	738	760	960	583	965	566	1112	853	860	1139	775	699	460	727	552	962	382	744	864	841	1155	883	691	597	1148	658	683	672	774	727	818	746	942	983	1009	851	822	918	922	775	872	692	761	872	639	354	538	871	752	985					
