Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Климовская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739					
1	"Число избирателей, внесенных в список"	46955	2349	2827	3101	2678	2716	2286	2405	2530	2676	2990	3000	2791	2844	2823	2756	2541	2484	1158					
2	Число полученных избирательных бюллетеней	45040	2200	2600	2700	2500	2700	2300	2400	2400	2600	2800	2800	2800	2800	2800	2600	2500	2400	1140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25509	1198	1434	1833	1392	1489	1295	1220	1307	1541	1591	1695	1484	1651	1699	1452	1325	1294	609					
5	"Число избирательных бюллетеней, выданных вне помещения"	1096	40	72	55	45	51	37	63	56	17	23	75	65	33	43	105	16	18	282					
6	Число погашенных избирательных бюллетеней	18435	962	1094	812	1063	1160	968	1117	1037	1042	1186	1030	1251	1116	1058	1043	1159	1088	249					
7	Число избирательных бюллетеней в переносных ящиках	1096	40	72	55	45	51	37	63	56	17	23	75	65	33	43	105	16	18	282					
8	Число бюллетеней в стационарных ящиках для голосования	25490	1197	1434	1833	1392	1489	1294	1220	1307	1541	1589	1694	1482	1651	1696	1446	1325	1292	608					
9	Число недействительных избирательных бюллетеней	275	11	20	13	30	10	12	14	11	14	9	17	19	18	17	10	27	13	10					
10	Число действительных избирательных бюллетеней	26311	1226	1486	1875	1407	1530	1319	1269	1352	1544	1603	1752	1528	1666	1722	1541	1314	1297	880					
11	Число полученных открепительных  удостоверений	1800	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	394	25	24	30	17	22	29	22	16	21	30	31	20	14	28	20	13	25	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	229	9	14	22	7	14	13	12	13	10	28	13	13	10	8	6	11	9	17					
14	Число неиспользованных открепительных удостоверений	1406	75	76	70	83	78	71	78	84	79	70	69	80	86	72	80	87	75	93					
15	"Число открепительных удостоверений, выданных в ТИК"	20	0	1	4	1	2	1	2	1	0	1	2	0	0	1	1	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	2617	122	95	94	120	125	119	112	116	146	179	207	196	233	253	191	136	119	54					
		9.84%	9.86%	6.31%	4.98%	8.35%	8.12%	8.94%	8.73%	8.51%	9.37%	11.10%	11.70%	12.67%	13.84%	14.55%	12.31%	10.14%	9.08%	6.07%					
19	. Малышкин Олег Александрович	381	26	19	43	24	23	27	17	23	15	11	24	20	21	19	16	32	11	10					
		1.43%	2.10%	1.26%	2.28%	1.67%	1.49%	2.03%	1.33%	1.69%	0.96%	0.68%	1.36%	1.29%	1.25%	1.09%	1.03%	2.39%	0.84%	1.12%					
20	. Миронов Сергей Михайлович	143	5	11	3	11	12	4	6	5	13	17	14	8	4	8	10	4	4	4					
		0.54%	0.40%	0.73%	0.16%	0.77%	0.78%	0.30%	0.47%	0.37%	0.83%	1.05%	0.79%	0.52%	0.24%	0.46%	0.64%	0.30%	0.31%	0.45%					
21	. Путин Владимир Владимирович	18164	830	1089	1462	992	1052	897	908	974	1033	1039	1134	972	1078	1104	1027	916	918	739					
		68.32%	67.10%	72.31%	77.44%	69.03%	68.31%	67.39%	70.77%	71.46%	66.30%	64.45%	64.10%	62.83%	64.01%	63.48%	66.22%	68.31%	70.08%	83.03%					
22	. Хакамада Ирина Муцуовна	1233	46	66	74	65	68	63	64	64	100	90	87	93	68	121	36	54	58	16					
		4.64%	3.72%	4.38%	3.92%	4.52%	4.42%	4.73%	4.99%	4.70%	6.42%	5.58%	4.92%	6.01%	4.04%	6.96%	2.32%	4.03%	4.43%	1.80%					
23	. Харитонов Николай Михайлович	2439	138	133	101	133	178	143	97	121	127	160	191	148	182	147	183	111	104	42					
		9.17%	11.16%	8.83%	5.35%	9.26%	11.56%	10.74%	7.56%	8.88%	8.15%	9.93%	10.80%	9.57%	10.81%	8.45%	11.80%	8.28%	7.94%	4.72%					
																									
24	Против всех	1334	59	73	98	62	72	66	65	49	110	107	95	91	80	70	78	61	83	15					
		5.02%	4.77%	4.85%	5.19%	4.31%	4.68%	4.96%	5.07%	3.60%	7.06%	6.64%	5.37%	5.88%	4.75%	4.03%	5.03%	4.55%	6.34%	1.69%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
