Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Шумячская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834					
1	"Число избирателей, внесенных в список"	11695	2215	2003	427	273	163	347	303	221	327	696	185	266	345	422	440	280	290	615	1877					
2	Число полученных избирательных бюллетеней	10594	2006	1812	390	248	149	317	278	198	296	633	171	244	310	386	397	256	263	555	1685					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5753	1048	975	199	155	96	201	151	95	174	262	67	124	183	219	227	193	155	295	934					
5	"Число избирательных бюллетеней, выданных вне помещения"	1555	60	47	154	50	20	64	79	85	80	130	49	52	107	142	108	10	67	206	45					
6	Число погашенных избирательных бюллетеней	3286	898	790	37	43	33	52	48	18	42	241	55	68	20	25	62	53	41	54	706					
7	Число избирательных бюллетеней в переносных ящиках	1555	60	47	154	50	20	64	79	85	80	130	49	52	107	142	108	10	67	206	45					
8	Число бюллетеней в стационарных ящиках для голосования	5753	1048	975	199	155	96	201	151	95	174	262	67	124	183	219	227	193	155	295	934					
9	Число недействительных избирательных бюллетеней	49	11	3	2	4	0	1	1	0	1	5	0	1	0	4	1	1	2	0	12					
10	Число действительных избирательных бюллетеней	7259	1097	1019	351	201	116	264	229	180	253	387	116	175	290	357	334	202	220	501	967					
11	Число полученных открепительных  удостоверений	285	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	39	12	5	0	0	0	5	6	0	1	2	3	0	0	0	0	0	0	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	5	4	2	0	0	0	3	1	0	2	1	2	0	1	1	0	0	0	4					
14	Число неиспользованных открепительных удостоверений	246	3	10	15	15	15	10	9	15	14	13	12	15	15	15	15	15	15	13	12					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	145	31	21	2	3	2	3	1	1	5	7	0	8	0	3	17	1	4	11	25					
		1.98%	2.80%	2.05%	0.57%	1.46%	1.72%	1.13%	0.43%	0.56%	1.97%	1.79%	0.00%	4.55%	0.00%	0.83%	5.07%	0.49%	1.80%	2.20%	2.55%					
19	. Малышкин Олег Александрович	182	21	37	20	12	1	7	12	7	8	5	1	4	4	7	5	2	2	7	20					
		2.49%	1.90%	3.62%	5.67%	5.85%	0.86%	2.64%	5.22%	3.89%	3.15%	1.28%	0.86%	2.27%	1.38%	1.94%	1.49%	0.99%	0.90%	1.40%	2.04%					
20	. Миронов Сергей Михайлович	44	9	9	3	1	2	2	2	1	0	1	0	1	2	2	3	1	0	1	4					
		0.60%	0.81%	0.88%	0.85%	0.49%	1.72%	0.75%	0.87%	0.56%	0.00%	0.26%	0.00%	0.57%	0.69%	0.55%	0.90%	0.49%	0.00%	0.20%	0.41%					
21	. Путин Владимир Владимирович	4578	644	580	219	82	72	194	139	123	196	270	47	120	206	252	206	139	140	359	590					
		62.64%	58.12%	56.75%	62.04%	40.00%	62.07%	73.21%	60.43%	68.33%	77.17%	68.88%	40.52%	68.18%	71.03%	69.81%	61.49%	68.47%	63.06%	71.66%	60.27%					
22	. Хакамада Ирина Муцуовна	120	24	22	8	1	2	2	3	1	5	5	2	0	3	6	9	2	1	9	15					
		1.64%	2.17%	2.15%	2.27%	0.49%	1.72%	0.75%	1.30%	0.56%	1.97%	1.28%	1.72%	0.00%	1.03%	1.66%	2.69%	0.99%	0.45%	1.80%	1.53%					
23	. Харитонов Николай Михайлович	2072	342	332	97	98	37	54	70	44	31	94	66	40	73	85	88	52	69	104	296					
		28.35%	30.87%	32.49%	27.48%	47.80%	31.90%	20.38%	30.43%	24.44%	12.20%	23.98%	56.90%	22.73%	25.17%	23.55%	26.27%	25.62%	31.08%	20.76%	30.23%					
																										
24	Против всех	118	26	18	2	4	0	2	2	3	8	5	0	2	2	2	6	5	4	10	17					
		1.61%	2.35%	1.76%	0.57%	1.95%	0.00%	0.75%	0.87%	1.67%	3.15%	1.28%	0.00%	1.14%	0.69%	0.55%	1.79%	2.46%	1.80%	2.00%	1.74%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
